ID,URL,Title,body,Country,Group,Protest,Protest_Typ,Discrim,Discrim_Type
219,https://www.cbc.ca/news/canada/edmonton/australian-indigenous-hockey-team-makes-international-debut-in-edmonton-1.5423778,Australian Indigenous hockey team makes international debut in Edmonton | CBC News,,AUS,aboriginal,0,0,0,0
417,https://www.eternitynews.com.au/australia/we-need-you-you-need-us-aboriginal-leader-tells-christians/,"We need you â€“ you need us, Aboriginal leader tells Christians",,AUS,aboriginal,1,3,1,3
678,https://blackculturenews.com/2020/01/bushfire-smoke-turning-the-australian-sky-into-a-re-creation-of-the-aboriginal-flag,Bushfire smoke turning the Australian sky into a re-creation of the Aboriginal flag,,AUS,aboriginal,0,0,0,0
746,https://www.sciencepagenews.com/2020/01/21/wildfires-reveal-ancient-aboriginal-aquaculture-system-built-before-the-egyptian-pyramids-in-australia/,Wildfires Reveal Ancient Aboriginal Aquaculture System Built Before the Egyptian Pyramids in Australia,,AUS,none,0,0,0,0
916,https://www.abc.net.au/news/2020-02-11/high-court-rules-aboriginal-people-cant-be-deported/11953012,"High Court rules Aboriginal people cannot be deported for criminal convictions, cannot be 'alien' to Australia",,AUS,aboriginal,0,0,0,0
1027,https://www.bbc.co.uk/news/world-australia-51581894,Anzac Day: Aboriginal flag row in Western Australia,,AUS,aboriginal,1,1,1,3
1096,https://www.theguardian.com/australia-news/2020/feb/05/aboriginal-drivers-in-wa-more-likely-to-get-fines-from-police-officers-than-traffic-cameras,Aboriginal drivers in WA more likely to get fines from police officers than traffic cameras,,AUS,aboriginal,0,0,1,2
1108,https://www.bbc.co.uk/sport/rugby-league/51397141,Indigenous All Stars: Australian national anthem won't be played at NRL pre-season game,,AUS,aboriginal,1,1,1,3
1302,https://www.buzzfeed.com/hannahryan/aboriginal-constitution-aliens-high-court-love-thoms,"Aboriginal People Are Not ""Aliens"" And Cannot Be Deported, Australia's High Court Declares",,AUS,aboriginal,0,0,0,0
1404,https://focustaiwan.tw/sci-tech/202002100008,Taiwan to launch first indigenous rocket Feb. 13 - Focus Taiwan,,none,none,0,0,0,0
1816,https://www.abc.net.au/news/2020-03-06/legendary-aboriginal-police-tracker-barry-port-dies-in-coen/12034468,"Barry Port, the last Aboriginal police tracker employed solely for the role, dies",,AUS,aboriginal,0,0,0,0
1851,https://www.telesurenglish.net/news/Colombia-Two-More-Indigenous-Leaders-Murdered-Amid-Quarantine-20200324-0014.html,Colombia: Two More Indigenous Leaders Murdered Amid Quarantine,,none,none,1,1,1,3
1860,https://www.theaustralian.com.au/nation/indigenous-anger-over-rise-of-fake-aborigines/news-story/16f3f2c46809c89afb23179f490456ed,Indigenous anger over rise of â€˜fake Aboriginesâ€™,,none,aboriginal,0,0,0,0
1938,https://thenomadtraveller.net/2020/03/30/message-from-white-eagle-hopi-indigenous-on-16-3-2020/,"Message from White Eagle, Hopi indigenous on 16/3/2020",,none,none,0,0,1,4
3160,https://www.youtube.com/watch?v=a3gx_skSDX8,COVID-19 & Prison: Indigenous Decarceration Plan Needed,,none,none,1,1,1,4
3700,https://globalnews.ca/news/6944854/indigenous-ceremonies-marc-miller-coronavirus/,"Premier Moe, Ottawa at odds over Indigenous ceremonies during coronavirus pandemic | Globalnews.ca",,none,none,0,0,0,2
3914,https://www.seelatest.com/delhi-ncr/capf-will-use-indigenous-products,"Vocal for Local: CAPF 10 Lakh families will use indigenous products, says MHA - See Latest",,none,none,0,0,0,0
4432,https://humanrights.gov.au/our-work/un-declaration-rights-indigenous-peoples-1,UN Declaration on the Rights of Indigenous Peoples | Australian Human Rights Commission,,none,aboriginal,0,0,1,4
4541,https://www.theguardian.com/commentisfree/2020/jun/02/australia-still-turns-a-blind-eye-to-aboriginal-people-dying-in-police-custody,Australia still turns a blind eye to Aboriginal people dying in police custody | Celeste Liddle,,AUS,aboriginal,1,2,1,3
5139,https://www.theguardian.com/australia-news/2020/jun/13/essentially-a-cover-up-why-its-so-hard-to-measure-the-over-policing-of-indigenous-australians,Essentially a cover-up': why it's so hard to measure the over-policing of Indigenous Australians,,AUS,aboriginal,1,3,1,2
5189,https://www.insider.com/australia-blm-protests-spotlight-indigenous-deaths-in-police-custody-2020-6,Australia BLM Protests Spotlight Indigenous Deaths in Police Custody,,AUS,aboriginal,1,3,1,3
5195,https://nit.com.au/australians-angrier-about-racism-in-america-than-racism-in-australia/,Australians angrier about racism in America than racism in Australia - National Indigenous Times,,AUS,aboriginal,1,1,1,2
5226,https://news.defence.gov.au/people/indigenous-soldier-sets-example,Indigenous soldier sets an example,,AUS,aboriginal,0,0,0,0
5291,https://swarajyamag.com/defence/five-indigenous-weapon-systems-india-can-induct-to-narrow-gap-in-military-capabilities-with-china,Five Indigenous Weapon Systems India Can Induct To Narrow Gap In Military Capabilities With China,,none,none,0,0,0,0
5734,https://www.theguardian.com/commentisfree/2020/jul/10/australia-must-commit-to-ambitious-targets-to-reduce-incarceration-indigenous-lives-depend-on-it,Australia must commit to ambitious targets to reduce incarceration. Indigenous lives depend on it | Tom Calma and Mick Gooda,,AUS,aboriginal,1,3,1,3
5782,https://www.watoday.com.au/national/western-australia/aboriginal-inmate-dies-in-roebourne-prison-20200729-p55gp5.html,Inmate's death in Roebourne prison the third Aboriginal death in custody in two months,,AUS,aboriginal,1,3,1,3
5971,https://nit.com.au/dr-lou-bennett-recovering-language-through-power-of-song-and-singing/,Dr Lou Bennett recovering language through power of song and singing - National Indigenous Times,,AUS,aboriginal,0,0,1,3
6018,https://www.abc.net.au/news/2020-07-18/australian-outback-camel-mustering-indigenous-apy-lands/12450574,"Aboriginal elders taught Warwick Hill to catch camels in Central Australia, and changed his life",,AUS,aboriginal,0,0,0,0
6205,https://www.9news.com.au/national/ancient-underwater-aboriginal-sites-uncovered-in-groundbreaking-find/39b9a99d-d739-4f23-ae25-bf87e71294f5,Australia's first-ever ancient underwater Aboriginal archaeological sites undercovered,,AUS,aboriginal,0,0,0,0
6218,https://www.sahmri.org/aboriginal-health-equity-theme/news-302/,Beach Energy helping Indigenous researchers shape their future,,AUS,aboriginal,0,0,0,0
6703,https://www.businessinsider.com/australia-fires-aborigial-indigenous-tradition-2020-8,Aboriginal Fire-Lighting Tradition Could Help Australia Fight Bushfires,,AUS,aboriginal,0,0,0,0
6755,https://www.theguardian.com/australia-news/2020/aug/07/natsiaa-2020-ngarralja-tommy-may-wins-major-indigenous-art-award-in-far-from-normal-year,Natsiaa 2020: Ngarralja Tommy May wins major Indigenous art award in 'far from normal' year,,AUS,aboriginal,0,0,0,0
6906,https://www.watoday.com.au/national/western-australia/wa-s-disrupted-festival-backs-disruption-over-key-role-for-conservative-aboriginal-commentator-jacinta-price-20200828-p55q9e.html,â€˜We donâ€™t believe in censorshipâ€™: Controversial Aboriginal commentator to lead WA festival amid fear of backlash from Noongar people,,AUS,aboriginal,1,1,0,0
7032,https://www.theguardian.com/australia-news/2020/aug/21/afl-slugged-with-retrospective-bill-for-use-of-aboriginal-flag-as-fans-urged-to-bring-their-own,AFL slugged with retrospective bill for use of Aboriginal flag as fans urged to bring their own,,AUS,aboriginal,1,2,0,0
