ID,URL,Title,body,Country,Group,Protest,Protest_Typ,Discrim,Discrim_Type
219,https://www.cbc.ca/news/canada/edmonton/australian-indigenous-hockey-team-makes-international-debut-in-edmonton-1.5423778,Australian Indigenous hockey team makes international debut in Edmonton | CBC News,"When Australian hockey player Michael Burgoyne stepped off the plane in Edmonton on Friday, the 50 C difference in temperature compared to back home was one of the first things he noticed. The 22-year-old is a member of the Kaurna Boomerangs: Australia's first ever Indigenous ice hockey team. The squad, whose players range in age from 13 to early 20s, travelled to Edmonton to take part in a cultural exchange with Cree nations in northern Alberta. On Saturday, the team worked through jet lag during a practice on the rink at Rogers Place. Burgoyne said skating on the Edmonton Oilers' home ice was a ""surreal"" experience, and that its been an adjustment acclimatizing not only to the weather, but also to Canadian culture. ""I rocked up and I got told 'we're in Canada, we don't say ice hockey here, we just say hockey,'"" he said, explaining field hockey is the more popular game in Australia. The Boomerangs were formed and began training two years ago, as part of the Ice Factor program: a longstanding initiative that gets disadvantaged youth involved in hockey. Based out of Adelaide, Australia, Ice Factor was founded by Marie Shaw, whose own daughter had her life turned around after falling in love with the sport. When Shaw heard southern Australia's only ice rink was set for closure, she got involved in efforts to save it, and ended up founding the now 15-year-old organization that has seen 3,000 young people participate, and is connected to 18 Australian high schools. Two years ago, a pair of young Indigenous men approached Shaw about the possibility of forming an Indigenous team. She threw her support behind them, and helped make possible the trip to Canada to play against and connect with Indigenous teams here. ""You need to have a dream, and you need to believe in it,"" she said. Burgoyne, who is Mirning and Narungga, is one of the 18 Indigenous players of the team. He said he was a bit of a ""run-amok"" when he entered high school years ago. He credits the Ice Factor program with helping him to stay motivated and stay the course through school. ""The program has helped me out a lot. I've finished school, I've got a job, got a family,"" he said. The team will gear-up for on-skates events in Edmonton, Maskwacis, and Calling Lake. In the city, they'll visit Amiskwaciy Academy, RCMP K Division, West Edmonton Mall, and bundle up for a skate on at the Ottewell Community League's outdoor rink. The Boomerangs will take in some high level hockey as spectators during their trip: watching the Oil Kings take on the Prince Albert Raiders on Jan. 17, and the Oilers versus the Arizona Coyotes on Jan. 18. The hockey players will fly back to Australia on Jan. 19. With files from Jordan Omstead To encourage thoughtful and respectful conversations, first and last names will appear with each submission to CBC/Radio-Canada's online communities (except in children and youth-oriented communities). Pseudonyms will no longer be permitted. By submitting a comment, you accept that CBC has the right to reproduce and publish that comment in whole or in part, in any manner CBC chooses. Please note that CBC does not endorse the opinions expressed in comments. Comments on this story are moderated according to our Submission Guidelines. Comments are welcome while open. We reserve the right to close comments at any time. Join the conversation Create account Already have an account? Audience Relations, CBC P.O. Box 500 Station A Toronto, ON Canada, M5W 1E6 Toll-free (Canada only): 1-866-306-4636 TTY/Teletype writer: 1-866-220-6045 It is a priority for CBC to create a website that is accessible to all Canadians including people with visual, hearing, motor and cognitive challenges. Closed Captioning and Described Video is available for many CBC shows offered on CBC Gem. ",AUS,aboriginal,0,0,0,0
417,https://www.eternitynews.com.au/australia/we-need-you-you-need-us-aboriginal-leader-tells-christians/,"We need you â€“ you need us, Aboriginal leader tells Christians","Follow Us On Twitter Facebook Instagram Name Email  Anne Lim | January 22nd, 2020 11:26 AM | Add a Comment “We need you; you need us,” Aunty Jean Phillips told a crowded #ChangetheHeart service at St Andrew’s Anglican Cathedral in Sydney last night. The respected Aboriginal Christian leader invited the congregation in the city centre to “come on a journey with Aboriginal people … we’re going to change this nation.” The service was one of 23 #ChangetheHeart services around the country to call on Christians to gather, pray, lament and hear the truth about past injustices and discrimination still faced by Aboriginal people. The service was led by Brooke Prentis, who is about to take up her role as CEO of Common Grace. Prentis opened the service by saying she wanted “friendship, not reconciliation, between Aboriginal and non-Aboriginal people.” Aunty Jean and Lea Maslen started these services seven years ago. They have been gathering prominence and momentum; along with meeting in Sydney Anglicanism’s prime property, Aunty Jean will speak tonight at a service in St Paul’s Anglican Cathedral in Melbourne. #ChangetheHeart service at St Andrew’s Anglican Cathedral Despite this progress in awareness of the #ChangetheHeart movement, Aunty Jean said that in Brisbane, her hometown, and all around the country, life is not easy for Aboriginal people. They face homelessness, poverty and prison. “And we in Christian ministry are caught up with all of those things and it’s not easy,” she said. “Most Aboriginal ministry in this country has never been supported by the church and that’s just so sad. “The churches in this country really have inherited so much from what has happened to our people – and we don’t begrudge them for that, but we don’t have those kinds of luxuries. Most Aboriginal ministries have never been supported.” She then spoke of some of the 12 Aboriginal pastors who have passed away over the past 12 months, including Stan Grant’s Aunty, Flo Grant, who had fought the churches for justice for many years. “I want to ask every church in Australia to adopt someone in Aboriginal ministry …” – Aunty Jean Phillips She quoted Aboriginal Lutheran Pastor George Rosendale, who passed away a few months ago, as saying “there will never be reconciliation and revival in this country until we acknowledge the theft of this land and what has happened to Aboriginal people.” “We don’t want your churches or your buildings back, but you need to acknowledge it and to help us to face those challenges and those needs that are before us,” she said. Aunty Jean then put out a challenge: “I want to ask every church in Australia to adopt someone in Aboriginal ministry for prayer, for friendship and to pay their resources.” She mentioned that South Brisbane Anglican Church had raised money to pay the registration for the vehicles of “our people” going into Aboriginal ministries. “Well, that’s good but Australia has the responsibility of supporting the First Nations people in their ministries. You wouldn’t know the poverty until you come and live with us in the Aboriginal community,” she said. Aunty Jean also called on churches to reach out and help young Aboriginal people including those in prison. “The sin of this nation – a lot of our kids are locked up in prison because of stealing and, yet, the theft of this land has never been dealt with,” she said. “I’ll be writing to all the heads of churches – and asking what they’re doing about chaplaincy and doing things with these young people. All the wealth that they’ve got – remember, the wealth that has come because of what has happened to Aboriginal people. Aunty Jean called on church leaders to invite an Aboriginal minister to come and preach at their meetings. “That’s why we’re calling on you tonight to come and join us and pray. “Get to know us. I’m not going to growl at you. I do growl sometimes. But we’re all coming to join together. The Prime Minister or the government is not going to change Australia, but you and I are going to change us – when you pledge tonight to pray that we might be able to change this nation through true reconciliation.” Aunty Jean called on church leaders to invite an Aboriginal minister to come and preach at their meetings. She recommended Aboriginal pastor Ray Minniecon – who was at last night’s service – as a “great biblical teacher”. “Ray, will you come up here, son. Come on, come on up,” Aunty Jean beckoned to Uncle Ray. While standing with Aunty Jean, he suggested that the congregation give Aboriginal pastors a surprise and visit them on Sunday, January 26. “If you want to join us at Aboriginal church services, then surprise Michael Duckett out at St Peter’s in Campbelltown, or you can go out to Tregear to Richard Manton – give him a big surprise,” encouraged Uncle Ray. “You have an Aboriginal ministry also in Redfern, Elizabeth Street with Matthew Paterson, or you can come to St John’s in Glebe and join us there. So, please, you’re always welcome; come and meet us and enjoy our fellowship in Christ.” Aunty Jean urged the congregation not to criticise Aboriginal people for marching on Sunday “because they’re hurting and that’s the only opportunity that they have of telling their stories”. She said that presented an “opportunity of reaching out to those people and telling them of God’s love”. “So, don’t criticise them; pray for them and get your minister to pray for us all together on Sunday – praying for the relationships between Aboriginal people and non-Aboriginal people.” Related stories from around the web Common Grace Eternity News is not responsible for the content on other websites Sunday, June 5, is World Environment Day: the United Nations’ day to highlight care for… Sunday, June 5, is World Environment Day: the United Nations’ day to highlight care for… In Canada, in the freezing cold, there was a long, long line of people waiting… In Canada, in the freezing cold, there was a long, long line of people waiting… With only 15% of Australians attending church on a Sunday, Christians need to be seen in our world. Morling is at the forefront of shaping and equipping people to compassionately and creatively bring the gospel into any space. Will you join us next Semester to be equipped to apply your faith wherever God has called you to be? It is an exciting imperative! Classes start on 18 July. Curious but don’t want to commit to a full degree? Try it as a casual and don't worry about exams. Christian justice movement Common Grace has announced Aboriginal leader Brooke Prentis will be their new… Two female indigenous leaders discuss the impact of that land rights ruling “Captain Cook never arrived with a platter to share at the barbie” Pushing back on suggestions that the Federal Government might bring forward the removal of exemptions… Aboriginal Christian leader Shane Phillips is the king of understatement. “We make a lot of… Neil Chambers gives a detailed response to how the church he leads, Bundoora Presbyterian, will… Church leaders’ Christmas messages, amid drought and bushfire The annual Change The Heart event held on January 25, the eve of Australia Day,… Can you imagine having to walk for more than an hour each way to collect… Christmas 2020 messages from Australian Christian leaders Easter messages from Australian churches This Easter weekend, Christians across the globe unify in reflecting on the crucified and resurrected… Bible Society Australia “And the angel said unto them ‘fear not for behold I bring… Patrick Parkinson’s second lecture on ‘Family and Faith in a Multicultural Society” A Tribute to the great Ecuadoran missiologist and theologian René Padilla Mocking a Prime Minister is an Australian sport, but the latest round of stories about… Name Email   © 2022 Eternity News. All rights reserved.",AUS,aboriginal,1,3,1,3
678,https://blackculturenews.com/2020/01/bushfire-smoke-turning-the-australian-sky-into-a-re-creation-of-the-aboriginal-flag,Bushfire smoke turning the Australian sky into a re-creation of the Aboriginal flag,"Switch to the dark mode that's kinder on your eyes at night time. Switch to the light mode that's kinder on your eyes at day time.  Switch to the dark mode that's kinder on your eyes at night time. Switch to the light mode that's kinder on your eyes at day time.  You are here: 0 Votes Comments Off on Bushfire smoke turning the Australian sky into a re-creation of the Aboriginal flag An amazing photo taken by a woman as fires raged nearby seemed to mimic the Aboriginal flag. South Australian woman Rose Fletcher took the photo at Victor Harbour as the sun rose on New Year’s Day when fires near her home were at their worst. ‘It was taken on New Year’s Day, just after sunrise, when the fires were arguably at their worst, and hearts were heavy and people were frightened   ⚠️ Make sure to Like Us 👍🏾 on Facebook using the widget below so you don’t miss out on new stories like this. ⬇️ Want more stories like this? Get the latest updates sent straight into your inbox!   Don't worry, we don't spam Browse and manage your votes from your Member Profile Page See more Read More Read More Read More Sign up for the latest Black Culture News   Don't worry, we don't spam Sign up for the latest Black Culture News   Don't worry, we don't spam Black Culture News Refresh  Public collection title Private collection title Here you'll find all collections you've created before. Get the best viral stories straight into your inbox before everyone else!   Don't worry, we don't spam Don’t miss out on new posts!   Don't worry, we don't spam",AUS,aboriginal,0,0,0,0
746,https://www.sciencepagenews.com/2020/01/21/wildfires-reveal-ancient-aboriginal-aquaculture-system-built-before-the-egyptian-pyramids-in-australia/,Wildfires Reveal Ancient Aboriginal Aquaculture System Built Before the Egyptian Pyramids in Australia,NULL,AUS,none,0,0,0,0
916,https://www.abc.net.au/news/2020-02-11/high-court-rules-aboriginal-people-cant-be-deported/11953012,"High Court rules Aboriginal people cannot be deported for criminal convictions, cannot be 'alien' to Australia"," High Court rules Aboriginal people cannot be deported for criminal convictions, cannot be 'alien' to Australia An Aboriginal man who spent 500 days in immigration detention was released today after the High Court ruled that Indigenous Australians cannot be deported. The court found Aboriginal people held a special status and were exempt from immigration laws, after it considered the cases of two convicted criminals whom the Government wanted to deport. The two men, Daniel Love and Brendan Thoms, had failed their migration character tests as a result of serving jail sentences. In a 4-3 split, the court found Aboriginal Australians were not subject to the alien powers in the constitution and therefore could not be deported. But the judges did not clear Mr Love entirely, saying they could not reach agreement on whether he was an Aboriginal person on the facts stated in the case. After this morning's ruling, Mr Thoms was released from detention in Brisbane. The 31-year-old told the ABC he was struggling to believe he was finally free. He said he found it hard to stay positive while in immigration limbo. ""After 17 months it was starting to wear on me,"" he said. ""I really just was thinking about my son a lot and all the fighting was for him ... That's why I put up a fight."" ""The lawyers did a really good job and it's good win for Aboriginal people."" Both men were born overseas but moved to Australia as children and held permanent residency visas. Mr Love, a recognised member of the Kamilaroi people but born in Papua New Guinea, was placed in immigration detention after he was sentenced to more than a year in jail for assault occasioning actual bodily harm. A delegate for Home Affairs Minister Peter Dutton had cancelled the 40-year-old's visa, but that decision was later revoked and he was released. Mr Thoms was born in New Zealand and also lacks Australian citizenship, though he is a native title holder as a member of the Gunggari people. After serving part of an 18-month sentence for a domestic violence assault, he was taken into immigration detention, where he had remained until today's outcome. Outside the High Court, one of the men's lawyers, Claire Gibbs, said Mr Thoms was ""incredibly relieved"" by the judgement. ""He's missed two Christmases with his family [and] one of his son's birthdays. His son's birthday is coming up again so he's hopeful of returning to celebrate with his family."" Ms Gibbs said the ruling was not about citizenship, but was instead about ""who is an Australian national and who is a part of the Australian community"". ""It's about the use of alien powers, which we believe the government has been using inconsistently, unfairly and, now we've proven, unlawfully,"" she said. ""So, in a practical sense, Brendan is still a New Zealand citizen, but he's not an alien in this country and he's protected from being deported. ""Aboriginal Australians can no longer be removed from the country that they know and the country that they have a very close connection with."" Ms Gibbs said while the court did not make a determination about Mr Love's ""Aboriginality"", she was confident lawyers could prove that was the case. The president of the Law Council of Australia, Pauline Wright, welcomed the decision, saying it confirmed that questions about membership of Aboriginal societies were beyond the Parliament's legislative power. She said the judgment raised several other ""complex issues which require careful consideration"". In an unusual move, the High Court held two separate hearings into the case. It was originally heard in May last year, but came back in December after the court suggested the parties consider whether Aboriginal people occupy a special position, backed up by common law recognition of native title rights. If that was the case, the court said it then followed that the crown had a unique obligation to protect Aboriginal society, and in return Aboriginal people owed a permanent allegiance to the crown. Lawyers for the men submitted that Aboriginal people could not be ""alien"" to Australia. ""Aboriginal Australians are a permanent part of the Australian community,"" they wrote in a submission. The submissions also stated that, at Federation, Aboriginal people were not considered ""aliens"" under the constitution. But the Commonwealth told the court any person who was not a citizen was an ""alien"" under the law, and that Mr Thoms and Mr Love owed their allegiance to the countries they were born in. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)",AUS,aboriginal,0,0,0,0
1027,https://www.bbc.co.uk/news/world-australia-51581894,Anzac Day: Aboriginal flag row in Western Australia,"A decision to ban the Aboriginal flag and other forms of recognition from Anzac Day services in Western Australia (WA) has sparked widespread backlash. Each year, solemn ceremonies are held on 25 April in Australia and New Zealand to commemorate veterans and soldiers. But a veterans' organisation said it would no longer allow Aboriginal displays at its services in the state. It added that all content, except the NZ anthem, must be in English. The Returned Service League (RSL) has previously been criticised for ignoring and diminishing the service of Aboriginal soldiers in World War One and other conflicts. The decision follows a move last year where the Ode of Remembrance was read at a ceremony in an Aboriginal language, the Australian Broadcasting Corporation reported. Critics, among them indigenous and non-indigenous lawmakers, have called the move ""offensive"" and demanded it be reversed. Another day in WA as @RSLWA bans the Aboriginal and Torres Strait Islander flags at ANZAC and Remembrance Day services. You refused to acknowledge when mob served, and now you continue to refuse to acknowledge us. The new policy for the state's RSL also prohibits Welcome to Country and Acknowledgement of Country ceremonies - which have become commonplace around Australia. The brief protocols acknowledge indigenous connection to the land, and are commonly read out or performed at the commencement of a formal gathering or event. However, the RSLWA said such gestures at Anzac Day or Remembrance Day ceremonies would be inappropriate. ""While having utmost respect for the traditional owners of land upon which such sites and memorials are located, RSLWA does not view it appropriate that a Welcome to Country is used at sites that were specifically established to pay homage to those who died and who came from a wide range of cultural backgrounds,"" their policy reads. Anzac Day has become a flashpoint for controversy in Australia in recent years, and sparked debates on national identity. Critics say the ""Anzac"" legend, which focuses on Australia and New Zealand's campaign at Gallipoli in World War One, prioritises a white-Anglo narrative and glorifies a battle where many Allied soldiers died. According to the Australian War Memorial, at least 1,000 indigenous Australians are recorded to have fought for their nation in WW1, and ""the real number is probably higher"". ""It is not known what motivated Indigenous Australians to join the Australian Imperial Force (AIF), but loyalty and patriotism doubtless played a part,"" says the memorial's website. Australia and New Zealand mark Anzac Day Australia admits failings on indigenous equality UK to send first long-range missiles to Ukraine Ukraine war no excuse for prolonging coal, says US Queen 'humbled and touched' by Jubilee celebrations Love and respect for the Queen alongside the party Six of the best Jubilee moments How China plans to become the next big space power Why India's wheat export ban matters to the world Australia declares a 'new era' in the Pacific What does dying really feel like? In pictures: Platinum Jubilee pageant Have countries kept their word on COP26 pledges? Drought-stricken US warned of looming 'dead pool' In pictures: Harry and Meghan join royals for service They were among hundreds of guests paying tribute to the Queen. WATCH: An intimate study of the Queen The story of her life in her own words and with never-before-seen footage of the Royal Family. LISTEN: The secrets to playing the Queen Find out how these actresses portrayed the world's most recognised woman on radio, stage and screen. © 2022 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.",AUS,aboriginal,1,1,1,3
1096,https://www.theguardian.com/australia-news/2020/feb/05/aboriginal-drivers-in-wa-more-likely-to-get-fines-from-police-officers-than-traffic-cameras,Aboriginal drivers in WA more likely to get fines from police officers than traffic cameras,"Exclusive: Indigenous people are fined more than average by police officers but less than average by traffic cameras Senior police in Western Australia were warned 12 months ago of a “clearly disturbing” trend of Aboriginal drivers being overrepresented in police-initiated traffic stops, which led to a “notable ethnic disparity” in the issuing of fines. The briefing note from the mothballed evidence-based policing unit, obtained under freedom of information laws by Guardian Australia, found that Aboriginal drivers received 3.2 times more fines from being pulled over by police than non-Aboriginal drivers. But when tickets were issued by traffic cameras, Aboriginal drivers received slightly fewer penalties on average than non-Aboriginal drivers. This article includes content provided by Scribd. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. To view this content, click 'Allow and continue'. The five-year analysis included 69% of all drivers in WA, and showed a “notable ethnic disparity” in the issuing of traffic fines. However, police said they had not acted on the report because decisions on what actions would be taken to reduce Aboriginal incarceration were a matter for cabinet. On average, the report found, Aboriginal drivers in WA receive 1.75 times more penalty units over their lifetime of driving than non-Aboriginal drivers. That is about $1,260 more in fines for Aboriginal drivers, “almost entirely driven by police-initiated, on-the-spot infringements”. It also found Aboriginal drivers were carrying 6.2 times more unpaid fines — amounting to a debt of $2,327. Until last year, police in Western Australia had the power to arrest and jail people for unpaid court fines – and accumulated traffic offences can often end up in court. Drivers with unpaid fines cannot renew their licence, and repeatedly driving unlicensed can result in jail time. “These differences are large enough to suggest an uncomfortable distinction between automated camera and police-initiated traffic enforcement, with this distinction heavily correlated with Aboriginality,” the report by WA Police’s then director of criminology, Dr Geoffrey Barnes, said. The final report was dated 13 February 2019, and recommended further investigation of the “clearly disturbing” trend, concluding: “These findings are consistent with a notable ethnic disparity in police-initiated traffic enforcement, but by no means provide conclusive evidence that deliberate bias exists.” Barnes, who joined WA Police as its first in-house criminologist in May 2017, said the research was unique because traffic cameras provided a control group. “We know that automated traffic enforcement doesn’t detect the difference between the two ethnic groups,” he told Guardian Australia. “Therefore, if we’re only finding it in stops, well that that is an indication that there’s a discretionary element going on … Even if it’s not racism, we don’t want this pattern to exist.” Barnes said the evidence-based policing unit began to lose resources in December 2018, when the deputy commissioner Stephen Brown, who established the unit, left the force. By the time Barnes left WA Police, on 16 January this year, he said he was effectively the only one left. The only person who tried to get traction on his reports was his boss, the assistant commissioner Craig Ward. Ward commissioned the report and presented it to a working group on Aboriginal wellbeing, set up to report to cabinet on the McGowan government’s pledge to reduce the number of Aboriginal people in custody. He told Guardian Australia that the decision to respond to the report would be a matter for cabinet and that WA police no longer had the staff to do the follow-up research that Barnes recommend. “That’s not with any intention to cover it up,” Ward said. “I think it’s frankly a fantastic report and asks us the kind of questions we need to face ... [but] it was about trying to get the best outcome and the best audience at government level to receive this so we could have a whole-of-government outcome.” Dennis Eggington, the chief executive of the Aboriginal Legal Service of Western Australia (ALSWA), said the report, shown to him by Guardian Australia, contained “no surprises, no shocks,” but he was disappointed it had not been acted on. “It just confirms what we as Aboriginal people know and are subjected to,” he said. “I certainly now will be taking the issue up with our police commissioner here in WA to see whether or not we can all work together with the information there to help make things better.” Police in Australia have the power to stop any driver, at any time, to conduct a random breath test, even if they can’t see any offences occurring. It’s a discretionary power, and one Eggington said every Aboriginal person he knows has experienced. “It happens all the time,” he said. “It happens personally to me, it’s happened personally to all my family members.” Eggington said WA police had problems with racism, both systemic and personal, but that the relationship between ALSWA and police had improved. “All colonial institutions have a problem with systemic racism,” he said. Ward said the overrepresentation of Aboriginal people in police-led infringements could be due to a lack of traffic cameras in regional areas, meaning most infringements were issued directly by police. He also said that when police pulled someone over they could issue fines for more than one thing. “[If] it’s a three-car family from the western suburbs, and you’re driving along in your Land Cruiser and you’re the only person in the car speeding because you can and that’s your car, it stops there,” Ward said. “If you’re driving from [the remote Pilbara community of] Jigalong to Newman and you have pulled over and there’s 10 people in the car, and it’s unroadworthy, and you haven’t got a licence and the car’s not registered, that’s a different outcome.” Barnes said a number of sworn police officers described similar scenarios in which extra demerit points might be accumulated by Aboriginal drivers. “Believe me I heard all kinds of assumptive arguments when I wrote this,” he said. “But in the end we have this aggregate trend.” Aboriginal drivers in regional areas received 4.2 times more penalty units from police stops than non-Indigenous drivers, and 41% of all traffic infringements to Aboriginal drivers were issued in regional areas, the report found. The biggest disparity was in the issuing of infringements for not wearing a seatbelt, where Aboriginal drivers received 19.2 times the number of fines. Asked whether the report showed evidence of structural racism in WA police, Ward said that was “certainly something that I thought initially”. But he said he then concluded the disparity was due to government policies for police to target certain types of offences. “Police officers will pretty much follow instructions,” he said. WA police has, in recent years, made efforts to repair its relationship with Aboriginal and Torres Strait Islander peoples, starting with an apology from the commissioner, Chris Dawson, for “past wrongful actions”, issuing Aboriginal service medals to police officers and staff, and a focus on recruiting Aboriginal cadets. Ward said WA police had an “internal communication journey to go on to make sure everyone is on board” with that agenda. “What we do not want to do, as I said, is make a kneejerk response to this, walk around accusing people of unconscious bias or whatever it may be that may set our agenda backwards,” he said.",AUS,aboriginal,0,0,1,2
1108,https://www.bbc.co.uk/sport/rugby-league/51397141,Indigenous All Stars: Australian national anthem won't be played at NRL pre-season game," Last updated on 6 February 20206 February 2020.From the section Rugby League The Australian national anthem will not be played at this year's rugby league All Stars match on the Gold Coast. The Australian Rugby League (ARL) Commission made the decision after advice from the ARL Indigenous Council. An Indigenous team will face a Maori team in the annual pre-season match at Cbus Super Stadium on 22 February. ARLC chairman Peter V'landys said:external-link ""We have listened to our players' concerns that the words of the anthem do not represent them or their families."" This year's event in Robina marks the 10-year anniversary of the first All Stars game, devised by former player Preston Campbell to celebrate Aboriginal and Torres Strait Islander culture. The National Rugby League also stages an annual Indigenous Round during the season and now 12% of NRL players identify as indigenous. Before game one of last year's State of Origin series, several indigenous players refused to sing the national anthem. 'Advance Australia Fair' was written in 1878 and ""does not include an acknowledgement of First Nations people"", V'landys added. ""The All Stars game was created as a celebration of Indigenous players and their culture. We respect their wishes and have agreed that the anthem will not be played."" St George Illawarra Dragons prop Josh Kerr sang the anthem before making his representative debut in last year's All Stars match but his views have since changed. ""I have always stood up and honoured the anthem because I know a lot of people have fought and died or sacrificed a lot for that anthem but listening to the words and knowing where they come from, it doesn't seem right,"" he said.external-link ""The words say 'for we are young and free', but we are the oldest surviving culture in the world.""                 The legendary Queen guitarist opens up about dealing with grief Russell Kane and guests debate whether she was pure evil or genius Which destination would you like to fly to this summer? Analysis and opinion from the BBC's rugby league correspondent. Get latest scores and headlines sent straight to your phone, sign-up to our newsletter and learn where to find us on online. How to get into rugby league - a crowd-pleasing, physically demanding game with few stoppages and plenty of pace.",AUS,aboriginal,1,1,1,3
1302,https://www.buzzfeed.com/hannahryan/aboriginal-constitution-aliens-high-court-love-thoms,"Aboriginal People Are Not ""Aliens"" And Cannot Be Deported, Australia's High Court Declares","“Aboriginal people, regardless of where they are born, have permanent protection form deportation,"" said a lawyer representing the men. BuzzFeed News Reporter, Australia Daniel Love with his mother. Two Aboriginal men who were held in immigration detention in Australia have won their landmark High Court case, with a slim majority deciding that their unique connection to the country means they cannot be deported from it. The two men who brought the case — Brendan Thoms and Daniel Love — had argued that their Aboriginal identity meant they could not be considered ""aliens"" under the Constitution, and that they therefore could not be deported. On Tuesday morning four out of the seven High Court justices found in their favour, ruling Aboriginal Australians could not fit the description of ""alien"" as it appears in the constitution. ""Aboriginal Australians have a special cultural, historical and spiritual connection with the territory of Australia, which is central to their traditional laws and customs and which is recognised by the common law,"" a summary of the majority decision read. It went on to say that existence of that connection is ""inconsistent"" with holding that an Aboriginal Australian can be an alien under the constitution. Thoms was released on Tuesday afternoon after 501 days in immigration detention. But the court was unable to agree on whether Love is Aboriginal and the ruling cannot yet be applied to him. The issue will be considered at a future hearing. Thoms has been in detention since September 2018, with the government planning to deport him to New Zealand. Love, who holds Papua New Guinean citizenship, was released after seven weeks in detention and sought compensation. Both were born elsewhere, and never applied for citizenship despite being entitled to it, but have lived in Australia since they were children. Their permanent visas were cancelled after convictions for criminal offences. Both identify, and are recognised, as Aboriginal: Love is a member of the Kamilaroi people, and Thoms is a member of the Gunggari people and also holds native title. Both are also fathers to Australian children. The decision, one of the most significant in the court's recent history, is the court's most explicit recognition of the special position occupied by Indigenous people in Australia since it recognised the existence of native title in Mabo in 1992. Claire Gibbs, a senior associate at Maurice Blackburn who represented Love and Thoms, told BuzzFeed News the two men felt ""incredible relief"" at the decision. Despite the lingering uncertainty over Love's fate, Gibbs said she was ""very confident"" he would be able to prove he is Aboriginal and have the decision apply to him. She said the decision is likely to affect a small number of other Aboriginal Australians currently in detention. ""This is relevant to Aboriginal people who are born overseas. We know it is a small but very vulnerable class of Australians,"" she said. ""Aboriginal people, regardless of where they are born, have permanent protection from deportation which is crucially important to the continuance of their culture."" The case was filed in September 2018 and first heard by the full court in May 2019, which meant Love and Thoms have waited an unusually long time for resolution of their case by the High Court. The court also took the unusual step of calling the parties back for further argument in December last year. At least 16 other people have had visas cancelled or refused despite claiming to be Indigenous. Lane Sainty contributed reporting.  Hannah Ryan is a reporter for BuzzFeed News and is based in Sydney. Contact Hannah Ryan at hannah.ryan@buzzfeed.com. Got a confidential tip? Submit it here",AUS,aboriginal,0,0,0,0
1404,https://focustaiwan.tw/sci-tech/202002100008,Taiwan to launch first indigenous rocket Feb. 13 - Focus Taiwan,"Taipei, Feb. 10 (CNA) Taiwan's first domestically built rocket, the HAPITH-1, will be launched in the eastern county of Taitung on Feb. 13, the developer Taiwan Innovative Space Inc. (TiSPACE), said Monday. (Full text of the story is now in CNA English news archive. To view the full story, you will need to be a subscribed member of the CNA archive. To subscribe, please read here.)",none,none,0,0,0,0
