"","ID","URL","Title","body","Country","Group","Protest","Protest_Type","Discrim","Discrim_Type"
"1",7,"https://www.cnbc.com/2020/01/03/iranian-military-commander-qassim-soleimani-killed-in-baghdad-strike-iraqi-tv.html","Iranian military commander Qassim Soleimani killed in Baghdad strike: Iraqi TV"," Gen. Qassim Soleimani, the head of Iran's elite Quds Force, was killed in an airstrike at Baghdad's international airport Friday, Iraqi television and three Iraqi officials said. The strike also killed Abu Mahdi al-Muhandis, the deputy commander of Iran-backed militias known as the Popular Mobilization Forces, or PMF, the officials said. Their deaths are a potential turning point in the Middle East and are expected to draw severe retaliation from Iran and the forces it backs in the Middle East against Israel and American interests. The PMF blamed the United States for an attack at Baghdad International Airport Friday. There was no immediate comment from the U.S. or Iran. A senior Iraqi politician and a high-level security official confirmed to the Associated Press that Soleimani and al-Muhandis were among those killed in the attack. Two militia leaders loyal to Iran also confirmed the deaths, including an official with the Kataeb Hezbollah, which was involved in the attack on the U.S. Embassy this week. The official, speaking on condition of anonymity, said al-Muhandis had arrived to the airport in a convoy to receive Soleimani whose plane had arrived from either Lebanon or Syria. The airstrike occurred as soon as he descended from the plane to be greeted by al-Muhandis and his companions, killing them all. The officials spoke on condition of anonymity because of the sensitivity of the subject and because they were not authorized to give official statements. The senior politician said Soleimani's body was identified by the ring he wore. Soleimani had been rumored dead several times, including in a 2006 airplane crash that killed other military officials in northwestern Iran and following a 2012 bombing in Damascus that killed top aides of embattled Syrian President Bashar Assad. More recently, rumors circulated in November 2015 that Soleimani was killed or seriously wounded leading forces loyal to Assad as they fought around Syria's Aleppo. Earlier Friday, an official with an Iran-backed paramilitary force said that seven people were killed by a missile fired at Baghdad International Airport, blaming the United States. The official with the group known as the Popular Mobilization Forces said the dead included its airport protocol officer, identifying him as Mohammed Reda. A security official confirmed that seven people were killed in the attack on the airport, describing it as an airstrike. Earlier, Iraq's Security Media Cell, which releases information regarding Iraqi security, said Katyusha rockets landed near the airport's cargo hall, killing several people and setting two cars on fire. It was not immediately clear who fired the missile or rockets or who was targeted. There was no immediate comment from the U.S. The attack came amid tensions with the United States after a New Year's Eve attack by Iran-backed militias on the U.S. Embassy in Baghdad. The two-day embassy attack which ended Wednesday prompted President Donald Trump to order about 750 U.S. soldiers deployed to the Middle East. The breach at the embassy followed U.S. airstrikes on Sunday that killed 25 fighters of the Iran-backed militia in Iraq, the Kataeb Hezbollah. The U.S. military said the strikes were in retaliation for last week's killing of an American contractor in a rocket attack on an Iraqi military base that the U.S. blamed on the militia. U.S. officials have suggested they were prepared to engage in further retaliatory attacks in Iraq. ""The game has changed,"" Defense Secretary Mark Esper said Thursday, telling reporters that violent acts by Iran-backed Shiite militias in Iraq -- including the rocket attack on Dec. 27 that killed one American -- will be met with U.S. military force. He said the Iraqi government has fallen short of its obligation to defend its American partner in the attack on the U.S. embassy. The developments also represent a major downturn in Iraq-U.S. relations that could further undermine U.S. influence in the region and American troops in Iraq and weaken Washington's hand in its pressure campaign against Iran. WATCH: Why US airstrike is a 'game-changer' Got a confidential news tip? We want to hear from you. Sign up for free newsletters and get more CNBC delivered to your inbox Get this delivered to your inbox, and more info about our products and services. © 2022 CNBC LLC. All Rights Reserved. A Division of NBCUniversal Data is a real-time snapshot *Data is delayed at least 15 minutes. Global Business and Financial News, Stock Quotes, and Market Data and Analysis. Data also provided by","none","none",0,0,0,0
"2",16,"https://apple.news/Ao6WNZINaTSKxanD-235EKw","Trump says 'Iran appears to be standing down' following its retaliatory attacks against Iraqi bases housing US troops","NULL","none","none",0,0,0,0
"3",29,"https://www.rt.com/news/477479-iraqi-air-base-us-rocket-fire/","Iraqi air base housing US troops comes under rocket fire north of Baghdad","Iraq's Balad Air Base, which hosts a number of US forces and contractors, has been the subject of a rocket attack. At least three unguided projectiles have exploded inside the facility, reportedly causing no casualties. The base, located some 60km (40 miles) to the north of Baghdad, came under attack late on Saturday, Reuters reported citing security sources. Two unguided rockets hit the premises of the compound, but caused no casualties among the personnel. It was not immediately clear whether they inflicted any material damage. #BREAKING: three rocket hit al-Balad military air base — al-Sumariya. — The base hosts US forces and is located about 80 kilometers north of Baghdad. #Iraqpic.twitter.com/tBNzFxc0vs The incident hit the headlines shortly after two explosions hit the Green Zone – the heavily fortified quarter of the Iraqi capital that houses foreign missions and government buildings. One rocket reportedly hit in the vicinity of the US embassy, reportedly damaging a road. Meanwhile, Iraqi Shia paramilitary group Kataib Hezbollah has warned local forces to steer clear of any US bases or compounds housing American troops. To stay safe, they must remain at least one kilometer away from such facilities, the group said, implying that further attacks are expected. Kataib Hezbollah, which emerged during the 2003 invasion of Iraq, has been waging anti-US insurgency for years. Currently, however, it is part of the Popular Mobilization Forces (PMF) – a government-sponsored umbrella organization that united and recognized various militant groups during the Washington-backed campaign against Islamic State (IS, formerly ISIS) terrorists. The incidents followed the assassination of the Iranian Quds Force commander Major General Qassem Soleimani. He was killed in a US airstrike on the outskirts of Baghdad alongside several other high-ranking Iranian and Iraqi military officials. The killing prompted a furious reaction both in Iran and Iraq. Tehran vowed retaliation for Soleimani’s death, which it described as an act of international terrorism. The elite Iranian IRGC force said that at least 35 “vital” US and Israeli targets in the region are within its reach for a guaranteed strike. Iraq, meanwhile, accused the US of violating its sovereignty. Washington, for its part, insisted that the assassination was “defensive” in its nature, accusing Soleimani of being behind the deaths of “hundreds” of US citizens and alleging he was planning new attacks on the nation’s troops across the region.  Think your friends would be interested? Share this story! RT News App © Autonomous Nonprofit Organization “TV-Novosti”, 2005–2022. All rights reserved. This website uses cookies. Read RT Privacy policy to find out more.","none","none",0,0,0,0
"4",49,"https://www.theepochtimes.com/missiles-hit-military-base-with-us-troops-iran-claims-responsibility_3197006.html","Pentagon Says a â€˜Dozen Missilesâ€™ Were Fired From Iran at Iraqi Bases With US Troops","Iranian officials said missiles were launched at U.S. troops in Iraq in retaliation after Iranian Gen. Qassem Suleimani’s death in Baghdad, according to Iranian state-run media outlets, in an attack that was later confirmed by the Pentagon. A Pentagon spokesperson later confirmed missiles were fired at two or more Iraqi bases with American and coalition forces. “It is clear that these missiles were launched from Iran and targeted at least two Iraqi military bases hosting U.S. military and coalition personnel at Al Asad and Irbil,” Jonathan Hoffman, assistant to the Secretary of Defense for Public Affairs, said in a statement. “We are working on initial battle damage assessments.” More than a dozen missiles were fired at the base, he added. Iran’s Revolutionary Guards, of which Suleimani was a member, also in a statement via state media: “In Operation Martyr Suleimani in early hours of Wednesday, tens of ground-to-ground missiles were fired at the U.S. base and successfully pounded the al Asad base.” The al Asad base is in Iraq’s Anbar province, which hosts some American troops. The statement continued, “The brave soldiers of IRGC’s aerospace unit have launched a successful attack with tens of ballistic missiles on Al Assad military base in the name of martyr Gen. Qasem Soleimani. … We warn all allied countries of the U.S. that if attacks are launched from bases in their countries on Iran, they will be a target of military retaliation.” White House Press Secretary Stephanie Grisham’s office said in a statement on Twitter the Trump administration is “aware of the reports of attacks on U.S. facilities in Iraq. The President has been briefed and is monitoring the situation closely and consulting with his national security team.” She didn’t say whether the United States has confirmed whether Iran was behind the attacks. During a meeting with key House Democrats on Tuesday night, House Speaker Nancy Pelosi (D-Calif.) learned about the attack, according to CNN. Rep. Dan Kildee (D-Mich.) said she paused the discussion to tell other lawmakers of the news, he told the website. It’s also not clear if there were any casualties. Several days ago, the U.S. military said a report about the al Asad base in Iraq being attacked isn’t true. A U.S. Central Command spokesman told The Epoch Times on Jan. 3: “That report is false.” The al Asad air base is in Iraq’s western Anbar province. It was first used by American forces after the 2003 U.S.-led invasion that toppled dictator Saddam Hussein. It later saw American troops stationed there amid the fight against the ISIS terror group in Iraq and Syria. Hossein Salami, Soleimani’s successor as leader of the Revolutionary Guard, addressed a crowd of supporters gathered at Soleimani’s coffin in a central square in Kerman. He vowed to avenge Soleimani, who was killed in a U.S. drone strike Friday near Baghdad’s airport. “We tell our enemies that we will retaliate but if they take another action we will set ablaze the places that they like and are passionate about,” Salami said. The United States said Soleimani was responsible for killing U.S. troops in Iraq and accused him of plotting new attacks just before he was killed. Soleimani also led forces supporting Syrian President Bashar Assad in that country’s civil war, and he also served as the point man for Iranian proxies in countries like Iraq, Lebanon, and Yemen. Russian President Vladimir Putin met with Assad in Syria on Tuesday amid the tensions between Washington and Tehran. The Associated Press contributed to this report.","none","none",0,0,0,0
"5",71,"https://www.youtube.com/watch?v=UippIq4ee7A","Ù…Ø¬Ù…ÙˆØ¹Ø© Ù…Ù† Ø§Ø¬Ù…Ù„ Ø§ØºØ§Ù†ÙŠ Ø§Ù„Ø­Ø¨ Ø§Ù„Ø¹Ø±Ø§Ù‚ÙŠØ© Ø§Ù„Ø­ØµØ±ÙŠØ© 2020 ï’– playlist of iraqi new love songs","NULL","none","none",0,0,0,0
"6",83,"https://www.gmanetwork.com/news/news/world/721455/iraq-military-says-no-iraqi-casualties-as-22-missiles-hit-bases/story/","Iraq military says no Iraqi casualties as 22 missiles hit bases","BAGHDAD Iraq -- A total of 22 missiles struck two bases housing US troops in Iraq but there were no Iraqi casualties, the military said Wednesday after the overnight attack. The statement made no mention of Iran, which claimed that it had fired ballistic missiles at the Ain al-Asad airbase in retaliation for the US killing of a top Iranian general. ""Between 1:45 am and 2:15 am (2245 GMT and 2315 GMT) Iraq was hit by 22 missiles, 17 on the Ain al-Asad air base and ... five on the city of Arbil,"" the Iraqi military said. ""There were no victims among the Iraqi forces,"" it added, but did not mention whether or not there were casualties among foreign troops. Ain al-Asad is the largest airbase where US-led coalition troops are based. Arbil is the capital of the Kurdish region, and a top official from the regional government said no American military base or US consulate was hit there. The official also said there were no casualties in Arbil. President Donald Trump on Tuesday took to Twitter following the strike to say an ""assessment of casualties & damages taking place now."" ""So far, so good!"" he wrote. It was the first time Iran directly targeted a US installation with ballistic missiles. Over the last two months, US troops and even the embassy in Baghdad had been targeted in more than a dozen rocket attacks that Washington blamed on pro-Tehran groups, but none had been claimed. --Agence France-Presse","none","none",0,0,0,0
"7",114,"https://www.fox5dc.com/news/pentagon-34-us-troops-diagnosed-with-traumatic-brain-injuries-after-iran-missile-strike-on-iraqi-base","Pentagon: 34 US troops diagnosed with traumatic brain injuries after Iran missile strike on Iraqi base","At least 34 U.S. troops were diagnosed with traumatic brain injuries after an Iranian missile strike hit an Iraqi air base earlier this month, officials at the Pentagon announced Friday. WASHINGTON - The Pentagon disclosed on Friday that 34 U.S. service members suffered traumatic brain injury in Iran's missile strike this month on an Iraqi air base, and although half have returned to work, the casualty total belies President Donald Trump's initial claim that no Americans were harmed. He later characterized the injuries as “not very serious.” Eight of the injured arrived in the United States on Friday from Germany, where they and nine others had been flown days after the Jan. 8 missile strike on Iraq's Ain al-Asad air base. The nine still in Germany are receiving treatment and evaluation at Landstuhl Regional Medical Center, the largest U.S. military hospital outside the continental United States. Jonathan Hoffman, the chief Pentagon spokesman, said the eight in the U.S. will be treated at Walter Reed National Military Medical Center at Bethesda, Maryland, or at their home bases. The exact nature of their injuries and their service and unit affiliations were not disclosed. Trump had initially said he was told that no troops had been injured in the strike, which Iran carried out as retaliation for a U.S. drone strike in Baghdad that killed Iran's most powerful general, Qassem Soleimani, on Jan. 3. The military said symptoms of concussion or traumatic brain injury were not immediately reported after the strike and in some cases became known days later. Many were in bunkers before nearly a dozen Iranian ballistic missiles exploded. The question of American casualties took on added important at the time of the Iranian strike because the degree of damage was seen as influencing a U.S. decision on whether to counter-attack and risk a broader war with Iran. Trump chose not to retaliate, and the Iranians then indicated their strike was sufficient for the time being. Tensions have since eased. After the Pentagon reported on Jan. 17 that 11 service members had been evacuated from Iraq with concussion-like symptoms, Trump said, “I heard they had headaches and a couple of other things ... and I can report it is not very serious.” He said he did not consider the injuries to be as severe as those suffered by troops who were hit by roadside bombs in Iraq. Traumatic brain injury, or TBI, has become a bigger concern for the military in recent years as medical science improves its understanding of its causes and effects on brain function. It can involve varying degrees of impairment of thinking, memory, vision, hearing and other functions. The severity and duration of the injury can vary widely. The Defense Department has said more than 375,000 incidents of TBI occurred in the military between the years 2000 and 2018. Jefferson Kinney, a neuroscience researcher at the University of Nevada at Las Vegas, where he is chair of the department of brain health, said Friday that much remains to be learned about TBI, including its effects on behavior. “It depends a lot on how severe the damage is and where the damage is,” among other factors, he said. “There is huge variability across individuals. Some people will undergo a trauma that they seem to recover from very quickly and others seem to be much more impacted by it for a longer duration.” The Centers for Disease Control and Prevention says a severe TBI may lead to death or result in an extended period of coma or amnesia. Hoffman's disclosure that 34 had been diagnosed with TBI was the first official update of the number injured since the Pentagon announced the evacuation of the first 11. On Jan. 21, officials said more had been sent out of Iraq for further diagnosis and treatment, but the Pentagon declined to provide firm figures or say whether any had been returned to duty. Hoffman said that of the 34 with TBI, 18 were evacuated from Iraq to U.S. medical facilities in Germany and Kuwait, and 16 stayed in Iraq. The one American sent to Kuwait has since returned to duty in Iraq. All 16 who stayed in Iraq have since returned to duty there, Hoffman said. No one was killed in the attack on Ain al-Asad, even though the U.S. had no missile defense systems there to protect from potential attack. Hoffman said Friday that deploying one or more Patriot anti-missile systems to Iraq is among options now being weighed by military commanders. The U.S. had deployed numerous Patriot systems to other countries in the region as protection against Iranian missile attack, including in Saudi Arabia, but a strike on Iraq was seen as less likely. Some members of Congress this week pressed the Pentagon for more clarity on the scope of the TBI cases resulting from the Iranian attack. Rep. Bill Pascrell, D-N.J., founder of the Congressional Brain Injury Task Force, wrote senior Pentagon officials on Thursday requesting additional details on casualties from the attack. On Friday morning, Defense Secretary Mark Esper directed the Pentagon’s acting undersecretary of defense for personnel and readiness, Matthew Donovan, to begin working with the staff of the Joint Chiefs to review how military injuries are tracked and reported — not just TBI cases but battlefield injuries of all kinds, Hoffman told reporters. Advertisement “The goal is to be as transparent, accurate, and to provide the American people and our service members with the best information about the tremendous sacrifices our war fighters make,” Hoffman said. This material may not be published, broadcast, rewritten, or redistributed. ©2022 FOX Television Stations","none","none",0,0,0,0
"8",133,"https://dailycaller.com/2020/01/17/iraqi-refugee-running-against-ilhan-ambassador-chris-stevens-benghazi/","Exclusive: Republican Iraqi Refugee Running Against Ilhan Omar Opens Up On Her Friendship With Ambassador Killed In Benghazi Raid","Dalia Al-Aqidi, a former White House correspondent, just announced she will be running on the Republican ticket against Democratic Minnesota Rep. Ilhan Omar in Minnesota’s 5th Congressional district. Al-Aqidi joined the Daily Caller’s Christian Datoc for a wide-ranging interview, in which she discussed her decision to run against Omar, the media’s coverage of President Donald Trump, rising tensions between the U.S. and Iran and her personal friendship with Christopher Stevens, the former U.S. Ambassador to Libya who was killed in the Benghazi raid. WATCH: Check out TheDC’s fantastic videos and subscribe to our YouTube channel to avoid missing out. SUBSCRIBE! NOW CHECK OUT The Daily Caller’s most recent videos: Reggie Love, President Barack Obama’s White House Body Man, Explains Why He Endorsed Pete Buttigieg Over Joe Biden Is Bernie Sanders A Sexist? We Asked ‘The Liberal Sherpa’ Nike Sides With Colin Kaepernick, Many Customers Revolt Inside The Daily Caller’s Exclusive Oval Office Interview With President Donald Trump Would You Rather Date A Trump Supporter or MS-13 Gang Member? New Details About The ‘Muslim Extremist’ Compound In New Mexico ‘Trophy Culture’ Hijacks New Jersey High School Cheer Squad Fact Checking White House ‘Truth Seekers’ On North Korea Democrats’ New Campaign Message: ‘Drain The Swamp’ ‘Fake News’ Defends Brutal MS-13 Gang Follow Christian on Twitter and Instagram ©2022 The Daily Caller, Inc. The Daily Caller | 1775 Eye Street NW | Suite 1150-290 | Washington, DC 20006","none","none",0,0,0,0
"9",141,"https://www.rt.com/news/478077-iraq-base-balad-hit-injured/","4 Iraqi Air Force servicemen injured as 8 rockets hit base housing US troops","NULL","none","none",0,0,0,0
"10",170,"https://menrec.com/meet-the-republican-muslim-iraqi-refugee-coming-for-ilhan-omars-seat/","Meet The Republican Muslim Iraqi Refugee Coming For Ilhan Omar's Seat","NULL","none","none",0,0,0,0
"11",213,"https://www.dw.com/en/us-rejects-iraqi-parliaments-call-to-withdraw-troops/a-51958747","US rejects Iraqi parliamentâ€²s call to withdraw troops","Take a look at the beta version of dw.com. We're not done yet! Your opinion can help us make it better. We use cookies to improve our service for you. You can find more information in our data protection declaration. Washington and Baghdad should not discuss troop withdrawal, the US State Department has said, refusing parliament's request for US soldiers to leave. Protesters in Iraq urged both the US and Iran to stop their meddling.   After Iraqi lawmakers voted to oust US troops, the US State Department dismissed their demand and said Washington and Baghdad should instead focus on fixing their alliance. ""Any delegation sent to Iraq would be dedicated to discussing how to best recommit to our strategic partnership — not to discuss troop withdrawal,"" spokeswoman Morgan Ortagus said on Friday. The US, which invaded Iraq and toppled the regime of Saddam Hussein in 2003, currently has some 5,200 soldiers on Iraqi soil. The troops are training and assisting Iraqi forces in the fight against the remnants of the defeated ""Islamic State"" (IS) militia. On Friday, the State Department said the US forces were crucial for the anti-IS effort and would not discuss removing them. Instead, the two sides should talk about ""our right, appropriate force posture in the Middle East,"" the US said. Iraqi militia head killed alongside Soleimani The latest row between Iraq and the US was triggered by a US drone attack near Baghdad airport which killed Iran's General Qassem Soleimani and powerful Iraqi militia head Abu Mahdi al-Muhandis. In a non-binding vote on Sunday, the Iraqi parliament passed a resolution asking the US troops to leave and asking the Iraqi government to formally demand a US withdrawal. In an apparent blunder, the US military's Task Force Iraq pledged to ""prepare for onward movement"" of US troops ""in deference to the sovereignty of the Republic of Iraq"" in a letter sent on Monday. However, the US officials were quick to dismiss the message as a ""draft"" that was sent by mistake. Several top US military officials have said there were no plans for US forces to withdraw. Iraq's caretaker prime minister Adel Abdul-Mahdi then presented the request to US Secretary of State Mike Pompeo during a phone call on Thursday night. Between rock and hard place Also on Friday, protesters gathered in Baghdad and southern Iraq to demand that both Iran and the US stop meddling in Iraqi politics. Both Washington and Tehran are nominally allies of the Baghdad government. Iran is ruled by Shiite clerics who also exert a large influence on the Shiite majority in Iraq. The US also has many instruments to pressure the Iraqi officials, including waivers on sanctions against Iran. Washington currently allows Iraq to import Iranian gas despite sanctions, but the arrangement is set to expire in February. Iraq is also home to large Sunni and Kurdish populations, which oppose the idea of a US withdrawal and see US forces as a shield against unchecked power of Shiite factions. dj/msh (AP, Reuters, AFP) Every evening, DW sends out a selection of the day's news and features. Sign up here. © 2022 Deutsche Welle | Privacy Policy | Accessibility Statement | Legal notice | Contact | Mobile version","none","none",1,3,0,0
