ID,URL,Title,body,Country,Group,Protest,Protest_Typ,Discrim,Discrim_Type
3,https://www.wafb.com/2020/01/28/woman-becomes-first-female-african-american-captain-louisiana-state-police-history/,Woman becomes first female African American captain in Louisiana State Police history,,none,black,0,0,1,1
9,https://www.navytimes.com/news/your-navy/2020/01/20/navys-next-aircraft-carrier-named-in-honor-of-african-american-hero/,Navyâ€™s newest aircraft carrier named in honor of African American hero,,none,black,1,1,1,1
45,https://www.sapeople.com/2020/01/20/south-african-lottery-money-goes-to-cousin-of-national-lotteries-commission-boss/,South African Lottery Money Goes to Cousin of National Lotteries Commission Boss - SAPeople - Your Worldwide South African Community,,none,none,0,0,0,0
52,https://www.bbc.com/pidgin/tori-51023254,"Caf Awards 2019: Sadio Mane, Asisat Oshoala win African Player of the Year",,none,black,0,0,0,0
58,https://face2faceafrica.com/article/chicago-first-african-american-owned-hospital-and-site-for-first-heart-surgery-to-be-demolished,Chicago: First African American-owned hospital and site for first heart surgery to be demolished,,none,black,0,0,1,2
72,https://wtop.com/business-finance/2020/01/howard-university-receives-2-5m-african-american-art-collection-2/,Howard University receives $2.5M African American art collection,,none,black,0,0,0,0
96,https://www.liverpoolfc.com/news/first-team/381803-sadio-mane-african-player-of-the-year-reaction,Sadio Mane: I'm so proud to win CAF African Player of the Year award,,none,black,0,0,0,0
97,https://www.sbs.com.au/news/the-australian-musician-fighting-racist-narratives-about-african-migrants,The Australian musician fighting racist narratives about African migrants,,none,black,1,3,1,3
101,https://www.unilad.co.uk/news/navy-to-name-new-aircraft-carrier-after-african-american-pearl-harbor-hero,Navy To Name New Aircraft Carrier After African American Pearl Harbor Hero,,none,black,0,0,1,3
124,https://www.goodmorningamerica.com/news/story/navy-honors-doris-miller-1st-aircraft-carrier-named-68391493,Navy to honor Doris Miller with 1st aircraft carrier named after African American,,none,black,0,0,1,3
134,https://www.thesun.co.uk/sport/football/10698916/sadio-mane-village-celebrates-award/,Watch moment Sadio Maneâ€™s village erupts as Liverpool star is named African Player of the Year,,none,black,0,0,0,0
150,https://www.blackenterprise.com/ceo-seeks-to-increase-african-american-homeownership-through-legacy/,CEO Seeks to Increase African American Homeownership Through LEGACY,,none,black,0,0,1,0
176,https://www.wistv.com/2020/01/22/allen-university-breathes-new-life-into-hospital-once-used-serve-african-americans-segregation-era/,Allen University breathes new life into hospital once used to serve African Americans in segregation-era,,none,black,0,0,1,2
183,https://www.premiumtimesng.com/news/top-news/371937-nigerians-other-foreign-nationals-get-12-hours-to-leave-south-african-province.html,"Nigerians, other foreign nationals get 12 hours to leave South African Province",,none,none,1,2,0,0
198,https://www.wasbst.com/2020/01/15/meet-north-carolina-national-guards-first-african-american-video/,"Meet North Carolina National Guardâ€™s First African American, Female Black Hawk Pilot - Video",,none,black,0,0,1,1
201,https://www.aerotechnews.com/nellisafb/2020/01/31/shawna-kimbrell-first-african-american-female-fighter-pilot/,Shawna Kimbrell: First African American female fighter pilot,,none,black,0,0,1,1
219,https://www.thesouthafrican.com/news/business-news-and-finance/south-african-expat-tax-to-come-into-effect-in-march/,South African expat tax to come into effect in March,,none,none,0,0,0,0
240,https://www.wkyc.com/article/life/family/african-safari-wildlife-park-reopening-after-fire-port-clinton/95-ac3ccb7c-2db7-4d53-b018-003fa9786c00,When does African Safari Wildlife Park reopen in Port Clinton?,,none,none,0,0,0,0
241,https://www.pulse.com.gh/sports/football/its-a-big-day-for-me-manes-humble-speech-after-winning-african-footballer-of-the-year/z2j4d8c,â€˜Itâ€™s a big day for meâ€™ â€“ Maneâ€™s humble speech after winning African Footballer of the Year,,none,none,0,0,0,0
264,https://egyptianstreets.com/2020/01/27/egypts-handball-team-crowned-african-champions-qualify-for-olympics/,"Egypt's Handball Team Crowned African Champions, Qualify for Olympics | Egyptian Streets",,none,none,0,0,0,0
269,https://www.youtube.com/watch?v=o-SMWu2Rex4,The Duke and Duchess of Cambridge Welcome African Leaders at Glittering Buckingham Palace Reception,,UK,none,0,0,0,0
304,https://www.masslive.com/opinion/2020/01/i-am-a-member-of-the-somali-bantu-community-and-a-refugee-living-in-springfield-this-is-how-i-ended-up-here-guest-viewpoint.html,I am a member of the Somali Bantu community and a refugee living in Springfield. This is how I ended up here. (Guest viewpoint),,none,none,0,0,1,1
375,https://www.empireofthekop.com/2020/01/08/video-sadio-manes-african-poty-acceptance-speech-is-a-thing-of-beauty/,(Video) Sadio Mane's African POTY acceptance speech is a thing of beauty,,none,none,0,0,0,0
383,https://thefedupdemocrat.home.blog/2020/01/19/african-american-health-freedom-fighters/,African American Health Freedom Fighters,,none,black,0,0,0,0
391,https://www.tuko.co.ke/333039-cardi-b-reacts-manipulated-photo-daughter-yoruba-outfit.html,Cardi B responds to manipulated photo of her daughter in African outfit,,none,none,0,0,0,0
406,https://www.aljazeera.com/news/2020/1/29/why-african-countries-seek-greater-role-in-libya-peace-process,Why African countries seek greater role in Libya peace process,,none,none,0,0,0,0
410,https://blog.ucsusa.org/rachel-cleetus/east-african-locust-crisis-shows-climate-change-threatens-food/,East African Locust Crisis Shows how Climate Change Threatens Food Security,,none,none,0,0,0,0
417,https://qz.com/africa/1783714/african-economies-to-watch-in-2020-debt-and-climate-crisis/,"African economies to watch in 2020, debt and climate crisis",,none,none,0,0,0,0
422,https://www.gmanetwork.com/news/news/regions/723523/binmaley-in-pangasinan-placed-under-state-of-calamity-due-to-african-swine-fever/story/,Binmaley in Pangasinan placed under state of calamity due to African swine fever,,none,none,0,0,0,0
423,https://africanreporter.co.za/124177/langaville-high-improves-its-matric-results/,Langaville obtains 90% performance | African Reporter,,none,none,0,0,0,0
432,https://fun.shared.com/huge-african-elephant-casually-crashes-private-pool-party-and-helps-himself-to-a-drink/,Huge African Elephant Casually Crashes Private Pool Party And Helps Himself To A Drink,,none,none,0,0,0,0
437,https://www.youtube.com/watch?v=iE3I2zfXwoE,Why Liverpool's Sadio Mane is most deserving of the African Footballer of the Year Award | ESPN FC,,UK,black,0,0,0,0
450,https://www.soccerladuma.co.za/news/articles/international/categories/african-football/african-2022-world-cup-qualifying-groups-revealed/671556,African 2022 World Cup Qualifying Groups Revealed,,none,none,0,0,0,0
455,https://www.theguardian.com/artanddesign/2020/jan/13/yinka-shonibare-london-nigeria-african-renaissance,Yinka Shonibare: â€˜I see whatâ€™s happening as an African renaissanceâ€™,,UK,black,0,0,0,0
464,https://www.theroot.com/tom-steyer-picks-up-3-black-surrogates-from-the-carolin-1841062145,Tom Steyer African American Endorsements in South Carolina,,none,none,0,0,0,0
494,https://www.youtube.com/watch?v=qJuMlCjrSSQ,4 African Presidents Who said no to Homosexuality*,,none,none,0,0,0,0
499,https://economictimes.indiatimes.com/news/politics-and-nation/sc-allows-centre-to-bring-african-cheetah-to-suitable-wildlife-habitat-in-india/articleshow/73690054.cms,SC allows Centre to bring African cheetah to suitable wildlife habitat in India,,none,none,0,0,0,0
512,https://webuyblack.com/blog/the-african-smart-home-is-here-thanks-to-these-2-sistas/,"The African Smart Home Is Here, Thanks To These 2 Sistas | How We Buy Black",,none,none,0,0,0,0
520,https://www.youtube.com/watch?v=CEcYry6RSbE,Skarra Mucci - Real African [Africa We Want Riddim] Conquering Records 2020,,none,none,0,0,0,0
547,https://www.wthitv.com/content/news/Abused-circus-animals-arrive-at-South-African-sanctuary-567463141.html,Abused circus animals arrive at South African sanctuary,,none,none,0,0,0,0
550,https://www.cloudninesports.com.ng/2020/01/sadio-mane-and-asisat-oshoala-crowned.html,Sadio Mane And Asisat Oshoala Crowned The King and Queen Of African Football 2019.,,none,none,0,0,0,0
589,https://www.youtube.com/watch?v=eMKgYyPaT4Y,Top players take part in the first leg of the South African junior chess tournament,,none,none,0,0,0,0
594,https://www.channelstv.com/2020/01/07/moroccos-hakimi-beats-osimhen-chukwueze-to-win-african-youth-player-of-the-year/,"Moroccoâ€™s Hakimi Beats Osimhen, Chukwueze To Win African Youth Player Of The Year",,none,none,0,0,0,0
624,https://www.theafricareport.com/22748/african-countries-proactive-response-to-coronavirus-epidemic/,African countries proactive response to coronavirus epidemic | The Africa Report.com,,none,none,0,0,0,0
625,https://punchng.com/oshoala-family-celebrate-african-best-women-footballer-award/,"Oshoala, family celebrate African best women footballer award - Punch Newspapers",,none,none,0,0,0,0
634,https://ladysmithgazette.co.za/137913/4-6-metre-southern-african-python-found-near-ladysmith-eating-goat/,4.6-metre Southern African Python found near Ladysmith after eating a goat - Ladysmith Gazette,,none,none,0,0,0,0
647,https://allthatsinteresting.com/charity-adams-earley,"Meet Charity Adams Earley, The Highest-Ranking African American Female Officer Of World War II",,none,none,0,0,1,2
656,https://africa.cgtn.com/2020/01/31/more-african-airlines-suspend-flights-to-china/,More African airlines suspend flights to China,,none,none,0,0,0,0
