"","ID","URL","Title","body","Country","Group","Protest","Protest_Type","Discrim","Discrim_Type"
"1",3,"https://www.wafb.com/2020/01/28/woman-becomes-first-female-african-american-captain-louisiana-state-police-history/","Woman becomes first female African American captain in Louisiana State Police history","BATON ROUGE, La. (WAFB) - On Tuesday, Jan. 28, Governor John Bel Edwards announced changes to Louisiana State Police’s (LSP) Protective Services unit. Captain Treone Larvadain has been promoted to lead the unit, making her the first African American female captain in LSP history. She succeeds Captain Clay Chutz, who recently retired after 30 years of service with LSP under six different governors (Buddy Roemer, Edwin Edwards, Mike Foster, Kathleen Blanco, Bobby Jindal, and John Bel Edwards). I am happy to announce Captain Treone Larvadain has been promoted to lead the @LAStatePolice Protective Services division, becoming the first African-American female captain in State Police history. #lagov #lalege 📰: https://t.co/6SvYeF93ar “I am extremely proud of both Captain Larvadain and Captain Chutz and congratulate them on their accomplishments. They have both provided excellent service to the people of our state and exemplify the best of the Louisiana State Police. My family and I are especially grateful for the professional work Captain Chutz has provided to us over the last four years and have the utmost confidence in Captain Larvadain, who has worked alongside him and has now taken over the reins. The longevity of Captain Chutz’s career and the promotion of Captain Larvadain are a direct reflection of their dedication and commitment to the force and our great state,” said Gov. Edwards. RELATED: History in the Making: La. State Police’s first mother, daughter troopers A representative with the governor’s office says Larvadain was hired in March of 2006 and began her career with Troop C. She worked in Protective Services from 2008 to 2011. In 2012, she was promoted to sergeant in the Bureau of Investigations and also served as an instructor at the training academy. Then in 2018, Larvadain was promoted to lieutenant in Internal Affairs. Also in 2018, Treone and her daughter Tiah became the first-ever mother and daughter to serve in the Louisiana State Police. According to LSP’s website, the Protective Services unit is “a unique section that allocates manpower based on the needs of the current Governor.” “Protective Services is responsible for the safety and security of the Governor and the Governor’s immediate family. Additionally, Protective Services provides security details to the Lieutenant Governor and other dignitaries at the Governor’s request. Protective Services also assists in protecting the President of the United States when requested by the Secret Service and further provides protection and logistics for visiting Governors and leaders from other states and countries. Louisiana State Police troopers and Department of Public Safety officers are assigned to the Governor’s Mansion 24 hours a day, year-round and are responsible for the physical protection of the Mansion and its grounds. Protective Services also has a detail assigned to the Louisiana State Capitol overseeing the day-to-day physical security operations at the Governor’s office in the Capitol.” Copyright 2020 WAFB. All rights reserved.","none","black",0,0,1,1
"2",9,"https://www.navytimes.com/news/your-navy/2020/01/20/navys-next-aircraft-carrier-named-in-honor-of-african-american-hero/","Navyâ€™s newest aircraft carrier named in honor of African American hero","During an emotional Monday ceremony in Pearl Harbor, Acting Navy Secretary Thomas Modly honored the legacy of World War II hero Doris Miller by bestowing his name on a future aircraft carrier. It marks the first time a flattop has paid homage to an African American, a Navy Cross recipient and an enlisted service member. And it was decreed on a day set aside to remember the Rev. Martin Luther King Jr. and his lifelong crusade to end racial discrimination across the United States. With the USS Arizona Memorial his backdrop, Modly sketched how Miller rose to battle on the morning of Dec. 7, 1941, a mess attendant in a racially segregated rating that made African American men servants to white officers. Instead of collecting the morning’s laundry, Miller carried wounded shipmates from the blazing battleship West Virginia after it was hit by enemy fire. He fought the flames as they erupted on the vessel and then manned a .50 caliber machine gun — a weapon he never operated previously — to swat away Japanese planes during the ongoing surprise attack that launched the United States into World War II. His ammo spent and ordered to abandon ship, he was one of the last three sailors to escape the West Virginia. Advanced to mess attendant first class on June 1, 1942, and awarded the Navy Cross for combat valor, Miller was killed 17 months later when a Japanese submarine sank the escort carrier Liscome Bay off Makin Atoll during the invasion of the Gilbert Islands. “He died as he lived, an American sailor defending his nation, shoulder to shoulder with his shipmates, until the end,"" said Modly. ""Dorie Miller stood for everything that is good about our nation. His story deserves to be remembered and repeated wherever our people continue to stand the watch today. “He’s not just the story of one sailor. It is the story of our Navy, of our nation and our ongoing struggle to form — in the words of our Constitution — a more perfect union.” The future aircraft carrier Miller won’t be the first Navy vessel to honor the hero. On June 20, 1973, the Navy commissioned the destroyer escort Miller — which was reclassified as a frigate two years later. Modly said that when completed, the new Doris Miller, a Gerald R. Ford-class carrier, will be the most powerful and lethal warship ever built by man. Designed to operate deep into the 21st century, more than 100,000 officers and crew will serve on the carrier, many of them yet to be born. The bulk of those sailors and Marines will be enlisted, the men and women Modly called “the steel spine of our ships.” He said the faces of a great and diverse crew will go with their carrier to every corner of the globe as a visible symbol of American values. The name of the carrier also will remind the nation of its everlasting debt to the veterans of World War II who, like Miller, sacrificed so that future American generations would be free. The acting secretary traced a similar journey Miller’s legacy took in the mid-20th century, from his day of courage in Pearl Harbor to a budding civil rights movement that leaned on him as an example to force a wartime nation to open up its defense plants to African Americans. Modly pointed to the bitter irony of African American service members who fought tyranny abroad in World War II only to return home to a nation that denied them liberty simply because of the color of their skin. He drew a moral arc from Miller’s heroism and quietly persuasive call for positive change during the war to the core message of Martin Luther King Jr.'s 1963 Letter from a Birmingham Jail: “Injustice anywhere is a threat to justice everywhere. We are caught in an inescapable network of mutuality, tied in a single garment of destiny.” That same line continued to Aug. 28, 1963, on the National Mall, when King stood before the Lincoln Memorial and uttered his “I Have a Dream” speech to thousands of peaceful protesters during the March on Washington for Jobs and Freedom. And then it all returned to Pearl Harbor, where Modly officially named a new carrier in Miller’s honor, only a short distance from where he became one of the first Americans to fight in World War II. “In selecting this name, we honor the contributions of all our enlisted ranks, past and present, men and women, of every race, religion and background,” said Modly. “Dr. Martin Luther King, Jr. observed, ‘Everybody can be great - because anybody can serve.' No one understands the importance and true meaning of service than those who have volunteered to put the needs of others above themselves.” That spirit was bipartisan. U.S. Rep. Bill Flores, a Republican who represents Miller’s hometown of Waco, pointed to the importance of a carrier named after an enlisted hero, saying that it will serve as inspiration to future generations of young service members. Also born in segregated Waco but today representing Dallas, Rep. Eddie Bernice Johnson recalled hearing the tale of Miller’s heroism from her father. She continues to spearhead the push on Capitol Hill and inside the Pentagon to upgrade Miller’s Navy Cross to the Medal of Honor. “My journey’s not quite over,"" she said. Prine came to Navy Times after stints at the San Diego Union-Tribune and Pittsburgh Tribune-Review. He served in the Marine Corps and the Pennsylvania Army National Guard. His awards include the Joseph Galloway Award for Distinguished Reporting on the military, a first prize from Investigative Reporters & Editors and the Combat Infantryman Badge. Navy Times © 2022 Navy Times © 2022","none","black",1,1,1,1
"3",45,"https://www.sapeople.com/2020/01/20/south-african-lottery-money-goes-to-cousin-of-national-lotteries-commission-boss/","South African Lottery Money Goes to Cousin of National Lotteries Commission Boss - SAPeople - Your Worldwide South African Community","Only a fraction of the R11 million grant appears to have gone to its intended purpose. By Raymond Joseph National Lotteries Commission COO Phillemon Letwaba signed off a multi-million rand Lottery grant to a non-profit organisation directed by his family member. Photo copied for fair use from NLC website According to leaked bank statements, R2 million was paid to Upbrand Properties by I Am Made For God’s Glory (IAM4GG), which received a R11,375,000 grant from the Lottery to develop an “integrated sports facility” in Limpopo. The sole director of Upbrand is Kenneth Tomoletso Sithole, first cousin of NLC chief operating officer Phillemon Letwaba. GroundUp has previously revealed how Upbrand received a R15-million contract to build a rehabilitation centre near Pretoria at a time when Letwaba’s brother, Johannes “Joe” Letwaba, was a director of the company. Johannes Letwaba subsequently resigned, leaving Keneilwe Constance Maboa, the wife of Karabo Sithole, another first cousin of the Letwaba brothers, as the company’s sole director. When Maboa resigned 17 months later, Kenneth Sithole was appointed as Upbrand’s sole director. The bank statements are for an IAM4GG account opened at Nedbank on 10 January 2017. The account lay dormant for over a year until an amount of R380 was transferred into it to reactivate it on 16 February 2018. Once again there was no activity on the account and by 25 April 2018 bank charges had reduced the available credit to just R190.55. The next day the NLC paid R9.1-million into the account, the first of two tranches of the IAM4GG grant. The second tranche of R2,275,000 was paid into the account on 6 July 2018. The application for funding submitted to the NLC listed lawyer Lesley Ramulifho as IAM4GG’s chairperson and Karabo Sithole as secretary. In other words, money passed from the National Lotteries Commission, of which Letwaba is COO, through IAM4GG, of which Letwaba’s cousin Karabo Sithole is secretary, to Upbrand, of which Kenneth Sithole, cousin of both Karabo Sithole and of Letwaba, is sole director. And the chairman of IAM4GG is Ramulifho, who has already received at least R60 million in Lottery funds, as GroundUp has previously revealed. Moreover, Phillemon Letwaba signed the grant agreement for the NLC on 16 April 201 8. In its application for funding, IAM4GG said the plan was “to provide infrastructure in order to advance sport, recreation and physical activity in communities across the country”. The project was aimed at sports “transformation” and athletes from “disadvantaged … especially our rural communities”. It would create 60 full-time and 40 part-time jobs and benefit over 16,000 people, according to the application. GroundUp has not been able to establish where this “infrastructure” is located because the NLC failed to answer our questions. But the commission told GroundUp in a November 2018 statement that the “project work is complete” and the project had been handed over to the local municipality. The grant allocated R10,440,000 for “capacity building (integrated sports facility)”; R500,000 for “sports equipment and apparel” and R435,000 for administration. But only five payments in the leaked IAM4GG bank statements appear to be directly connected to the sports facility: R500,000 on 7 May 2018, for “construction sports stadium” and a further four payments for “sports centre” that totalled R22,500. The payments were made on 17, 19 and 20 July 2018. If there were any further payments related to the sports facility, they are not recorded as such on the bank statements. There were two mystery payments from the IAM4GG account for R5 million on 4 May 2018, and a further R700,000 on 7 July, paid into an account identified only by a number. An amount of R3 million was paid into the same account on 26 January 2018 by Denzhe, an NPO controlled by Ramulifho. This number refers to a Nedbank “investment account”, according to a source at the bank. However there are other deductions for management fees (R50,000 on 30 April 2018 and R25,000 on 7 May), and deductions to Hush Interiors, an upmarket decor company (R40,000 on 3 May 2018), Bradlows (R19,599.95 on 8 May 2018) and Vaja Products (saunas and steam rooms – R132,000 on 8 May 2018). Within days of the first R9.1 million tranche of the Lottery grant landing in IAM4GG’s account, the first of a series of payments totalling R644,000 were made for “legal drafting”.The payments, ranging from R10,000 to R200,000, were made between 30 April and 30 May 2018. And, after the second tranche of R2,275,000 was paid on 6 July 2018, a further R373,900 was paid out for “legal drafting” over the next two weeks. The bank statements also list payments totalling R672,000 that are described as “franchise fee” from the NPO’s bank account. By 30 June 2018, the Lottery funding was almost exhausted with only R1,708.79 left in the account. But six days later, on 6 July, the account was topped up again with a deposit of R2,275,000 — the second tranche — by the NLC. However, after a series of payments — including R373,900 for “legal drafting”, R700,000 into the mystery account, R100,000 for “management fees” and R50,000 to a courier company — the account balance was reduced to just R81,706.99 by 14 July, a week after the NLC payment. Neither Ramulifho nor his employee Liesl Moses responded to emailed questions about the project and the information contained in the bank statements. GroundUp also contacted two people listed as directors of IAM4GG when the organisation was registered with the Department of Social Development in 2012: Thomas Nkuna, deputy chairperson, and Mpho Maphanga, treasurer. Neither responded. The NLC failed to respond to detailed questions sent to Commissioner Thabang Mampane and spokesman Ndivuhuho Mafela. Instead the NLC’s head of legal affairs, Tsietsi Maselwa, responded by email, noting the “serious allegations”, and claiming to be unaware of most of the information on which we based our questions. Phillemon Letwaba is suing Raymond Joseph (the author of this article), Nathan Geffen (the editor of GroundUp), and Community Media Trust (the owner of GroundUp) for defamation. Published originally on GroundUp / © 2020 GroundUp. This article is licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License. You may republish this article, so long as you credit the authors and GroundUp, and do not change the text. Please include a link back to the original article. Name Email CountryAfghanistanAlbaniaAlgeriaAmerican SamoaAndorraAngolaAnguillaAntigua & BarbudaArgentinaArmeniaArubaAustraliaAustriaAzerbaijanAzoresBahamasBahrainBangladeshBarbadosBelarusBelgiumBelizeBeninBermudaBhutanBoliviaBonaireBosnia & HerzegovinaBotswanaBrazilBritish Indian Ocean TerBruneiBulgariaBurkina FasoBurundiCambodiaCameroonCanadaCanary IslandsCape VerdeCayman IslandsCentral African RepublicChadChannel IslandsChileChinaChristmas IslandCocos IslandColombiaComorosCongoCongo Democratic RepCook IslandsCosta RicaCote D'IvoireCroatiaCubaCuracaoCyprusCzech RepublicDenmarkDjiboutiDominicaDominican RepublicEast TimorEcuadorEgyptEl SalvadorEquatorial GuineaEritreaEstoniaEthiopiaFalkland IslandsFaroe IslandsFijiFinlandFranceFrench GuianaFrench PolynesiaFrench Southern TerGabonGambiaGeorgiaGermanyGhanaGibraltarGreat BritainGreeceGreenlandGrenadaGuadeloupeGuamGuatemalaGuernseyGuineaGuyanaHaitiHondurasHong KongHungaryIcelandIndiaIndonesiaIranIraqIrelandIsle of ManIsraelItalyJamaicaJapanJerseyJordanKazakhstanKenyaKiribatiKorea NorthKorea SouthKuwaitKyrgyzstanLaosLatviaLebanonLesothoLiberiaLibyaLiechtensteinLithuaniaLuxembourgMacauMacedoniaMadagascarMalawiMalaysiaMaldivesMaliMaltaMarshall IslandsMartiniqueMauritaniaMauritiusMayotteMexicoMidway IslandsMoldovaMonacoMongoliaMontenegroMontserratMoroccoMozambiqueMyanmarNamibiaNauruNepalNetherland AntillesNetherlandsNevisNew CaledoniaNew ZealandNicaraguaNigerNigeriaNiueNorfolk IslandNorwayOmanPakistanPalau IslandPalestinePanamaPapua New GuineaParaguayPeruPhilippinesPitcairn IslandPolandPortugalPuerto RicoQatarReunionRomaniaRussiaRwandaSaipanSamoaSamoa AmericanSan MarinoSao Tome & PrincipeSaudi ArabiaSenegalSerbiaSerbia & MontenegroSeychellesSierra LeoneSingaporeSlovakiaSloveniaSolomon IslandsSomaliaSouth AfricaSpainSri LankaSt BarthelemySt EustatiusSt HelenaSt Kitts-NevisSt LuciaSt MaartenSt Pierre & MiquelonSt Vincent & GrenadinesSudanSurinameSwazilandSwedenSwitzerlandSyriaTahitiTaiwanTajikistanTanzaniaThailandTogoTokelauTongaTrinidad & TobagoTunisiaTurkeyTurkmenistanTurks & Caicos IsTuvaluUgandaUkraineUnited Arab EmiratesUnited KingdomUnited States of AmericaUruguayUzbekistanVanuatuVatican City StateVenezuelaVietnamVirgin Islands (Brit)Virgin Islands (USA)Wake IslandWallis & Futana IsYemenZambiaZimbabwe Subscribe Enter your email address:  Delivered by FeedBurner ","none","none",0,0,0,0
"4",52,"https://www.bbc.com/pidgin/tori-51023254","Caf Awards 2019: Sadio Mane, Asisat Oshoala win African Player of the Year","Wia dis foto come from, Getty Images Sadio Mane and Asisat Oshoala na dem be African Player of di Year for men and women. Senegal and Liverpool forward Mane beat both Egypt player Mohammed Salah and Algeria winger Riyad Mahrez to win di award wey dem do for Egypt on Tuesday. Na di first time CAF go name Mane as di African Footballer of the Year afta e come out third for di two editions. For di women category, Asisat Oshoala beat Ajara Nchout from Cameroon and Thembi Kgatlana from South Africa to win her fourth African Women's Player of the Year. Mohamed Salah (Egypt & Liverpool) Riyad Mahrez (Algeria & Manchester City) Sadio Mane (Senegal & Liverpool) - Winner Ajara Nchout (Cameroon & Valerenga) Asisat Oshoala (Nigeria & Barcelona) - Winner Thembi Kgatlana (South Africa & Beijing Phoenix FC) Anice Badri (Tunisia & Esperance) Tarek Hamed (Egypt & Zamalek) Youcef Belaïli (Algeria & Esperance / Ahli Jeddah) - Winner Achraf Hakimi (Morocco & Borussia Dortmund) - Winner Samuel Chukwueze (Nigeria & Villarreal) Victor Osimhen (Nigeria & Lille) Aliou Cisse (Senegal - Senegal) Djamel Belmadi (Algeria - Algeria) - Winner Moïne Chaâbani (Tunisia - Esperance) Alain Djeumfa (Cameroon) Desiree Ellis (South Africa) - Winner Thomas Dennerby (Nigeria) Algeria - Winner Madagascar Senegal Cameroon - Winner Nigeria South Africa Riyad Mahrez goal against Nigeria for Afcon 2019 semi final Kodjovi Obilale Egypt Football Federation Mois Katumbi - President of TP Mazembe © 2022 BBC. De external site no concern BBC. De way wey we de take go external link.","none","black",0,0,0,0
"5",58,"https://face2faceafrica.com/article/chicago-first-african-american-owned-hospital-and-site-for-first-heart-surgery-to-be-demolished","Chicago: First African American-owned hospital and site for first heart surgery to be demolished","Face2Face Africa  A Texas parent wanted a Michelle Obama book removed from schools because it was unfair to Trump Beloved New Orleans music teacher fatally shot while trying to protect daughter and grandson Six ‘tech savvy’ juveniles identified as persons of interest in bomb threats to HBCUs See all Seven Underground Railroad sites that helped guide enslaved people to freedom Was Rosa Parks arrested twice? Here are eight facts about her story you may not know Sojourner Truth is famed for her ‘Ain’t I a Woman’ speech. But she never said those words See all Meet Kili and Neema, the Maasai TikTokers who became an internet sensation Ugandan street food Rolex sets Guinness world record Timkat: A look at Ethiopia’s unique Jesus baptism festival that washes away sins See all Rihanna is pregnant with her first child Nick Cannon reportedly expecting eighth child weeks after son’s death Inside Kanye West’s $4.5M mansion he bought across the street from ex-wife Kim Kardashian See all The entrepreneur whose innovative hygiene brand is helping women fight a common but serious vaginal infection 50-year-old North Carolina woman gives birth to first child after years of trying History made as family unveil line of CBD-infused cooking oils that are both organic and non-GMO See all How a real estate agent remixed Destiny’s Child’s ‘Say My Name’ to promote her business After 15 years of marriage without children, woman gives birth to quadruplets at age 46 Detroit makes history getting first Black female-owned skating club See all How racism pushed this Jamaican man to start Noirbnb, the Airbnb for Black travelers Meet the first all-Black classical symphony orchestra to feature at Carnegie Hall in its 130-yr history Historic all-Black crew operates flight in honor of Juneteenth See all See all A$AP Rocky: Net worth of Rihanna’s boyfriend revealed Esusu: Credit building startup co-founded by Nigerian immigrant becomes $1 billion firm in four years South Africa’s first Black billionaire just bought a luxury wine farm for over $5 million, reports say See all Dangote: Africa’s richest man begins assembling cars in Nigeria This Nigerian-American man is the brains behind the LiveShow+ filter for Instagram Stories Get to know James Manyika, the Zimbabwean tech expert who just made history at Google See all People didn’t know about wine – says woman who left UK to transform Ghana’s wine industry Muratina: The Kenyan traditional brew making waves in the UK thanks to this man A look at the new Ghanaian app that allows diasporans to own and run farms remotely See all Here are the most powerful passports in the Caribbean for 2022 Accra, Ghana including Pan African Heritage World Museum listed among world’s greatest places These are the 10 most powerful African passports to hold in 2022 See all Who really was Andre Leon Talley? Here are six facts about the Vogue legend dead at 73 British Vogue cover featuring an all-African troupe of models earns praise Two-year-old Black brand hits nearly $1m in sales with first ever 4-step lace wig system See all The intriguing history of the ancient Egyptian bust that looks like Michael Jackson Check out Amanda Gorman’s inspiring new poem to usher in 2022 Jade Yasmeen debuts what is said to be the first hyperrealistic portrait of Harriet Tubman in color See all ‘Representation matters’ – Why a Nigerian medical illustrator’s drawing of a Black foetus went viral [Quiz] Can you perfectly match these maps to their respective African countries? [Quiz] Can you match these African fabrics/materials to their countries of origin? See all Ugandan street food Rolex sets Guinness world record How this single mom is building generational wealth through a family recipe What to know about Joumou, Haiti’s historic freedom soup now added to UNESCO’s cultural heritage list See all Search Submit Michael Eli Dokosi | Staff Writer Full bio Close January 15, 2020 at 12:00 pm | History Michael Eli Dokosi is a journalist and a formidable writer with a decade's experience. He is a blogger, voice-over artist and MC. Dokosi is fluid with both spoken and written communication. He is for the African cause and reckons Africa shall regain its rightful place in world affairs soon. Although ‘Policy’- a game of chance was operated through various states in the U.S., it was in Chicago’s South side where it was operated and run by African-Americans that Policy became a multi-million dollar enterprise. Its success of the 1930s, 40s and 50s eventually led the state to move in setting up the state lottery. In 1946, the Jones Brothers comprising Edward, George, and McKissack (Mack) were at the top of the $25 million-a-year policy syndicate in Chicago. Anger in Nigeria as president’s daughter uses presidential jet for private task ’52 Blocks’, the Afrocentric martial art technique that inspired Mike Tyson, Wesley Snipes, others Chicago’s black ‘Policy Kings’ who bankrolled stars and projects from their criminal activity Nigerian church accountant jailed 18 years for stealing church money Money derived from Chicago’s lottery or policy game also financed banks, insurance companies, restaurants, Provident Hospital, Negro baseball league teams and even a cemetery. “Provident Hospital now a public hospital was the first African-American owned and operated hospital in America. Provident was established in Chicago in 1891 by Dr. Daniel Hale Williams, an African-American surgeon during the time in American history where few public or private medical facilities were open to black Americans. It was founded to provide health care and medical training. Its initial officers were president John M. Brown, vice president Richard Mason Hancock, treasurer John T. Jenifer, secretary Louis H. Reynolds, and auditor Lloyd D. Wheeler. “In 1893, the first documented heart surgery was performed by Dr. Daniel Williams at Provident Hospital and Training School.” Given that Policy Sam alias Samuel Young is remembered for bringing the illegal numbers game ‘Policy’ to Chicago in 1885, it lends credence to talk that the hospital was financed through proceeds from that endeavor. Policy came to an end with the launch of the Illinois State Lottery in 1974. With funds no longer coming through to run it, the historic Provident Hospital was forced to close in 1987 due to financial difficulties. When it reopened in 1993, it did so as a public hospital, part of the Cook County Hospital System to provide services to residents of Chicago’s South Side. It is now known as Provident Hospital of Cook County. “The Illinois Health Facilities & Services Review Board approved Cook County Health’s application to build a new hospital to serve the needs of members of the community. The eight-story, $240 million facility for Provident Hospital in Bronzeville is expected to be ready by April 2023. The new hospital will offer MRI imaging, bariatrics, orthopedics, dental and sports medicine.” Although authorities plan to demolish the Provident Hospital structure once the one on a new site is up, it is hoped the beacon of hope which also served as the first nursing school for black women in Chicago will be in the hearts and minds of many Africans-Americans for its significant place in the Black advancement story. Join the conversation Share your thoughts Daughter of NBA star Dennis Rodman makes history again signing richest NWSL contract ever Family of man who was raped and killed in Philadelphia jail files lawsuit against city Shock as Congolese refugee in Brazil is beaten to death over unpaid wages, witnesses say The Syphaxes, the powerful African-American family that trace their descent to Martha Washington Face2FaceAfrica © 2011- 2022 Pana Genius All Rights Reserved Subscribe to premium Already a member? Sign in. Subscribe to premium Already a member? Sign in.","none","black",0,0,1,2
"6",72,"https://wtop.com/business-finance/2020/01/howard-university-receives-2-5m-african-american-art-collection-2/","Howard University receives $2.5M African American art collection","{{headline}} Jeff Clabaugh | jclabaugh@wtop.com January 16, 2020, 10:34 AM Howard University has received a collection of African American art valued at more than $2.5 million in honor of the former dean of the school’s political science department, Ronald W. Walters. Walters’ wife, Patricia Turner Walters, gifted her collection to the school. “It is an incredible honor to receive this generous gift of precious art from the Walters family,” said President Wayne A. I. Frederick. “This collection of sculptures and portraits and paintings will be an excellent complement to our gallery and a beneficial focus of training in our art history courses.” Howard University will also establish the Ronald W. Walters Endowed Chair for Race and Black Politics. The art collection includes 152 pieces of African American art in various forms. It includes original pieces, sculptures, rare prints, photographs and pieces from notable eras, including the Harlem Renaissance. Patricia Walters began her collection in the late 1980s with most of her pieces acquired after 2002. “I could not be more delighted about the decision to give my art collection to Howard, the institution that my husband cared so deeply about,” said Walters. “I always knew I wanted to do something like this to honor my husband’s legacy, but I never imagined that I would get to see it happen in my lifetime.” Ronald W. Walters was a Howard professor from 1971 to 1996. He died in 2010. Jeff Clabaugh has spent 20 years covering the Washington region's economy and financial markets for WTOP as part of a partnership with the Washington Business Journal, and officially joined the WTOP newsroom staff in January 2016.  Like WTOP on Facebook and follow WTOP on Twitter and Instagram to engage in conversation about this article and others. Get breaking news and daily headlines delivered to your email inbox by signing up here. © 2022 WTOP. All Rights Reserved. This website is not intended for users located within the European Economic Area. Need help accessing the FCC Public File due to a disability? Please contact Susan Rushkowski at publicfiledc@hubbardradio.com or (202) 895-5027. Copyright © 2022 by WTOP. All rights reserved. This website is not intended for users located within the European Economic Area. High Contrast","none","black",0,0,0,0
"7",96,"https://www.liverpoolfc.com/news/first-team/381803-sadio-mane-african-player-of-the-year-reaction","Sadio Mane: I'm so proud to win CAF African Player of the Year award","Sam Williams @SamWilIiams Sadio Mane spoke of his pride and happiness after being crowned 2019 CAF African Player of the Year. Liverpool’s No.10 received the prestigious award at a ceremony in Egypt on Tuesday after seeing off competition from teammate Mohamed Salah – winner in both 2017 and 2018 – and Riyad Mahrez. Being named Africa’s best male footballer capped a spectacular year for the Senegal star, during which he won the Champions League, UEFA Super Cup and FIFA Club World Cup, reached the Africa Cup of Nations final, earned the Premier League Golden Boot and finished fourth in the running for the Ballon d’Or.  👑 #SadioMane #CAFAwards2019 https://t.co/FL9qCVvS3B “To be honest, I would love to play football more than to be in front of many important people to speak because football is my job, I love it, but speeches are not, by the way!” began Mane’s acceptance speech. “Good evening everybody. Well, I am really happy and at the same time I am really proud to win this award. I would like to thank my family, especially my uncle who is here and my coach, Aliou Cisse. My national teammates and the staff at the federation, Liverpool Football Club and my teammates, the staff and everybody. “It’s a big day for me. I would love to thank all the Senegalese people - they have been following me all the time, they push me. And my village, I come from a very small village called Bambali, I’m sure they are all watching on TV. Again, I am really happy and very proud to win this.”","none","black",0,0,0,0
"8",97,"https://www.sbs.com.au/news/the-australian-musician-fighting-racist-narratives-about-african-migrants","The Australian musician fighting racist narratives about African migrants","Discover your world of SBS Login or create an account today. Stream free online, anytime Follow SBS SBS acknowledges the Traditional Owners of Country throughout Australia. More from SBS: Get in Touch: Help Centre About SBS SBS Newsletters Follow us: Titan Debirioun came to Australia as a four-year-old with no parents. Today he is one of the strongest voices fighting for social justice for his community. Titan Debirioun in his Melbourne studio. Source: SBS","none","black",1,3,1,3
"9",101,"https://www.unilad.co.uk/news/navy-to-name-new-aircraft-carrier-after-african-american-pearl-harbor-hero","Navy To Name New Aircraft Carrier After African American Pearl Harbor Hero","The US Navy is set to name a new aircraft carrier after a World War II hero who was the first African American to receive the prestigious Navy Cross medal. Acting Navy Secretary Thomas Modly will honour hero Doris Miller on Martin Luther King Day tomorrow, during a ceremony in Honolulu. Miller was born in Waco, Texas, and is widely regarded as a national hero as well as a civil rights hero because of the actions he took at Pearl Harbour on December 7, 1941, when Japanese planes attacked the battleship West Virginia, where he was working as a mess attendant. At the time, African Americans were not allowed to man a gun in the Navy, but Miller took charge amid the chaos and took hold of an anti-aircraft machine gun, which he fired against enemy planes. When his ammunition ran out, Miller raced to assist the fatally wounded commanding officer and others before the West Virginia sank. His bravery earned him the Navy Cross, the second-highest military decoration, though many believe he deserved the top award, the Medal of Honor. Miller died nearly two years after Pearl Harbor while serving aboard the USS Liscome Bay. According to Navy records cited by the Honolulu Star-Advertiser, Miller will be the first African American to have an aircraft carrier named after him. As of December, 14 ships had been named for African Americans, including destroyers and a ballistic missile submarine. Doreen Ravenscroft, president of Cultural Arts of Waco and team leader for the Doris Miller Memorial, spoke about Miller’s accomplishments and the impact they had. She commented: I think that Doris Miller is an American hero simply because of what he represents as a young man going beyond the call of what’s expected. Without him really knowing, he actually was a part of the civil rights movement because he changed the thinking in the Navy. In the end, the fact that he didn’t think about what could be repercussions — that wasn’t a thought when, at the time and in war, he did what was needed in his way to defend the United States of America. Rep. Eddie Bernice Johnson, a Waco native who has been encouraging the Navy to posthumously award Miller the Medal of Honor, will speak at the ceremony. Two of Miller’s nieces are expected to be at Pearl Harbor for the announcement. If you have a story you want to tell, send it to UNILAD via [email protected] @media (max-width:767px){.css-4n1las{display:none;}}Most Read Stories@media (min-width:768px){.css-1s8mc50{display:none;}}Most Read Emily Brown first began delivering important news stories aged just 13, when she launched her career with a paper round. She graduated with a BA Hons in English Language in the Media from Lancaster University, and went on to become a freelance writer and blogger. Emily contributed to The Sunday Times Travel Magazine and Student Problems before becoming a journalist at UNILAD, where she works on breaking news as well as longer form features. Topics: News, Navy, Texas, WWII Honolulu Star Advertiser Navy to name aircraft carrier for Pearl Harbor hero Doris Miller","none","black",0,0,1,3
"10",124,"https://www.goodmorningamerica.com/news/story/navy-honors-doris-miller-1st-aircraft-carrier-named-68391493","Navy to honor Doris Miller with 1st aircraft carrier named after African American","","none","black",0,0,1,3
