ID,URL,Title,body,Country,Group,Protest,Protest_Typ,Discrim,Discrim_Type
2,https://www.eaglenews.ph/bulgarianspatiencerunsdryoverwatercrisis/,Bulgarians' patience runs dry over water crisis,,BUL,bulgarian,1,1,0,0
7,https://www.france24.com/en/20200129bulgarianspatiencerunsdryoverwatercrisis,Bulgarians' patience runs dry over water crisis  France 24,,BUL,bulgarian,1,1,0,0
12,https://urboapp.com/bg/e2401ij,Bulgarians vs Aliens * Standup comedy in English * Gramophone club,,BUL,bulgarian,0,0,0,0
17,https://www.novinite.com/articles/202536/Bulgarians+Mark+172+Years+since+the+Birth+of+Hristo+Botev,Bulgarians Mark 172 Years since the Birth of Hristo Botev  Novinite.com  Sofia News Agency,,BUL,bulgarian,1,1,0,0
20,https://www.novinite.com/articles/202614/PM+Borissov+Hopes+that+Bulgarians+will+be+able+to+Travel+to+the+US+without+Visa+within+a+Year+and+a+Half,PM Borissov Hopes that Bulgarians will be able to Travel to the US without Visa within a Year and a Half,,BUL,bulgarian,0,0,0,0
21,https://www.novinite.com/articles/202515/Bulgarians+Don%27t+EatOut+Much,Bulgarians Don't EatOut Much  Novinite.com  Sofia News Agency,,BUL,bulgarian,0,0,0,0
23,https://sofiaglobe.com/2020/01/31/zaharievaonbrexitbulgariansinukwillnotfeeladifferencetomorrow/,Zaharieva on Brexit: ‘Bulgarians in UK will not feel a difference tomorrow’,,none,bulgarian,0,0,0,0
33,https://sofiaglobe.com/2020/01/13/lessthanhalfofbulgariansareawareofeupassengerrightspoll/,Less than half of Bulgarians are aware of EU Passenger Rights – poll,,BUL,bulgarian,0,0,0,0
39,https://news.yahoo.com/bulgarianspatiencerunsdryoverwatercrisis143627291.html,Bulgarians' patience runs dry over water crisis,,BUL,bulgarian,0,0,0,0
43,https://www.novinite.com/articles/202487/NSI%3A+Travels+of+Bulgarians+abroad+in+November+2019+2.8+higher+than+in+November+2018,NSI: Travels of Bulgarians abroad in November 2019 2.8% higher than in November 2018  Novinite.com  Sofia News Agency,,BUL,bulgarian,0,0,0,0
44,https://www.novinite.com/articles/202897/Turkey%2C+Greece+and+Germany+are+the+Most+Preferred+Destinations+for+Bulgarians+in+December,"Turkey, Greece and Germany are the Most Preferred Destinations for Bulgarians in December  Novinite.com  Sofia News Agency",,BUL,bulgarian,0,0,0,0
45,https://www.thebaghdadpost.com/en/Story/45688/Bulgariansprotestseverewatershortageinindustrialcity,Bulgarians protest severe water shortage in industrial city,,none,none,0,0,0,0
47,https://www.thestar.com/news/world/europe/2020/01/25/bulgariansprotestseverewatershortageinindustrialcity.html,Bulgarians protest severe water shortage in industrial city | The Star,,BUL,bulgarian,1,2,0,0
50,http://goacom.com/policearrest2bulgariansforattemptedatmfraud/,Police arrest 2 Bulgarians for attempted ATM fraud,,none,none,0,0,0,0
53,https://www.youtube.com/watch?v=ZFTH1WcbKdw,Beastly Bulgarians | FM20 | Build a Nation Challenge | Ep 45 | SEMI TIME,,none,none,0,0,0,0
54,https://technewstube.com/theregister/1198843/nottrueonewantsukdomainslookbulgarianssigned/,It’s not true no one wants .uk domains – just look at all these Bulgarians who signed up to nab expired addresses,,none,bulgarian,0,0,0,0
64,http://www.naharnet.com/stories/en/268643,Bulgarians' Patience Runs Dry over Water Crisis,,BUL,bulgarian,1,1,0,0
66,https://today.rtl.lu/news/scienceandenvironment/a/1463392.html,Acute water shortage: Bulgarians' patience runs dry over water crisis,,BUL,bulgarian,1,1,0,0
67,https://bbj.hu/region/morethan13ofbulgarianscantaffordtoheattheirhomesufficiently_176320,More than 1/3 of Bulgarians can’t afford to heat their home sufficiently,,BUL,bulgarian,0,0,0,0
68,https://www.youtube.com/watch?v=TKd_cNcWWNA,"Comparing Phenotypes of Greeks,Bulgarians and Turks",,none,none,0,0,0,0
69,https://www.youtube.com/watch?v=LhhGpZYtEk4,Oasis | Bulgarians Mirror | Konnik Party!,,none,bulgarian,0,0,0,0
71,https://www.republicworld.com/worldnews/restoftheworldnews/bulgariansprotestseverewatershortageinindustrialcity.html,Bulgarians protest severe water shortage in industrial city  Republic World,,BUL,bulgarian,1,1,0,0
72,https://www.youtube.com/watch?v=qVW3S5tmsQ,"Empty dam reservoir prompts water rationing for 100,000 Bulgarians",,BUL,bulgarian,0,0,0,0
74,https://thebalisun.com/2morebulgarianstakendowninyetanotheratmskimmingschemeinkuta/,2 More Bulgarians Taken Down In Yet Another ATM Skimming Scheme In Kuta  The Bali Sun,,BUL,bulgarian,0,0,0,0
77,https://www.novinite.com/articles/203297/Only+30+of+Bulgarians+Brush+their+Teeth,Only 30% of Bulgarians Brush their Teeth  Novinite.com  Sofia News Agency,,BUL,bulgarian,0,0,0,0
79,https://www.novinite.com/articles/202968/After+Brexit%3A+Bulgarians+Will+be+Able+to+Travel+to+the+UK+with+an+ID+Card,After Brexit: Bulgarians Will be Able to Travel to the UK with an ID Card,,BUL,bulgarian,0,0,0,0
82,https://www.novinite.com/articles/203082/Eurostat%3A+Bulgarians+in+the+European+Union+Don%27t+Work+from+Home,Eurostat: Bulgarians in the European Union Don't Work from Home  Novinite.com  Sofia News Agency,,BUL,bulgarian,0,0,0,0
85,https://www.youtube.com/watch?v=1LME83Avjog,"ANTHONY JOSHUA v KUBRAT PULEV  20,000 BULGARIANS COULD BE IN THE STADIUM",,none,bulgarian,0,0,0,0
86,https://www.novinite.com/articles/202986/The+Coronavirus+Tests+of+the+2+Bulgarians+who+Came+Back+from+Wuhan+are+Negative,The Coronavirus Tests of the 2 Bulgarians who Came Back from Wuhan are Negative  Novinite.com  Sofia News Agency,,none,bulgarian,0,0,0,0
88,https://www.novinite.com/articles/203313/Study%3A+75+of+Bulgarians+Concern+that+the+Coronavirus+Could+Start+Spreading+in+the+Country,Study: 75% of Bulgarians Concern that the Coronavirus Could Start Spreading in the Country  Novinite.com  Sofia News Agency,,BUL,bulgarian,0,0,0,0
91,https://www.novinite.com/articles/203357/10+000+Bulgarians+had+Made+Reservations+for+Trips+to+Italy+by+the+End+of+June,10 000 Bulgarians had Made Reservations for Trips to Italy by the End of June,,BUL,bulgarian,0,0,0,0
99,https://www.novinite.com/articles/203388/The+Bulgarians+who+were+Blocked+at+a+Hotel+in+Tenerife+are+Allowed+to+Leave,The Bulgarians who were Blocked at a Hotel in Tenerife are Allowed to Leave  Novinite.com  Sofia News Agency,,none,bulgarian,0,0,0,0
102,http://www.focusfen.net/news/2020/02/25/443717/threebulgarianstestedforcoronavirusatplovdivinfectiousdiseasesclinic.html,Three Bulgarians tested for coronavirus at Plovdiv Infectious Diseases Clinic,,none,none,0,0,0,0
103,https://www.msn.com/enus/Video/news/bulgariansmarkbeekeeperssaintday/viBBZR6ll,Bulgarians mark beekeepers saint day,,none,none,0,0,0,0
104,https://www.youtube.com/watch?v=kIGLB3KNLo,Arena | Bulgarians vs Khmer | vs Nicov,,none,bulgarian,0,0,0,0
110,https://freiewelt.eu/de/1416694/Videos/NachrichtenPolitik/BulgariansmarkbeekeeperssaintdayAFP/,Bulgarians mark beekeepers saint day | AFP,,none,none,0,0,0,0
111,https://www.youtube.com/watch?v=mwNpa3srUSY,Beastly Bulgarians | FM20 | Build a Nation Challenge | Ep 48 | New Challenges,,none,none,0,0,0,0
113,https://www.youtube.com/watch?v=Z90SsYdWpi0,1v1 Arena vs T90Official | Bulgarians vs Celts,,none,none,0,0,0,0
114,https://www.youtube.com/watch?v=YXb7x1oQrfc,Arena January 2020 Viper vs Nicov Bulgarians vs Khmer,,none,none,0,0,0,0
116,https://www.youtube.com/watch?v=CNV1_vZnBI0,Tannenberg 1914  1918 Ep 24 : Playing As The Bulgarians,,none,none,0,0,0,0
118,https://www.youtube.com/watch?v=Ro3aXiPm0LY,Bulgarians Advised against Travelling to China amidst Corona Virus Outbreak,,none,none,0,0,0,0
122,https://www.dailymaverick.co.za/article/20200316bulgariansapplaudfrontlinemedicsfrombalconiestoshowsupport/,Bulgarians applaud frontline medics from balconies to...,,BUL,bulgarian,0,0,0,0
129,https://balkaninsight.com/2020/03/30/inventivebulgariansbrainstormideastoeasecoronacrisis/,Inventive Bulgarians Brainstorm Ideas to Ease Corona Crisis,,BUL,bulgarian,0,0,0,0
132,https://www.novinite.com/articles/203847/U.S.+Embassy+Sofia+and+the+America+for+Bulgaria+Foundation+Announce+a+Financial+Gift+Program+To+Support+Bulgarians,U.S. Embassy Sofia and the America for Bulgaria Foundation Announce a Financial Gift Program To Support Bulgarians,,BUL,bulgarian,0,0,0,0
133,https://sofiaglobe.com/2020/03/13/coronavirusforeignministryurgesbulgariansnottotravelabroad/,Coronavirus: Foreign Ministry urges Bulgarians not to travel abroad,,BUL,bulgarian,0,0,0,0
139,https://www.youtube.com/watch?v=IeEnCnAfiOE,Goths Feudal Spam Into Knights vs Bulgarians!,,none,none,0,0,0,0
145,https://www.novinite.com/articles/203438/WHO%3A+61.7+of+Bulgarians+over+18+are+Overweight,WHO: 61.7% of Bulgarians over 18 are Overweight  Novinite.com  Sofia News Agency,,BUL,bulgarian,0,0,0,0
146,https://bnr.bg/en/post/101249736/covid19increasesanxietyamongbulgarians,COVID19 increases anxiety among Bulgarians,,BUL,bulgarian,0,0,0,0
147,https://www.novinite.com/articles/203478/Two+Bulgarians+in+Sydney+have+been+in+Contact+with+a+Man+who+Tested+Positive+for+a+COVID19,Two Bulgarians in Sydney have been in Contact with a Man who Tested Positive for a COVID19,,BUL,none,0,0,0,0
153,https://bnr.bg/en/post/101249550/averageageofthebulgariansdiagnosedwithcovid19decreases,Average age of the Bulgarians diagnosed with COVID19 decreases,,BUL,bulgarian,0,0,0,0
156,https://ca.investing.com/news/economy/bulgarians-applaud-frontline-medics-from-balconies-to-show-support-2090487,Bulgarians applaud front-line medics from balconies to show support,,BUL,bulgarian,0,0,0,0
157,https://www.solunbg.org/en,"Thessaloniki and the Bulgarians: history, memory, present",,none,bulgarian,0,0,0,0
163,http://www.latestcommentary.com/bulgarians-applaud-front-line-medics-from-balconies-to-show-support/,"Bulgarians applaud front-line medics from balconies to show support | Latest Commentary Today, Breaking Business News Worldwide",,BUL,none,0,0,0,0
165,https://www.youtube.com/watch?v=bgKRNnvI0mM,3v3 Gold Rush (Bulgarians) - Man at Arm into Knights,,none,none,0,0,0,0
168,https://www.youtube.com/watch?v=b5yyosuiwk8,Analisa Civilization Cumans & Bulgarians | Age of Empires 2 Indonesia,,none,none,0,0,0,0
173,https://www.youtube.com/watch?v=W2gQekkCicg,Bulgarians Overview AoE2,,none,none,0,0,0,0
174,http://en.protothema.gr/skopjian-media-meltdown-as-ex-fm-says-we-are-actually-bulgarians-not-macedonians/,"Skopjian media meltdown as ex-FM says “we are actually Bulgarians, not Macedonians”",,BUL,bulgarian,0,0,0,0
176,https://www.youtube.com/watch?v=gAaKQRg4W-0,Guild Wars 2: The Bulgarians Guild Missions / 12.04.2020,,none,none,0,0,0,0
180,https://bnr.bg/en/post/101255919/three-quarters-of-the-bulgarians-approve-the-actions-of-the-authorities-during-the-covid-19-crisis,Three-quarters of the Bulgarians approve the actions of the authorities during the Covid-19 crisis,,BUL,bulgarian,0,0,0,0
182,https://www.novinite.com/articles/204278/Eurostat%3A+41.6+of+the+Bulgarians+are+Living+in+Overcrowded+Households,Eurostat: 41.6% of the Bulgarians are Living in Overcrowded Households - Novinite.com - Sofia News Agency,,BUL,bulgarian,0,0,0,0
184,https://www.novinite.com/articles/204059/Bulgaria%27s+Vice+President%3A+More+than+Ever%2C+we+Need+Unity+-+Bulgarians+in+Bulgaria+and+Bulgarians+around+the+World,"Bulgaria's Vice President: More than Ever, we Need Unity - Bulgarians in Bulgaria and Bulgarians around the World",,BUL,bulgarian,0,0,0,0
186,https://news.yahoo.com/bulgarians-witness-biggest-building-demolition-134738743.html,Bulgarians witness biggest building demolition in a generation,,BUL,bulgarian,0,0,0,0
187,https://bnr.bg/en/post/101251811/bulgarians-to-be-flown-out-of-cyrus-by-charter-flight-on-13-april,Bulgarians to be flown out of Cyprus by charter flight on 13 April,,none,bulgarian,0,0,0,0
194,https://bnr.bg/en/post/101255209/several-countries-to-allow-bulgarians-whose-identity-documents-have-expired-to-return-to-their-home-country,Several countries to allow Bulgarians whose identity documents have expired to return to their home country,,none,bulgarian,0,0,0,0
196,https://www.youtube.com/watch?v=82eR38pDMAQ,Tannenberg  | Bulgarians <U+25BA> Random Moments # 11,,none,none,0,0,0,0
197,https://sofiaglobe.com/2020/04/29/alpha-research-poll-70-of-bulgarians-want-public-parks-open-to-all/,Alpha Research poll: 70% of Bulgarians want public parks open to all,,BUL,bulgarian,0,0,0,0
199,https://bnr.bg/en/post/101255139/nearly-62000-bulgarians-lost-their-jobs-during-state-of-emergency,"Nearly 62,000 Bulgarians lost their jobs during state of emergency",,BUL,bulgarian,0,0,0,0
201,https://www.romaniajournal.ro/business/eurostat-romanians-and-bulgarians-on-the-last-places-on-online-shopping-last-year/,"Eurostat: Romanians and Bulgarians, on the last places on online shopping last year",,BUL,bulgarian,0,0,0,0
203,https://www.novinite.com/articles/203944/Gallup+International%3A+Bulgarians+Accept+Emergency+Measures+but+Fear+for+Economy,Gallup International: Bulgarians Accept Emergency Measures but Fear for Economy - Novinite.com - Sofia News Agency,,BUL,bulgarian,0,0,0,0
206,https://bnr.bg/en/post/101256470/43-of-the-bulgarians-expect-lower-incomes-due-to-the-covid-19-crisis,43% of the Bulgarians expect lower incomes due to the Covid-19 crisis,,BUL,bulgarian,0,0,0,0
207,https://www.novinite.com/articles/204227/Eurostat%3A+Only+22+of+the+Bulgarians+Shop+Online,Eurostat: Only 22% of the Bulgarians Shop Online - Novinite.com - Sofia News Agency,,BUL,bulgarian,0,0,0,0
208,https://perceptivetravel.com/blog/2020/04/17/bulgarians/,Spending a Weekend with Bulgarians at a Music Festival,,BUL,bulgarian,0,0,0,0
