ID,URL,Title,body,Country,Group,Protest,Protest_Typ,Discrim,Discrim_Type
3,https://www.dailymail.co.uk/news/article-7932495/Young-female-Chinese-student-likely-fifth-case-deadly-coronavirus-Australia.html,Young female Chinese student is likely to be the fifth case of deadly coronavirus in Australia,,AUS,chinese,0,0,0,0
9,https://www.abc.net.au/news/2020-01-11/chinese-students-says-visa-delays-are-politically-motivated/11857796,Chinese students accuse Australia of 'politically motivated' visa delays,,AUS,chinese,1,1,1,2
10,https://www.naturalblaze.com/2020/01/56-million-chinese-on-lockdown-as-virus-spreads-to-australia-malaysia.html,"56 Million Chinese On Lockdown As Virus Spreads To Australia, Malaysia",,none,chinese,0,0,0,0
16,https://www.youtube.com/watch?v=QCMth5GdAHw,"Coronavirus: Hundreds infected, Chinese airport shut | Nine News Australia",,AUS,none,0,0,0,0
21,https://www.smh.com.au/politics/federal/australia-must-stand-up-to-chinese-covert-influence-20200110-p53qhr.html,Australia must stand up to Chinese covert influence,,AUS,chinese,0,0,0,0
28,https://www.thestar.com.my/news/regional/2020/01/29/six-chinese-nationals-stranded-on-indonesian-island-after-attempting-to-reach-australia,Six Chinese nationals stranded on Indonesian island after attempting to reach Australia,,AUS,chinese,0,0,0,0
29,https://www.youtube.com/watch?v=IVHF8wSTM-o,Australia testing first suspected case of Chinese virus | Dateline Philippines,,AUS,none,0,0,0,0
37,https://www.youtube.com/watch?v=3TJQTzTSmF0,Happy Australia Day Perth Fireworks Happy Chinese New Year CNY Australia,,none,none,0,0,0,0
45,https://www.youtube.com/watch?v=5P2xBDO6Ohs,"56 Million Chinese On Lockdown As Virus Spreads To Australia, Malaysia",,none,none,0,0,0,0
49,https://www.thejakartapost.com/news/2020/01/29/six-chinese-stranded-on-indonesian-island-after-attempting-to-reach-australia.html,Six Chinese stranded on Indonesian island after attempting to reach Australia,,AUS,chinese,0,0,0,0
52,https://www.youtube.com/watch?v=Y2zntKxzIko,Lion Dance Chinese New Year Jackpot Lottery Centre Mirabooka CNY Perth Australia,,none,none,0,0,0,0
58,https://www.youtube.com/watch?v=STynt-MN-k8,KungFu Demo Chinese New Year Joy Kitchen CNY Fremantle Australia,,none,none,0,0,0,0
60,https://www.youtube.com/watch?v=_pocNh3ZrZU,Happy Chinese New Year of Rat CNY Walking Dragon Dance Festival Subiaco Perth Australia,,none,none,0,0,0,0
62,https://www.nowtolove.com.au/lifestyle/daily-life/chinese-new-year-events-australia-62214,Where to celebrate Chinese New Year 2020 across Australia,,AUS,chinese,0,0,0,0
66,https://factcheck.afp.com/chinese-tourist-invasion-australia-has-not-allocated-200-million-visas-chinese-citizens,'Chinese tourist invasion'? Australia has not allocated 200 million visas for Chinese citizens,,AUS,chinese,0,0,0,0
67,https://www.theonlinecitizen.com/2020/01/21/australia-testing-first-suspected-case-of-chinese-virus/,Australia testing first suspected case of Chinese virus - The Online Citizen,,none,none,0,0,0,0
71,https://www.youtube.com/watch?v=ry4DiOmDKpE,Happy Chinese New Year of Rat CNY Lion Dance Night Noodle Market Perth Australia,,none,none,0,0,0,0
72,https://www.macaubusiness.com/alleged-investor-in-portugal-accused-of-being-chinese-spy-in-australia/,Alleged investor in Portugal accused of being Chinese spy in Australia,,AUS,chinese,0,0,0,0
74,https://www.youtube.com/watch?v=qaz5bSelFa8,Happy Chinese New Year CNY Lion Dance Festival Subiaco Perth Australia,,none,none,0,0,0,0
77,http://en.minghui.org/html/articles/2020/1/22/182377.html,"Queensland, Australia: Chinese Continue to Renounce Communist Organizations at Popular Tourist Sites",,AUS,chinese,0,0,0,0
92,https://www.readersdigest.com.au/true-stories-lifestyle/inspirational/what-2020-has-in-store-for-you-based-on-your-chinese-zodiac-sign,What 2020 has in store for you based on your Chinese zodiac sign | Reader's Digest Australia,,none,chinese,0,0,0,0
96,https://newswav.com/A2002_5mPxm4,Bystanders in Australia Reportedly Ignore Chinese Man Dying of Heart Attack Over Fear of Coronavirus,,none,none,0,0,0,0
97,https://www.youtube.com/watch?v=s8pdA1dnurk,CHINESE NEW YEAR CELEBRATION IN AUSTRALIA | KUNG HEI FAT CHOI | CHINESE LUNAR YEAR 2020 | SYDNEY,,AUS,chinese,0,0,0,0
98,https://www.youtube.com/watch?v=9mVe24j8TqQ,Australia Chinese Buddhist Research Centre | Richard Lu,,none,chinese,0,0,0,0
101,https://www.reuters.com/article/orocobre-orders-idUSL4N29P10T,Australia's Orocobre signs lithium supply deals with Chinese firms,,none,none,0,0,0,0
102,https://www.youtube.com/watch?v=7cXWBq3Qr6c,When Things Go Wrong - Dangerous Acrobatic Chinese Lion Dancers Fall During Their Performances,,AUS,chinese,0,0,0,0
103,https://www.shine.cn/news/metro/2001149732/,Western Australia reaches out to Chinese tourists,,AUS,chinese,0,0,0,0
107,https://www.patreon.com/posts/chinese-threat-33319963,Chinese Threat to Australia Is Becoming Very Real | A Different View on Patreon,,none,none,0,0,0,0
122,https://www.newsweek.com/starting-5-march-life-chinese-new-year-coronavirus-impeachment-grammys-1483780,"The Starting 5: March for Life, Chinese New Year, Grammys, Australia Day, impeachment",,AUS,none,0,0,0,0
124,https://poal.co/s/Health/140585,Australia: Fake coronavirus alert warns Queenslanders to avoid areas with high Chinese populations,,AUS,chinese,0,0,0,0
130,https://www.youtube.com/watch?v=4ypSBJSo5sA,Chinese community counts down to celebrate New Year | Nine News Australia,,AUS,chinese,0,0,0,0
132,https://unbfacts.fun/sin-categoria/56-million-chinese-on-lockdown-as-virus-spreads-to-australia-malaysia/,"56 Million Chinese On Lockdown As Virus Spreads To Australia, Malaysia",,none,none,0,0,0,0
135,https://www.patreon.com/posts/chinese-high-in-32989581,Chinese High Rollers Hunting Wombats In Australia | A Different View on Patreon,,none,none,0,0,0,0
140,https://www.patreon.com/posts/australia-has-to-33343922,"Australia Has Huge Coronavirus Risk Due To 500,000 Chinese Tourists and Students Arriving In Next Three Months",,none,none,0,0,0,0
142,https://www.youtube.com/watch?v=IWVq7dPvbyc,Australia Chinese Buddhist Research Centre | Richard Lu,,AUS,chinese,0,0,0,0
150,https://www.smithandsinger.com.au/fine-furniture--decorative-arts.html,"Chinese, Asian & European Fine Art and Decorative arts, Furniture auctions Australia",,none,none,0,0,0,0
151,https://www.goodmorningamerica.com/news/video/bush-fires-australia-protests-baghdad-chinese-opera-world-68052139,"Bush fires in Australia, protests in Baghdad, Chinese opera: World in Photos, Jan. 3",,none,none,0,0,0,0
152,https://www.youtube.com/watch?v=wj63G3QqW_c,AUSTRALIA VS CHINESE TAIPEI ; AVC WOMENS VOLLEYBALL / TOKYO VOLLEYBALL QUALIFICATION / FULL MATCH,,AUS,none,0,0,0,0
159,https://guernseypress.com/news/world-news/2020/01/29/chinese-national-football-team-quarantined-in-australia/,Chinese national football team quarantined in Australia,,AUS,chinese,0,0,0,0
169,https://www.taiwannews.com.tw/en/news/3863237,Australia denies using Chinese spy case to in... | Taiwan News,,AUS,none,0,0,0,0
170,https://www.youtube.com/watch?v=l2zeWPMY3w8,"Chinese Garden Of Friendship | Sydney, Australia - 3rd January 2020",,AUS,none,0,0,0,0
173,https://brudirect.com/news.php?id=86150,Six Chinese Stranded On Indonesian Island After Attempting To Reach Australia,,AUS,chinese,0,0,0,0
179,https://www.dailymail.co.uk/news/article-7963137/A-Chinese-student-snuck-Australia-despite-coronavirus-ban-lying-immigration.html,Chinese student lied to enter Australia defying coronavirus ban,,AUS,chinese,0,0,0,0
180,https://www.news.com.au/travel/travel-updates/health-safety/i-crossed-off-china-and-changed-it-to-hong-kong-chinese-student-brags-about-sneaking-into-australia/news-story/f2fe5f3538959cc5bcd79d3185fb5aae,Coronavirus Australia: Chinese student â€˜snuck inâ€™ by lying on passenger card,,AUS,chinese,0,0,0,0
183,https://www.dailymail.co.uk/news/article-7954911/Chinese-travellers-BANNED-entering-Australia-coronavirus-two-new-cases-bring-total-12.html,Chinese travellers banned from entering Australia due to coronavirus,,AUS,chinese,0,0,0,0
186,https://apple.news/A7khSH68fQjiDgBG_O0nGDQ,Chinese tourists no longer permitted to enter Australia amid coronavirus chaos,,AUS,chinese,0,0,0,0
187,https://www.dailymail.co.uk/news/article-7973635/Coronavirus-Australia-confirms-fifteenth-case-Chinese-man-Queensland-tests-positive.html,Coronavirus: Australia confirms fifteenth case as Chinese woman in Queensland tests positiveÂ Â ,,AUS,none,0,0,0,0
195,https://www.sydney-today.network/2020/02/07/chinese-students-are-sneaking-into-australia-by-using-a-dodgy-travel-hack-to-get-around-travel-ban/,Chinese Students Are SNEAKING Into Australia by Using a 'Dodgy Travel Hack' To Get Around Travel Ban,,none,none,0,0,0,0
201,https://fathership.co/sporeans-barred-from-tourist-activities-in-australia-after-being-mistaken-for-chinese-nationals/,Sâ€™poreans barred from tourist activities in Australia after being mistaken for Chinese nationals | Fathership,,none,none,0,0,0,0
204,https://www.scmp.com/magazines/post-magazine/long-reads/article/3051521/chinese-immigrants-went-australia-looking-gold,Chinese immigrants went to Australia looking for gold and found communities. Why does so little of their legacy remain?,,AUS,chinese,0,0,0,0
219,https://au.news.yahoo.com/coronavirus-chinese-embassy-australia-travel-ban-082012665.html,Coronavirus: Chinese embassy slams Australia travel ban,,AUS,chinese,0,0,0,0
227,https://goalnepal.com/news/detail/8656,"ANFA Starts Prep For Australia, Chinese Taipei Clash",,none,none,0,0,0,0
232,https://www.powerlineblog.com/archives/2020/02/major-chinese-spy-ring-busted-in-australia.php,Major Chinese Spy Ring Busted In Australia,,AUS,chinese,0,0,0,0
233,https://www.dailymail.co.uk/news/article-7977587/Coronavirus-travel-ban-stops-Chinese-mother-flying-Australia-son-died.html,Coronavirus travel ban stops Chinese mother from flying to Australia to see her son before he died,,AUS,none,0,0,0,0
237,http://www.theartnewspaper.com/news/coronavirus-australia,Coronavirus: Australia stops two Chinese artists from entering country as more of China's art organisations halt programming,,AUS,chinese,0,0,0,0
238,https://www.dailymail.co.uk/news/article-7972261/Coronavirus-Chinese-tourists-rush-extend-visas-stay-Australia.html,Coronavirus: Chinese tourists rush to extend their visas to stay in Australia,,AUS,chinese,1,3,0,0
240,https://www.dailytelegraph.com.au/news/nsw/chinese-students-can-apply-for-coronavirus-travel-ban-exemption/news-story/02225ca07692b6aab9011edcb05e5ffb,"Coronavirus, Australia travel ban: Chinese students can apply for travel ban exemption",,none,none,0,0,0,0
245,https://www.scmp.com/business/china-business/article/3050922/joint-venture-go-ahead-us122-million-western-australia,Joint venture to go ahead with US$12.2 million Western Australia resort aimed solely at Chinese tourists,,AUS,chinese,0,0,0,0
246,https://www.news.com.au/technology/australia-feuds-with-uk-over-tech-company-huawei-which-has-been-accused-of-spying-for-chinese-government/news-story/1c11e3f5c422b0e9db3e81a5beaa7476,Huawei: Diplomatic spat between Australia and UK about Chinese tech company,,AUS,none,0,0,0,0
250,https://www.foxsports.com.au/football/matildas/matildas-olympic-qualifiers-australia-vs-chinese-taipei-live-blog-score-how-to-watch-start-time-team-news-video/news-story/924d11368b224edacc16a5c8b02f7d20,"Matildas: Olympic Qualifiers; Australia vs Chinese Taipei, news, video, highlights,",,none,none,0,0,0,0
254,https://www.carsguide.com.au/car-news/new-mg-6-2020-chinese-toyota-camry-rivalling-sedan-could-return-to-australia-78135,New MG 6 2020: Chinese Toyota Camry-rivalling sedan could return to Australia,,AUS,none,0,0,0,0
259,https://thepienews.com/news/regulations-relaxed-in-australia-as-new-taskforce-focuses-on-coronavirus/,Online study a solution for Chinese students grounded en route to Australia,,AUS,chinese,0,0,0,0
262,https://www.youtube.com/watch?v=SOxUFAPmIqc,Australia's ban on Huawei is 'discrimination': Chinese ambassador,,AUS,chinese,0,0,1,2
263,https://www.youtube.com/watch?v=-EQPoC2qBk8,Chinese high school students can return to Australia under strict travel ban exemptions | ABC News,,AUS,chinese,0,0,0,0
264,https://www.9news.com.au/world/coronavirus-australia-chinese-embassy-slams--governments-extreme-travel-ban/2b82ef2a-8328-4866-a25f-58197172e01f,Coronavirus Australia: Chinese embassy slams government's 'extreme' travel ban,,AUS,chinese,0,0,0,0
269,http://en.minghui.org/html/articles/2020/2/27/183417.html,Media Exposes Chinese Consulate's Attempts to Stop Falun Gong Activities in Western Australia,,AUS,chinese,1,1,0,0
272,https://www.youtube.com/watch?v=D89A8oknDMU,SPEND THE DAY WITH ME WORKING AS A MODEL ON CHINESE NEW YEAR || Miss Philippines Australia 2019,,AUS,none,0,0,0,0
274,https://www.patreon.com/posts/33780194,"Australia Loses Sense Of Humour As Nightclub Bullied Into Dropping ""Corona Chinese New Year Special""",,none,none,0,0,0,0
278,https://www.skynews.com.au/details/_6136008638001,Chinese Australians feel the 'pressure' from Chinese state officials | Sky News Australia,,AUS,chinese,0,0,0,0
283,https://www.youtube.com/watch?v=Gx0A-JQw7Jc,Best Drumming Ocean Dragon Chinese New Year Watermans Bay Perth CNY Australia,,none,none,0,0,0,0
289,https://www.youtube.com/watch?v=sfUZ4RXXcNk,KungFu Chinese New Year Celebration Old Sanghai CNY Perth Australia,,none,none,0,0,0,0
294,https://www.youtube.com/watch?v=JFc9O4T-xgo,WA Police Pipe Band Chinese New Year Fair Perth CNY Australia 2020,,none,none,0,0,0,0
304,https://www.youtube.com/watch?v=tuMZg0vWW3E,Firecracker Dragon Dance Walk Chinese New Year Fair Perth CNY Australia 2020,,none,none,0,0,0,0
305,https://www.youtube.com/watch?v=qWoH-nZ66R0,Acrobatic Lion Dance Chinese New Year Fair Perth CNY Australia 2020,,none,none,0,0,0,0
308,https://www.panaynews.net/us-australia-close-borders-for-chinese-arrival/,"US, Australia close borders for Chinese arrival",,AUS,none,0,0,0,0
325,https://www.youtube.com/watch?v=bOHdOGKnJFI,Lion Dance Night Jimmy Tsui Lantern Festival Chinese New Year Northbridge CNY Perth Australia,,none,none,0,0,0,0
326,https://www.skynews.com.au/details/_6136055101001,The sale of Dairy Farmers to chinese investors 'is a national security issue' | Sky News Australia,,AUS,none,0,0,0,0
331,https://www.youtube.com/watch?v=VbryFzVT8R8,Dragon Dance Yaolin Chinese New Year Fair Perth CNY Australia 2020,,none,none,0,0,0,0
332,https://www.youtube.com/watch?v=tv9XjDOybtg,Lion Dance Jimmy Tsui Chinese New Year Fair Perth CNY Australia 2020,,none,none,0,0,0,0
336,https://sports.mb.com.ph/2020/02/15/chinese-gymnasts-pull-out-of-world-cup-in-australia-due-to-coronavirus-travel-ban/,Chinese gymnasts pull out of World Cup in Australia due to coronavirus travel ban,,none,none,0,0,0,0
337,https://www.businessnewsaus.com.au/articles/elixinol-sells-hemp-foods-australia-to-chinese-buyer.html,Elixinol sells Hemp Foods Australia to Chinese buyer,,none,none,0,0,0,0
342,https://www.reuters.com/article/us-crown-resorts-results-idUSKBN20D09Y,"Australia's Crown says Chinese VIP slump hit profit, coronavirus impact looms",,AUS,chinese,0,0,0,0
346,https://www.stuff.co.nz/business/world/119425675/how-australias-crown-casino-got-visas-for-its-chinese-high-rollers,How Australia's Crown casino got visas for its Chinese high rollers,,AUS,chinese,0,0,0,0
350,https://www.youtube.com/watch?v=CzDDxvxnPyg,Chinese government blocks second evacuation flight to Australia,,AUS,none,0,0,0,0
