"","ID","URL","Title","body","Country","Group","Protest","Protest_Type","Discrim","Discrim_Type"
"1",3,"https://www.dailymail.co.uk/news/article-7932495/Young-female-Chinese-student-likely-fifth-case-deadly-coronavirus-Australia.html","Young female Chinese student is likely to be the fifth case of deadly coronavirus in Australia","By Alana Mazzoni and Eliza Mcphee For Daily Mail Australia Published: 19:14 EDT, 26 January 2020 | Updated: 20:05 EDT, 26 January 2020  8 View comments  A 21-year-old Chinese student is likely to become the fifth person in Australia to be infected by the deadly coronavirus, health authorities say. The federal government's chief medical officer Professor Brendan Murphy confirmed the woman is in isolation and had tested positive to the virus in preliminary examinations. 'She is in isolation until the final confirmation. But NSW Health feel she's likely to be the fifth case in the country,' Prof Murphy said. Health authorities are now working to track down people the woman came into contact with and potentially infected. The news comes after three men in New South Wales, aged 43, 53 and 35, and one Victorian man aged in his 50s, caught the deadly disease. A 21-year-old woman has been taken to hospital after fears she may have contracted the deadly coronavirus The virus, which experts fear will 'highly likely' continue to spread in Australia, has so far killed 56 people in China and infected 2,000 people worldwide. Since the outbreak at the end of December, Chinese authorities have placed 56 million people in lockdown - including more than 100 Australian children aged between six months and 16 years old, the ABC reported. Photos taken outside Westmead Hospital on Sunday show a woman wearing a face mask being moved by paramedics with protective gloves, masks and clothing. Prof Murphy said there would likely be more cases in the country. 'There is no cause for general concern,' Prof Murphy said in Melbourne on Sunday. 'I would not be surprised if there are some more cases... it's highly likely that we may see some more. 'We are incredibly well prepared to isolate and deal with that.' Emma Wei, from Melbourne, is trapped in Wuhan with her two children amid China's lockdown Medical staff are seen wearing protective clothing outside a hospital in Wuhan after the coronavirus outbreak NEW SOUTH WALES: 4 Four people in NSW have been diagnosed with coronavirus, including three men and one woman. January 25 January 27 VICTORIA: 4 January 25 January 29 January 30 She is being treated at Royal Melbourne Hospital. February 1 A Melbourne woman aged in her 20s is at home recovering. She returned from Wuhan on January 25 and fell ill two days later. She was not infectious on the flight, and has remained in isolation since being tested. QUEENSLAND: 2 January 29 January 30 SOUTH AUSTRALIA: 2 February 1 A Chinese couple were placed in isolation in a public hospital. The man and a woman both aged 60, were from Wuhan and visiting relatives in South Australia. SA Health said the pair isolated themselves at home when they developed symptoms and awaited the results of the coronavirus test. Australia has raised the travel alert level to 'do not travel' for the city of Wuhan - the epicentre of the outbreak - and for the entire Hubei province. Chief Medical Officer Brendan Murphy says unless people have contact with someone who is unwell and has come from that part of China, there is no need for current concern. In the wake of the rapid spread, Chinese-Australian parents are now desperate for their children to get out of Wuhan in China's Hubei province. Yi Xu is demanding his six-month-old daughter be brought home to Australia. 'The Australian Government needs to follow what the US is doing [and] to charter a plane to evacuate its citizens for emergency,' Mr Xu told the ABC after reports the U.S was using a plane to evacuate Americans from the area. A father from Melbourne, Nathan Wang, said his 11-month-old daughter is stuck in Wuhan with his wife and other child. Mr Wang said his family was struggling to access medical resources. 'I can't even fall asleep. As a father, I was very desperate. I am guilty that all of the risks and pressure were put on my wife alone,' he said. Another Chinese-Australian man said the children who were left stranded in the areas were being cared for by their grandparents. 'They are desperate to get out, because there starts to see a shortage of face masks and other protective supplies,' the man who only wanted to be referred to as John told The Australian. 'Many children are running out of baby formula powders soon,' he said. The Australian government is now considering options to allow Australians in the infected areas to travel. A China Eastern Flight from Wuhan arrives at Sydney International Airport on Thursday where health authorities were screening passengers for coronavirus 'The Government acknowledges the concerns of Australians who are in Hubei Province in China and the concerns of their families and friends,' Foreign Minister Marise Payne said in a statement on Sunday. Once someone has caught the virus it may take between two and 14 days for them to show any symptoms. If and when they do, typical signs include: The vast majority of patients – at least 97 per cent, based on available data – will recover from these without any issues or medical help. In a small group of patients, who seem mainly to be the elderly or those with long-term illnesses, it can lead to pneumonia. Pneumonia is an infection in which the insides of the lungs swell up and fill with fluid. It makes it increasingly difficult to breathe and, if left untreated, can be fatal and suffocate people. 'The Department of Foreign Affairs and Trade is working closely with Chinese authorities and international partners to consider possible assistance with travel for Australians from areas that are affected by Chinese travel restrictions. 'Given the circumstances of the spread of the Coronavirus, Chinese authorities are currently imposing very tight restrictions on all travel from Hubei. We are seeking advice from the Chinese authorities on these restrictions and whether any options are available to international travellers. 'Our Embassy in Beijing and our Consulate in Shanghai are also working with international partners and the Chinese government to determine what support can be given to Australians on the ground.' Authorities are urging anyone who has travelled to the Wuhan region and experienced flu-like symptoms to contact their GP or local emergency department. The patient in Victoria is a Chinese national aged in his 50s who flew to Melbourne on China Southern flight CZ321 from Wuhan via Guangzhou on January 19 on an A380 plane, which can can carry 500 passengers. A passenger wearing a protective mask (pictured) is seen at Sydney Airport on Thursday, as a man in Melbourne is confirmed as the first Australian case of coronavirus He became the first confirmed case of coronavirus in Australia on Saturday morning and is now in quarantined isolation at Monash Hospital in Clayton in Melbourne's east. Earlier on Saturday a baby was rushed from Sydney Airport to hospital for testing and was later discharged cleared of the virus. A Hobart man has tested negative for coronavirus on Sunday after he was admitted to the Royal Hobart Hospital on Saturday with mild respiratory symptoms. The man in his 30s had travelled to China earlier this month and spent time Wuhan, where the coronavirus outbreak began. He contacted a general practitioner with respiratory problems and was admitted into an isolation room in hospital while tests were conducted to rule out the infection. Public Health services identified the man's contacts since returning to Hobart in case he had been identified as carrying the virus. The man has been discharged from hospital after his results showed he was not infected. What is this virus? The virus has been identified as a new type of coronavirus. Coronaviruses are a large family of pathogens, most of which cause mild respiratory infections such as the common cold. But coronaviruses can also be deadly. SARS, or severe acute respiratory syndrome, is caused by a coronavirus and killed hundreds of people in China and Hong Kong in the early 2000s. Can it kill? Yes. 56 people have so far died after testing positive for the virus. What are the symptoms? Its symptoms are typically a fever, cough and trouble breathing, but some patients have developed pneumonia, a potentially life-threatening infection that causes inflammation of the small air sacs in the lungs. People carrying the novel coronavirus may only have mild symptoms, such as a sore throat. They may assume they have a common cold and not seek medical attention, experts fear. How is it detected? The virus's genetic sequencing was released by scientists in China to the rest of the world to enable other countries to quickly diagnose potential new cases. This helps other countries respond quickly to disease outbreaks. To contain the virus, airports are detecting infected people with temperature checks. But as with every virus, it has an incubation period, meaning detection is not always possible because symptoms have not appeared yet. How did it start and spread? The first cases identified were among people connected to the Huanan Seafood Wholesale Market in Wuhan. Cases have since been identified elsewhere which could have been spread through human-to-human transmission. What are countries doing to prevent the spread? Countries in Asia have stepped up airport surveillance. They include Japan, South Korea, Thailand, Hong Kong, Indonesia, Malaysia and Philippines. Australia and the US are also screening patients for a high temperature, and the UK announced it will screen passengers returning from Wuhan. Is it similar to anything we've ever seen before? Experts have compared it to the 2003 outbreak of severe acute respiratory syndrome (SARS). The epidemic started in southern China and killed more than 700 people in mainland China, Hong Kong and elsewhere  Share what you think The comments below have been moderated in advance. The views expressed in the contents above are those of our users and do not necessarily reflect the views of MailOnline. We are no longer accepting comments on this article. Published by Associated Newspapers Ltd Part of the Daily Mail, The Mail on Sunday & Metro Media Group","AUS","chinese",0,0,0,0
"2",9,"https://www.abc.net.au/news/2020-01-11/chinese-students-says-visa-delays-are-politically-motivated/11857796","Chinese students accuse Australia of 'politically motivated' visa delays"," Chinese students accuse Australia of 'politically motivated' visa delays The Department of Home Affairs has been accused of delaying the visa applications of Chinese PhD candidates, with prospective students telling state media they were victims of ""politically motivated setbacks"". A group of 135 Chinese PhD students and 30 other visiting students sent an email to the state-owned Global Times tabloid newspaper, saying they had all experienced lengthy delays on their Australian student visa applications. The claims follow several reports last year detailing concern over the national security impacts of university research collaborations with Chinese entities. Australia's top universities could be aiding the Chinese Communist Party's mission to develop mass surveillance and military technologies. In response, universities adopted new voluntary guidelines to combat foreign interference and risky research partnerships. One of the would-be postgraduate students said they had been left hanging for 17 months, while the majority said they had waited more than five months since applying. Most of the students were studying in science, technology, engineering and maths (STEM) related fields, the newspaper reported. On its website, the Department says 90 per cent of applicants for postgraduate research visas receive a decision within four months. So are the long-waiting times due to ""paranoid voices against China"" in Canberra — as the Global Times suggested in a follow-up editorial — or is it just a case of bureaucratic bungling? The affected students told Chinese media their scholarships had expired, or were coming close to expiring, while they waited for Home Affairs to make a decision on their visas. They blamed their troubles on the cool relations between Beijing and Canberra, and the ongoing debate over Chinese political influence in Australia. Inside a massive cyber attack on the Australian National University that risks compromising high-ranking officials across the globe. Asked whether national security concerns were driving the alleged visa slow-down, Home Affairs told the ABC processing times were driven by a range of factors, including ""assessments in relation to health, character and national security requirements"". ""These requirements are not new and they are not specific to Chinese nationals,"" Home Affairs said in a statement. It said the student visa grant rate for visa applicants for Chinese postgraduate students was 98.9 per cent, which was slightly higher than the overall grant rate of 98.6 per cent. The University of Melbourne told the ABC it was supporting prospective PhD students ""from various countries"" experiencing slower-than-expected processing times. In a statement, it said there were in many cases ""considerable delays"" in getting their visas approved. ""[The University of Melbourne] is communicating with the Government about this matter to help them to understand the problems caused for the students and for the University by these delays,"" it said. Adam Ni, co-editor of the China analysis newsletter China Neican, told the ABC the main concern was that individuals could be linked to the Chinese Government, and conduct espionage including transferring sensitive technology to authorities there. ""At a broad level, there is increasing anxiety about Chinese party state influence and interference in Australia, this has extended into research collaboration, and recently into individuals that are conducting research,"" Mr Ni said. ""Certainly the cases are quite disturbing that came to light over the last decade about researchers that are conducting espionage or somehow infringing intellectual property."" A joint investigation by Four Corners, The Age and Sydney Morning Herald reveals fresh and compelling evidence of covert Beijing-backed political activity taking place in Australia. But Mr Ni said Australia should be cautious but not overreact, or else run the risk of creating ""an environment of distrust"". ""The problem was just a few individuals that had links to the [Communist] Party, rather than a whole body of researchers,"" he said. ""There are still tremendous advantages from research collaboration and having an influx of Chinese students, a whole range of benefits that are really important to Australia's national interest."" We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)","AUS","chinese",1,1,1,2
"3",10,"https://www.naturalblaze.com/2020/01/56-million-chinese-on-lockdown-as-virus-spreads-to-australia-malaysia.html","56 Million Chinese On Lockdown As Virus Spreads To Australia, Malaysia","By Tyler Durden As we move into Saturday evening on the ground in Wuhan, it’s becoming increasingly obvious to the broader global community that China’s authoritarian government has failed to contain this viral outbreak. Chinese authorities expanded the travel restrictions on Saturday to cover 56 million Chinese, Al Jazeera reports. At least 18 cities in central Hubei are now dealing with at least some level of travel restrictions. In Wuhan, the situation looks grim. The number of confirmed cases is exploding: another 300 were announced on Saturday, while the death toll is steady at 41. Yesterday, videos flooded Western social media (after being assiduously removed from Weibo and the rest of the Chinese Internet) purporting to show bodies piling up in hallways in Wuhan, with rumors that a doctor had succumbed to the virus. Those rumors have now been confirmed: A doctor who worked at a hospital in Wuhan, China, where coronavirus patients are being treated died Saturday morning, according to the Wall Street Journal. Meanwhile, a two-year-old Chinese girl has become the youngest to be diagnosed with the virus. As it has all week, the South China Morning Post has kept an up-to-date running total of the confirmed cases & deaths. As of 10 am ET on Saturday, the total number stood at exactly 1400.  A map of the various cases shows the spread, though even the most up-to-date maps by Western news agencies appear to already be out of date, including this one by BBG.  Though China has pledged transparency, some suspect that the true tally of cases within Wuhan is much higher. With the epidemic spiraling out of control, President Xi called a meeting of the Politburo Standing Committee, a group of China’s top leaders, to discuss a response to the virus. At the meeting, the Communist Party set up a group to manage the response to the virus. The group will comprise members of the Party’s Central Committee, while being directed by the Standing Committee. During the meeting, President Xi said various ethnic groups must work together to contain the spread of the deadly virus. Xi also ordered party authorities to ensure that there are enough medical supplies in Wuhan – the capital of Hubei province and a city of 11 million five times the size of London and bigger than any US city. “Party committees and governments at different levels have to make proper plans to contain the virus under the guidance of the Central Committee,” he was quoted as saying. China’s National Health Commission announced on Saturday a nationwide plan to identify suspected cases of the deadly virus on trains, airplanes and buses. Inspection stations will be set up and passengers with suspected pneumonia will be “immediately transported” to a medical center. In the city of Haikou, the authorities said they would set up a 14-day observation center for all tourists who came from Hubei. They will not be allowed to leave the hotels where they are staying. At least 450 additional military and medical personnel have been deployed in Hubei to help with the situation. Following reports last night of a suspected case in Sydney, Australian authorities have confirmed the first case of the virus. Yesterday, several cases were also identified in France. But that’s not all: Malaysia has confirmed that three cases of the virus have been detected. Japan is now up to three cases, all Chinese nationals, according to the Nikkei Asian Review. Following reports that the virus may have originated from people eating bats or rats, the party has ordered more inspections of agricultural products, and has temporarily banned the trade in wild animals. It has also shut down movie theaters, LNY-related events and other mass gatherings across the country, warning that people should avoid coming together en mass until the outbreak is contained. Qinghai province in northwestern China confirmed its first case on Saturday, leaving Tibet as the only administrative area of China that remains virus-free. In Wuhan, the horror stories are getting worse: One woman told the SCMP that her husband was turned away by several hospitals despite coughing up blood, a sign of very advanced pneumonia. “I have nothing. No protective clothing, only a raincoat, and I am standing outside the hospital in the rain,” said the woman, who gave her name as Xiaoxi. “I am desperate, I have lost count of time and days. I don’t know if we will both live to see the new year.” The rapid rise in the number of cases doesn’t necessarily mean the outbreak is getting worse, according to a spokesman from the WHO. Instead, it could reflect better monitoring and intervention by government authorities. As far as determining the severity of the epidemic, it’s still too early to say. “It’s still too early to draw conclusions about how severe the virus is because, at the beginning of any outbreak, you would focus more on the severe cases,” said Tarik Jasarevic, a spokesman for the World Health Organization in Geneva. Video from inside Wuhan, a city that has been nearly entirely sealed off from the outside world, the situation appears increasingly dire.  A lot of attention has been paid in the Western press about the effort to build a new, 1,000-bed hospital in Wuhan as the city’s current health-care infrastructure has been completely overwhelmed. They’re hoping to finish the building in under a week, an astonishing pace. State media reported Saturday that a second hospital will also be built.  Foreign governments including the US and Russia are hatching plans to air-lift their citizens out of Wuhan. This could include journalists covering the outbreak, meaning the flow of information out of the city could soon slow to a trickle. Meanwhile, scientists are scrambling to determine the virus’s infectious potential before victims start showing symptoms. If it’s confirmed that the virus spreads in this way, than that would make full containment virtually impossible. Article source: Zerohedge.com Subscribe for natural health news to your inbox. Follow Natural Blaze on YouTube, Twitter and Facebook. Enter Email Below To Stay Informed!   Enter Email Below To Stay Informed!   May 13, 2022 May 16, 2022 May 12, 2022 May 11, 2022 May 14, 2022 May 15, 2022 May 13, 2022 May 17, 2022 May 15, 2022  Natural Holistic Health News - Creative Commons 2020 Free yourself from Big Pharma with holistic medicine, homeopathic remedies, health food freedom, homesteading, preparedness, and natural lifestyle. Affiliate Disclaimer: Natural Blaze website is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to provide a means for sites to earn advertising fees by advertising and linking to Amazon.com. Your survival library won’t be complete without these books! Plus get top natural health news delivered daily. Stay informed about health and food freedom, holistic remedies, and preparedness. Claim your FREE download TODAY! Enter Email Below To Stay Informed!  ","none","chinese",0,0,0,0
"4",16,"https://www.youtube.com/watch?v=QCMth5GdAHw","Coronavirus: Hundreds infected, Chinese airport shut | Nine News Australia","","AUS","none",0,0,0,0
"5",21,"https://www.smh.com.au/politics/federal/australia-must-stand-up-to-chinese-covert-influence-20200110-p53qhr.html","Australia must stand up to Chinese covert influence","We’re sorry, this feature is currently unavailable. We’re working to restore it. Please try again later. This was published 2 years ago China likes to contrast its own policy of non-interference in the internal affairs of other countries with US interference in places such as the Middle East. After the US killed Iranian general Qassem Soleimani on Iraqi soil last week, the Chinese Foreign Ministry issued a statement urging all parties to “abide by the purposes and principles of the basic norms of international relations”. It said the US in particular should exercise restraint. Yet the latest twist in the case of Wang Liqiang, who is seeking political asylum in Australia and claims to be a former Chinese spy, provides an insight into how China is spreading its influence worldwide. The details are confusing and, like everything to do with Mr Wang, open to multiple interpretations. But, as the Herald reported this week, Mr Wang says he was the target of an extortion attempt by figures aligned with the Chinese Communist Party who wanted him to take part in a plot to influence the result of Saturday’s crucial elections in Taiwan. China insists Taiwan is part of its territory and is backing the more pro-Beijing Kuomintang Party which is currently in opposition to beat the ruling Democratic Progressive Party (DPP). Mr Wang, who claims he used to run campaigns for Beijing against independence and democracy movements in Hong Kong and Taiwan, says a Kuomintang official and a Chinese businessman threatened him and offered inducements to make a video statement implicating the DPP in corruption. The story has been denied by the Kuomintang official and it raises as many questions as it answers. But Australian officials have taken the matter seriously enough to brief Taiwanese authorities about what they know. It would hardly be surprising that China is interfering in Taiwan’s internal affairs as it often threatens grave consequences if the DPP formally announces Taiwan’s independence from China. But it would be an extraordinary twist if it was trying to do so through Mr Wang, now on Australian soil and seeking Australian protection. It would be yet another sign of China’s extensive covert networks. China, through its United Front movement, uses front organisations such as student groups and business associations to harass overseas dissidents and anyone in the diaspora who opposes its policies. They target protesters against China’s breaches of human rights in Tibet and Xinjiang, and China’s creeping threat to Hong Kong’s special status and democratic institutions. Australia has taken the lead in pushing back against Chinese influence of our political system by passing one of the world’s toughest foreign interference laws. Yet the enormous value of the trade and investment between the two countries gives China leverage either directly or through individual Chinese businesses. When a Chinese businessman hands over $100,000 to a political party it is hard to know whether they are acting in their own interest or at the suggestion of the Chinese Communist Party. While vigilance is needed, it would be wrong to exaggerate the threat China poses directly to our democracy. In the current case, Australian authorities have briefed Taiwanese authorities. It shows that our institutions are quite capable of standing up to Chinese pressure. Australia also has plenty of neighbours who share our concerns. This week Indonesian President Joko Widodo travelled to islands in waters disputed by China where Indonesian and Chinese vessels have been in a stand-off for more than a month. Of course, Australia relies first and foremost on its alliance with the US to manage China’s influence. That is one more reason why Australia should counsel moderation by the US in the current instability in the Middle East. If the US stumbles unnecessarily into conflict with Iran it could distract its attention from our region and stir up anti-US hostility in Muslim countries. President Donald Trump has mostly confronted China economically by starting a tariff war against what he has called unfair trade policies. Yet in a US election year that campaign might falter. Chinese and US trade negotiators are expected to sign a ceasefire in the tariff war next week which leaves many of the underlying issues unresolved. It is certainly in the interest of the world economy for China and the US to end the uncertainty but the spread of Chinese influence around the region remains a concern. Like other countries, China has legitimate interests to defend around the world but its contempt for democracy, its wealth and the dizzying technological tools at the disposal of its secret services increase the challenge of responding to it. Australia needs to work closely with the US and be prepared to take a firm stand in cases, perhaps like Mr Wang’s, where China has gone too far. The Herald's editor Lisa Davies writes a weekly newsletter exclusively for subscribers. To have it delivered to your inbox, please sign up here. Copyright © 2022","AUS","chinese",0,0,0,0
"6",28,"https://www.thestar.com.my/news/regional/2020/01/29/six-chinese-nationals-stranded-on-indonesian-island-after-attempting-to-reach-australia","Six Chinese nationals stranded on Indonesian island after attempting to reach Australia","Wednesday, 29 Jan 2020 Members of the Rote Ndao Police and Posal Papela check out a boat holding six Chinese residents who were stranded on Tuesday. The Australian Patrol boat previously drove the Chinese away from Australian territory into Indonesian waters. KUPANG, East Nusa Tenggara (The Jakarta Post/ANN): Six Chinese nationals have been stranded on Rote Island, East Nusa Tenggara (NTT), following a failed attempt to reach Australia in a wooden boat. Before going aground on the island's shore, the boat, which sailed from the coastal province of Jiangsu in China, has reportedly been floating in the waters near Rote Timur district after an Australian patrol vessel drove it away from its territory. Tags / Keywords: Indonesia , Nusa Tenggara , Australia , Chinese , nationals , stranded , island  Report it to us. Thank you for your report! Copyright © 1995- $(document).ready(function () { var theDate = new Date(); $('#spanCopyright').text(theDate.getFullYear()) }) Star Media Group Berhad (10894D) Best viewed on Chrome browsers. {{item['V1 Header']}} {{item['V1 Body']}} {{item['V2 Header']}}  We would love to keep you posted on the latest promotion. Kindly fill the form below We hope you enjoy this feature!","AUS","chinese",0,0,0,0
"7",29,"https://www.youtube.com/watch?v=IVHF8wSTM-o","Australia testing first suspected case of Chinese virus | Dateline Philippines","","AUS","none",0,0,0,0
"8",37,"https://www.youtube.com/watch?v=3TJQTzTSmF0","Happy Australia Day Perth Fireworks Happy Chinese New Year CNY Australia","","none","none",0,0,0,0
"9",45,"https://www.youtube.com/watch?v=5P2xBDO6Ohs","56 Million Chinese On Lockdown As Virus Spreads To Australia, Malaysia","","none","none",0,0,0,0
"10",49,"https://www.thejakartapost.com/news/2020/01/29/six-chinese-stranded-on-indonesian-island-after-attempting-to-reach-australia.html","Six Chinese stranded on Indonesian island after attempting to reach Australia","Please Update your browser Your browser is out of date, and may not be compatible with our website. A list of the most popular web browsers can be found below. Just click on the icons to get to the download page.  Or continue login with Six Chinese nationals have been stranded on Rote Island, East Nusa Tenggara (NTT), following a failed attempt to reach Australia in a wooden boat. Before going aground on the island's shore, the boat, which sailed from the coastal province of Jiangsu in China, has reportedly been floating in the waters near Rote Timur district after an Australian patrol vessel drove it away from its territory. Rote Ndao Police chief Sr. Comr. Bambang Wibowo said the Chinese citizens — identified as Fan Shenghong, Cui Henggo, Hang Yongsheng, Wang Sisen, Han Baolin and Chu Kaishan — were still on board their boat as of Tuesday evening and were under police custody because they did not possess complete travel documents. ""The [Chinese citizens] were previously questioned in the middle of the sea on board an Australian patrol boat for two nights before they finally got released and escorted to Indonesian waters,"" Bambang said on Tuesday. Two Indonesians who accompanied the Chinese on the boat, identified as Aba and Madan — residents of East Flores and South Sulawesi, respectively — were questioned by the Rote Timur Police as they were accused of helping to smuggle the foreigners to neighboring Australia. According to the police, the six Chinese nationals initially attempted to sail to Australia in a wooden boat identified as the KMP Indah. The journey took three nights. After getting intercepted by the Australian authorities, the latter gave the Chinese nationals a new boat and two jerry cans of fuel after confiscating the KMP Indah. However, they ran out of fuel just after arriving in Indonesian waters at about 8:15 a.m. Indonesian Central Time. They proceeded to drop anchor close to the FaiFua salt mine in East Rote district. “They were found by two patrol boats from Polairud [a water and air police unit] and the Rote Navy base, which were patrolling together at that time. They found the Chinese residents when they were inspecting the boat,” Bambang said. The police summoned health officers from Rote Ndao to see if the Chinese residents were infected by coronavirus. “The result was negative,” he added. The police are still coordinating with the Kupang immigration office to see if the Chinese residents could be moved to Kupang. (dpk)  © 2016 - 2022 PT. Bina Media Tenggara","AUS","chinese",0,0,0,0
