ID,URL,Title,body,Country,Group,Protest,Protest_Type,Discrim,Discrim_Type
14,https://www.nationalheraldindia.com/india/gujarat-19-year-old-dalit-woman-gangraped-murdered-found-hanging-from-a-tree,"Gujarat: 19 year old Dalit woman, gangraped, murdered, found hanging from a tree",,IND,dalit,1,3,0,0
20,https://breakingtube.com/social/tent-house-proprietor-refuse-to-give-utensils-a-dalit-in-bareilly/,Tent house proprietor refuse to give utensils a dalit in Bareilly,,IND,dalit,0,0,1,3
22,https://indianexpress.com/article/cities/city-others/gandhinagar-missing-dalit-woman-found-hanging-from-tree-in-modasa-6201261/,Gujarat: â€˜Missingâ€™ Dalit woman found hanging from tree in Modasa,,IND,dalit,0,0,0,0
35,https://www.iamgujarat.com/gujarat/mehsana/dalit-girl-killed-in-modasa-had-been-sodomized/articleshow/74053666.cms,dalit girl killed in modasa had been sodomized,,IND,dalit,0,0,0,0
54,https://www.kalaignarseithigal.com/india/2020/01/11/19-year-old-dalit-woman-gang-raped-and-hanged-in-gujarat,19 Year Old Dalit Woman Gang Raped and Hanged in Gujarat,,IND,dalit,1,1,1,3
75,https://www.newsclick.in/maybe-im-being-barred-delhi-because-i-am-dalit,â€˜Maybe Iâ€™m Being Barred from Delhi Because I am a Dalitâ€™ | NewsClick,,IND,dalit,1,1,1,4
90,https://www.newsclick.in/maybe-im-being-barred-delhi-because-i-am-dalit,"UP Police lathi charge, detain Rahul, Priyanka and others heading towards Hathras to meet Dalit family | SabrangIndia",,IND,dalit,1,1,1,3
94,https://velivada.com/2020/01/03/3rd-january-in-dalit-history-remembering-jaipal-singh-munda/,3rd January in Dalit History,,IND,dalit,0,0,1,3
97,https://www.epw.in/journal/2020/3/book-reviews/being-dalit.html,Being Dalit : Casteism and Radical Dalit Calling,,IND,dalit,0,0,1,3
101,https://www.kalaignarseithigal.com/india/2020/01/13/dalit-youth-who-set-up-ambedkar-study-centre-in-thanjavur-have-been-attacked-by-upper-caste-people,Dalit youth who set up Ambedkar study centre in Thanjavur have been attacked by upper caste people,,IND,dalit,0,0,1,4
103,https://timesofindia.indiatimes.com/blogs/toi-editorials/the-azad-factor-why-the-political-moves-of-a-young-dalit-neta-jailed-repeatedly-are-being-keenly-watched/,"The Azad factor: Why the political moves of a young Dalit neta, jailed repeatedly, are being keenly watched",,IND,dalit,1,3,0,0
108,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/riteish-deshmukh-expresses-anger-over-gujarat-dalit-girls-rape-and-murder-shouts-hang-the-culprits-publicly/articleshow/73186031.cms,"Riteish Deshmukh expresses anger over Gujarat Dalit girl's rape and murder, shouts 'Hang the culprits publicly'",,IND,dalit,0,0,1,3
109,https://indianexpress.com/article/cities/ahmedabad/19-year-old-found-hanging-from-tree-in-modasa-dgp-transfers-dalit-womans-rape-murder-case-to-cid-6223748/,"19-year-old found hanging from tree: Gujarat DGP transfers Dalit womanâ€™s â€˜rape, murderâ€™ case to CID",,IND,dalit,1,3,0,0
110,https://velivada.com/2020/01/30/dalit-pichda-ek-saman-hindu-ho-ya-musalman/,"Dalit Pichda Ek Saman, Hindu Ho Ya Musalman | Velivada",,IND,dalit,0,0,1,3
114,https://www.newsclick.in/Khairlanji-Hathras-Rape-Story-Repeats-Dalit-Women,"From Khairlanji to Hathras, Rape Story Repeats Itself for Dalit Women | NewsClick",,IND,dalit,1,1,1,3
117,https://www.thequint.com/news/india/madhya-pradesh-dalit-man-set-ablaze,Cong-BJP Fight as MP Dalit Man Set Ablaze by 4 Battles for Life,,IND,dalit,0,0,1,3
118,https://www.ndtv.com/telangana-news/3-sentenced-to-death-by-telangana-court-for-rape-murder-of-dalit-woman-2172233,"3 Sentenced To Death By Telangana Court For Rape, Murder Of Dalit Woman",,IND,dalit,1,3,0,0
119,https://breakingtube.com/crime/dalit-youth-dhaniram-ahirwar-burnt-alive-in-sagar-madhya-pradesh-died-in-delhi/,Dalit Youth DhaniRam Ahirwar burnt alive in Sagar Madhya Pradesh died,,IND,dalit,0,0,1,3
130,https://www.scoopwhoop.com/news/19-year-old-dalit-girl-gang-raped-found-hanging-from-a-tree-in-gujarat/,"Netizens Take To Twitter After 19 Yo Girl Dalit Girl, Gang Raped, Murdered, Found Hanging From A Tre",,IND,dalit,1,1,1,3
134,https://thewire.in/rights/modasa-gangrape-murder-case-investigation-discrepancies,"Weeks After Rape and Murder of Dalit Woman, Modasa Case Still Shrouded in Mystery",,IND,dalit,1,3,1,3
141,https://frontline.thehindu.com/cover-story/targeted-violence/article30565035.ece,Violence targeted at Dalit and Muslim students,,IND,dalit,0,0,1,3
147,https://www.theyouth.in/2020/01/24/shocking-incident-dalit-man-who-burnt-alive-by-muslim-men-in-sagar-mp-dies-in-delhi-hospital/,"Shocking incident: Dalit man, who burnt alive by Muslim men in Sagar, MP, dies in Delhi hospital",,IND,dalit,0,0,1,3
