ID,URL,Title,body,Country,Group,Protest,Protest_Typ,Discrim,Discrim_Type
26,https://www.youtube.com/watch?v=CpRMR4z28Zk,Some 300 Filipinos affected by Australia bushfires; MalacaÃ±ang assures assistance,,AUS,filipino,0,0,0,0
28,https://www.youtube.com/watch?v=1cqDvWJJ1Wo,My CURRENT VISA STATUS: Subclass 485 I Filipino International Student In Australia,,AUS,filipino,0,0,0,0
53,https://www.youtube.com/watch?v=VQMabUCYbJQ,FILIPINO PARTY SA BAHAY NI TITA AUSTRALIA,,AUS,none,0,0,0,0
55,https://www.youtube.com/watch?v=DqaAeHc05wo,HOW MUCH DO FILIPINOS EARN IN AUSTRALIA 2020? - Magkano ang sahod sa Australia?,,none,none,0,0,0,0
58,https://www.youtube.com/watch?v=rADEjMm834Q,After my Boyfriend Left for Australia ï‡¦ï‡º | Weekly Vlog + Basketball ï€,,none,none,0,0,0,0
67,https://www.youtube.com/watch?v=psBpXUy4_dQ,Filipino Store Australia,,AUS,filipino,0,0,0,0
71,https://www.youtube.com/watch?v=NLp2Zu05vMU,HOW MUCH IS THE GYM FEE IN Australiaï‹ï¸â€â™‚ï¸ ï‡¦ï‡º FILIPINOS IN BRISBANE ï‡µï‡­,,AUS,filipino,0,0,0,0
73,https://www.youtube.com/watch?v=I8uenyTKHec,"Sydney Opera House, Best Places to eat in Sydney, Australia Filipino Travel Vlog â¤ï¸ïŒˆ Katesorandom",,AUS,none,0,0,0,0
77,https://www.philembassy.org.au/latest/advisory/public-advisory-for-filipino-students-in-australia,Public Advisory for Filipino Students in Australia,,AUS,filipino,0,0,0,0
83,https://www.youtube.com/watch?v=k96TgPbYZtY,HOW I GOT MY STUDENT VISA? | FILIPINO STUDENT | Tips & process of getting student visa in AUSTRALIA,,AUS,none,0,0,0,0
95,https://www.youtube.com/watch?v=9kmNUiXjTXU,More Filipino's aiming to move to Australia,,AUS,filipino,0,0,0,0
96,http://mnlmag.com/tfc-combo-offers-filipinos-in-australia-new-zealand-access-to-a-bouquet-of-pinoy-ne/,TFC Combo Offers Filipinos In Australia & New Zealand Access To A Bouquet Of Pinoy Ne,,AUS,filipino,0,0,0,0
99,https://www.gmanetwork.com/news/pinoyabroad/news/737057/pinay-in-australia-gets-recognition-for-acts-of-kindness-amid-pandemic/story/,Pinay helps stranded Filipinos in Australia,,AUS,filipino,0,0,0,0
104,https://www.youtube.com/watch?v=oTm4ficp0fs,Mukbang- Filipino Food In Australia with Caiti Baker and Kuya James,,AUS,none,0,0,0,0
107,https://www.youtube.com/watch?v=j4HbD8nU694,"Weekend Routine | Grocery & Yeppoon "" Filipino in Australia #vlog 10",,AUS,none,0,0,0,0
132,https://www.youtube.com/watch?v=X9uomXQuKaI,[vlog] bought the 16 inch macbook pro; filipino young adult in australia,,none,none,0,0,0,0
135,https://www.sbs.com.au/language/english/audio/from-show-band-to-the-voice-australia-filipino-singer-proud-of-his-humble-beginnings,From show band to The Voice Australia: Filipino singer proud of his humble beginnings,,AUS,filipino,0,0,0,0
144,https://www.youtube.com/watch?v=FlVdSADJ4zk,filipino food cravings in australia // pandemic vlog,,AUS,none,0,0,0,0
153,https://www.youtube.com/watch?v=O4FOqaAXcbk,Filipino International Students in Australia | Classroom Settingï¤ª,,AUS,filipino,0,0,0,0
157,https://globalnation.inquirer.net/189365/no-filipinos-infected-with-covid-19-in-australia-says-envoy,"No Filipinos infected with COVID-19 in Australia, says envoy",,AUS,filipino,0,0,0,0
158,https://www.wowcordillera.com/2020/07/australia-is-keen-of-hiring-filipino.html,"Australia is keen of hiring Filipino welders, electrical engineers and workers in agricultural sector.",,AUS,filipino,0,0,0,0
170,https://www.youtube.com/watch?v=QkFNHhUUYTk,"Working, Adulting, and Baking as a Filipino Engineer in Australia - Macey Mapanao",,AUS,filipino,0,0,0,0
