"","ID","URL","Title","body","Country","Group","Protest","Protest_Type","Discrim","Discrim_Type"
"1",26,"https://www.youtube.com/watch?v=CpRMR4z28Zk","Some 300 Filipinos affected by Australia bushfires; MalacaÃ±ang assures assistance","","AUS","filipino",0,0,0,0
"2",28,"https://www.youtube.com/watch?v=1cqDvWJJ1Wo","My CURRENT VISA STATUS: Subclass 485 I Filipino International Student In Australia","","AUS","filipino",0,0,0,0
"3",53,"https://www.youtube.com/watch?v=VQMabUCYbJQ","FILIPINO PARTY SA BAHAY NI TITA AUSTRALIA","","AUS","none",0,0,0,0
"4",55,"https://www.youtube.com/watch?v=DqaAeHc05wo","HOW MUCH DO FILIPINOS EARN IN AUSTRALIA 2020? - Magkano ang sahod sa Australia?","","none","none",0,0,0,0
"5",58,"https://www.youtube.com/watch?v=rADEjMm834Q","After my Boyfriend Left for Australia ï‡¦ï‡º | Weekly Vlog + Basketball ï€","","none","none",0,0,0,0
"6",67,"https://www.youtube.com/watch?v=psBpXUy4_dQ","Filipino Store Australia","","AUS","filipino",0,0,0,0
"7",71,"https://www.youtube.com/watch?v=NLp2Zu05vMU","HOW MUCH IS THE GYM FEE IN Australiaï‹ï¸â€â™‚ï¸ ï‡¦ï‡º FILIPINOS IN BRISBANE ï‡µï‡­","","AUS","filipino",0,0,0,0
"8",73,"https://www.youtube.com/watch?v=I8uenyTKHec","Sydney Opera House, Best Places to eat in Sydney, Australia Filipino Travel Vlog â¤ï¸ïŒˆ Katesorandom","","AUS","none",0,0,0,0
"9",77,"https://www.philembassy.org.au/latest/advisory/public-advisory-for-filipino-students-in-australia","Public Advisory for Filipino Students in Australia","01 April 2020 – The Philippine Embassy in Canberra understands the difficulties Filipino students are facing in Australia as a result of the COVID-19 pandemic. The Embassy has elevated these concerns to relevant authorities in the Philippines. Given the prolonged impact of this crisis, the Embassy encourages students to carefully re-evaluate their situation and be open to considering going home when conditions warrant so that they will have the security from family and from all the branches and services of the Philippine government. If students choose to stay, please undertake all necessary precautions, stay in a safe location, regularly inform schools of your condition, and comply with current government regulations on preventing the spread of the virus. The Philippine Embassy in Canberra shares the following information provided by relevant Australian Government agencies on support for international students. For questions on your visa, contact the Department of Home Affairs and visit https://covid19.homeaffairs.gov.au/ For concerns on enrolment, fees or other issues related to your studies, contact your education provider. If your education provider cannot assist, contact the Department of Education, Skills and Employment at (+61) 1300 981 621 from 9am to 5pm, Monday to Friday AEDT, except public holidays or email international.students@dese.gov.au. For mental well-being support, international students can access support through Lifeline Australia (13 11 14), Youth Beyond Blue (1300 224 636) and Headspace (1800 650 890). Monitor www.australia.gov.au on further government advice including the announcement that evictions will be put on hold for 6 months by the states and territories. Further information is available inhttps://www.studyinaustralia.gov.au/English/student-support For consular and assistance to nationals queries for the Philippine Embassy in Canberra, call (02) 6273-2535 loc 231, loc 259 and loc 233 from 10am to 3pm, Monday to Friday AEDT, except public holidays or call +61408735383. The Philippine Consulate General in Sydney may be reached at sydney.pcg@dfa.gov.ph. The Philippine Consulate General in Melbourne may be reached at melbourne.pcg@dfa.gov.ph. END Next Post Previous Post About Embassy of CanberraLatest NewsLatest AdvisoryInformation BoardOverseas VotingOverseas Labor OfficeBids and AwardsCultural GalleryFilipinos in Australia75th Year of PH-AU Friendship500 Quincentennial CommemorationsThe PHL-AUS Factbook FAQsOnline AppointmentNotarials/ LegalizationPassportVisaDual CitizenshipNBI ClearanceAssistance to NationalsCivil RegistrySchedule of FeesOther Services Download FormsAustralia OfficesPHL-AUS HolidaysSearchSitemapContact Us All content is in the public domain unless otherwise stated. The FlagThe National AnthemThe MapThe Filipino People75th Year of PH-AU Friendship Learn more about the Philippine government, its structure, how government works and the people behind it. Official GazetteOpen Data PortalSend us your feedback Office of the PresidentOffice of the Vice PresidentSenate of the PhilippinesHouse of RepresentativesSupreme CourtCourt of AppealsSandiganbayan","AUS","filipino",0,0,0,0
"10",83,"https://www.youtube.com/watch?v=k96TgPbYZtY","HOW I GOT MY STUDENT VISA? | FILIPINO STUDENT | Tips & process of getting student visa in AUSTRALIA","","AUS","none",0,0,0,0
"11",95,"https://www.youtube.com/watch?v=9kmNUiXjTXU","More Filipino's aiming to move to Australia","","AUS","filipino",0,0,0,0
"12",96,"http://mnlmag.com/tfc-combo-offers-filipinos-in-australia-new-zealand-access-to-a-bouquet-of-pinoy-ne/","TFC Combo Offers Filipinos In Australia & New Zealand Access To A Bouquet Of Pinoy Ne"," TFC IPTV Premium users in Australia and New Zealand are now able to connect to ‘home’ wherever they may be with the TFC Combo. For as low as $25.99 per month, they can now get a TFC IPTV Video on Demand Premium Plan PLUS a complimentary access to TFC Online. TFC Combo makes the best in Kapamilya home entertainment even more accessible and affordable – from drama classics like Walang Hanggan and The Legal Wife to all-time primetime favorites such as On The Wings of Love and Got To Believe, from throwing back to feel-good 100 Days To Heaven and May Bukas Pa to viewing current livestreams of It’s Showtime and ASAP Natin ‘to.  Filipinos who need their daily news from their country will never miss a breaking story with TV Patrol, DZMM and ANC. The offer also brings the viewers hundreds of Pinoy movies to watch. They also have the option to rent latest Kapamilya Box Office (KBO) movies like Unbreakable (starring Bea Alonso and Angelica Panganiban), James, Pat and Dave (Loisa Andalio, Ronnie Alonte and Donny Pangilinan), The Heiress (Maricel Soriano and Janella Salvador) and Block Z (Joshua Garcia and Julia Barreto) on Kapamilya Box Office Movies for rent. What’s more, the whole family can enjoy their preferred TFC program at their own convenience, on their own devices. They can choose to watch from a plug-and-play TFC IPTV setup box on TV, streaming from Telstra TV (Australia only) or Samsung Smart TV, via laptop or desktop, on their smartphones or tablets, and even thru Google Chromecast or Apple AirPlay. Save up to $17.99 per month with the TFC Combo offer. To subscribe to TFC IPTV, visit https://asiapacific.mytfc.com/tfc-iptv-australia-promo or https://asiapacific.mytfc.com/tfc-iptv-new-zealand-promo. Promo runs until June 30, 2020. For updates on your favorite Kapamilya shows on TFC, visit TFC Australia or TFC New Zealand on Facebook. Contact Us Apply for Job Openings Apply for Internships Subscribe to Newsstand User Agreement Privacy Policy Commenting & Moderating Policy Linking Policy Manila Magazine is a part of PAGEONE Media®. PAGEONE Media® is a powerful portfolio of websites that serving highly-engaged audience monthly. From young to adult men and women, our audience show an unparalleled commitment to our online platforms and content.","AUS","filipino",0,0,0,0
"13",99,"https://www.gmanetwork.com/news/pinoyabroad/news/737057/pinay-in-australia-gets-recognition-for-acts-of-kindness-amid-pandemic/story/","Pinay helps stranded Filipinos in Australia","A Filipina in Australia has been helping stranded Filipino students and migrant workers in Perth. “Artania docked here in Perth with COVID-19 patients. A portion of these were Filipino workers that I helped provide care packages for. They were scheduled to go home last Sunday but due to the announcement of the President to close the Philippine borders, they are still stranded here in Perth,” revealed Melissa Dalisay Aguasa, owner of the Melissa’s Filipino Shop , referring to the cruise ship. “I do not know anyone of these people personally [but] when I learned it was a cruise ship, I assumed the crew would be mostly Filipinos,” she added in an interview via Messenger that started in May 2. It eventually turned out that there were Indonesians and Europeans also in the crew, but Aguasa continued to help. “When I found out that some were sent to the hospitals [here], I tried my best to locate them and tried to find a Filipino nurse that can help me contact them. Once I found where they were, I made contact with them and asked what help they need.” Aguasa – who by that time has earned the moniker “Filipino Angel of Perth” – led some of her friends as well as some Filipino organizations in packing and delivering care packages to the stranded crew members and students afterwards. “We focused on providing them with vitamins and food to help in their recovery. We looked after them from the day they arrived at the hospital, to their hotel quarantine, and until they left to go back to the Philippines.” And while Aguasa has feared getting COVID-19 too, she went out of her way to help. “Yes I am afraid but I feel and understand that during times like these, I have to be selfless and prioritize their needs. I have to put them before my own fears because they are going through very tough times.” “I know firsthand how it feels to be in despair, and through those hardships, I built resilience of character and gratitude towards the people who wholeheartedly helped me and deepened my faith in God. I have since figured out that all of us can be a source of hope to anyone who is genuinely in need of support.” —LBG, GMA News","AUS","filipino",0,0,0,0
"14",104,"https://www.youtube.com/watch?v=oTm4ficp0fs","Mukbang- Filipino Food In Australia with Caiti Baker and Kuya James","","AUS","none",0,0,0,0
"15",107,"https://www.youtube.com/watch?v=j4HbD8nU694","Weekend Routine | Grocery & Yeppoon "" Filipino in Australia #vlog 10","","AUS","none",0,0,0,0
"16",132,"https://www.youtube.com/watch?v=X9uomXQuKaI","[vlog] bought the 16 inch macbook pro; filipino young adult in australia","","none","none",0,0,0,0
"17",135,"https://www.sbs.com.au/language/english/audio/from-show-band-to-the-voice-australia-filipino-singer-proud-of-his-humble-beginnings","From show band to The Voice Australia: Filipino singer proud of his humble beginnings","Filipino-Australian singer Jerson Trinidad is earning admiration not only for his creativity in music but also for his humble beginnings in the field of music. Jerson Trinidad is no doubt one of the brightest singers in Australia’s music industry. From solo performance to live band performance, the former The Voice Australia finalist, Star Search, New Faces winner and popular bar singer has definitely made his own mark.  Highlights At an early age of 14, Mr Trinidad begun his singing career in the Philippines by joining singing contests and singing for several show bands performing around the Philippines and Asia Mr Trinidad believes that music made him a better person The 50-year-old singer continues to develop his unique vocal style in the midst of the pandemic Since migrating with his family to Australia in 1990, he shares that they too, as new migrants, faced hard challenges. “We had so many trials before we came to Australia. We were reliant on prayers and patience and I thank God we got through all the trials and we made it to Australia.” At an early age of 14, Mr Trinidad begun his singing career in the Philippines by joining singing contests and later on became a singer of several show bands performing around the Philippines and Asia. He says singing in different show bands helped develop his talent and confidence but it is in Australia where he improved his fluency in the English language. ""Singing for a show band and traveling overseas to sing developed my talent and gave me experience but when I came to Australia, my diction became more polished and playing with Australian musicians helped and Im thankful I was able to assimilate.” Mr Trinidad is no stranger to TV talent shows. He appeared on Star search and made it through the finals. He also won the title New Faces the following year and he says this would not be possible without the support of the Filipino community in Sydney. “I remember when I first arrived and joined Star search, I was living in Sydney that time, the Filipino community were very supportive.” In 2012, Mr Trinidad tried his luck on The Voice Australia hoping for a big break. Although only making it to the battle round, he says it was a great experience he will always remember. “I did the first season with the Voice 8 years ago. There were five representatives from Melbourne and I’m lucky to be picked as one of them. I only made it to the battle rounds and lost over Matt Hetherington, but it was a great experience and totally different from Star search and new faces.” Mr Trinidad believes that music made him a better person. ""Music made me a better person and I feel like I am a more evolved person because of music. It brought good things in my life including the people I met and the places I've been. I am very grateful to God because he has given me this gift."" The 50-year-old singer continues to develop his unique vocal style in the midst of the pandemic and says he is ready and excited to sing as soon as the government opens pubs and entertainment venues. “I’m excited to be back on stage and as the government slowly eases restrictions, I’m also practicing some new songs and repertoire.” ALSO READ / LISTEN TO ‘It’s humbling to represent Philippines in Australia’: Top-line artist Jerson Trinidad on representationSheldon Riley: 'I get to be the person I've always wanted to be' SBS acknowledges the traditional owners of country throughout Australia.","AUS","filipino",0,0,0,0
"18",144,"https://www.youtube.com/watch?v=FlVdSADJ4zk","filipino food cravings in australia // pandemic vlog","","AUS","none",0,0,0,0
"19",153,"https://www.youtube.com/watch?v=O4FOqaAXcbk","Filipino International Students in Australia | Classroom Settingï¤ª","","AUS","filipino",0,0,0,0
"20",157,"https://globalnation.inquirer.net/189365/no-filipinos-infected-with-covid-19-in-australia-says-envoy","No Filipinos infected with COVID-19 in Australia, says envoy","MANILA, Philippines — There are no Filipinos infected with the coronavirus disease 2019 (COVID-19) in Australia, the Philippine Ambassador to Canberra said Thursday.  “Wala pong reported infected na Filipino (dito sa Australia). ‘Yan po ang magandang balita na maibibigay ko sa inyo,” Ambassador Ma. Hellen dela Vega said in a televised press briefing. (There are no reported infected Filipinos here. That’s the good news that I can share with you.) Nonetheless, the diplomat urged Filipinos there to continue observing health protocols like physical distancing and wearing of masks after the Australian authorities implement a six-week lockdown of Melbourne due to an increase in the number of coronavirus cases in the State of Victoria. According to the Johns Hopkins University Coronavirus Resource Center, there are 9,059 confirmed COVID-19 cases in Australia with 7,575 total recoveries and 106 total deaths as of July 9. For more news about the novel coronavirus click here. What you need to know about Coronavirus. For more information on COVID-19, call the DOH Hotline: (02) 86517800 local 1149/1150. The Inquirer Foundation supports our healthcare frontliners and is still accepting cash donations to be deposited at Banco de Oro (BDO) current account #007960018860 or donate through PayMaya using this link . Subscribe to INQUIRER PLUS to get access to The Philippine Daily Inquirer & other 70+ titles, share up to 5 gadgets, listen to the news, download as early as 4am & share articles on social media. Call 896 6000. By providing an email address. I agree to the Terms of Use and acknowledge that I have read the Privacy Policy. We use cookies to ensure you get the best experience on our website. By continuing, you are agreeing to our use of cookies. To find out more, please click this link.","AUS","filipino",0,0,0,0
