ID,URL,Title,body,Country,Group,Protest,Protest_Typ,Discrim,Discrim_Type
2,https://www.youtube.com/watch?v=n06MlY4tKiI,"Vietnamese Sandwich in Asia Market Bankstown, Sydney, Australia #SydneyWithCella Ep.04",,none,none,0,0,0,0
8,https://www.youtube.com/watch?v=Qm5vmpDnxG0,Relief for a city that has been 73% burnt by the NSW bushfires | Vietnamese Buddhists in Australia,,AUS,vietnamese,0,0,0,0
13,https://www.youtube.com/watch?v=l3fnZiDRwdY,Legendary Vietnamese actress Kieu Chinh and film producer Alan Vo Ford attending LA FASHION WEEK.,,none,none,0,0,0,0
18,https://www.youtube.com/watch?v=uf5-QTdFpfQ,Legendary Vietnamese actress Kieu Chinh and film producer Alan Vo Ford attending LA FASHION WEEK.,,none,none,0,0,0,0
26,https://www.essentiallysports.com/f1-news-after-australia-snub-f1-postpones-both-bahrain-and-vietnamese-grand-prix/,"After Australia Snub, F1 Postpones Both Bahrain and Vietnamese Grand Prix",,none,none,0,0,0,0
53,https://www.youtube.com/watch?v=p4fAkb2mAG4,"Alan Vo Ford charity work with The Little Saigon Tet Parade, the largest Vietnamese new year parade.",,none,vietnamese,0,0,0,0
55,https://www.youtube.com/watch?v=CKTXRnICais,"Vietnamese art, culture, dance and performances by various schools, scouts in America",,none,vietnamese,0,0,0,0
58,https://www.youtube.com/watch?v=OKhRvC2vMjw,"Vietnamese art, culture, dance and performances by various schools, scouts in America",,none,vietnamese,0,0,0,0
63,https://www.youtube.com/watch?v=PG8h_V26Tdw,"America First Vietnamese NOODLE PHO festival in Fountain Valley, California with Alan Vo Ford",,none,vietnamese,0,0,0,0
67,https://www.youtube.com/watch?v=PdfUOXEle7k,"Alan Vo Ford community/charity work with Vietnamese Little Saigon Tet Parade, largest in the world",,none,vietnamese,0,0,0,0
71,https://www.youtube.com/watch?v=NPOwDnoRWco,"Alan Vo Ford community/charity work with Vietnamese Little Saigon Tet Parade, largest in the world",,none,vietnamese,0,0,0,0
77,https://www.youtube.com/watch?v=euxvlUPugac,Alan Vo Ford help the first Vietnamese mayor Ta Duc Tri fundraising without any regrets :))))))))))),,none,vietnamese,0,0,0,0
79,https://www.youtube.com/watch?v=b-_zOlErpDo,"Vietnamese art, culture, dance and performances by various schools, scouts in America",,none,vietnamese,0,0,0,0
95,https://www.youtube.com/watch?v=NPb6RoUzJWg,"Alan Vo Ford community/charity work with Vietnamese Little Saigon Tet Parade, largest in the world",,none,vietnamese,0,0,0,0
