"","ID","URL","Title","body","Country","Group","Protest","Protest_Type","Discrim","Discrim_Type"
"1",2,"https://www.youtube.com/watch?v=n06MlY4tKiI","Vietnamese Sandwich in Asia Market Bankstown, Sydney, Australia #SydneyWithCella Ep.04","","none","none",0,0,0,0
"2",8,"https://www.youtube.com/watch?v=Qm5vmpDnxG0","Relief for a city that has been 73% burnt by the NSW bushfires | Vietnamese Buddhists in Australia","","AUS","vietnamese",0,0,0,0
"3",13,"https://www.youtube.com/watch?v=l3fnZiDRwdY","Legendary Vietnamese actress Kieu Chinh and film producer Alan Vo Ford attending LA FASHION WEEK.","","none","none",0,0,0,0
"4",18,"https://www.youtube.com/watch?v=uf5-QTdFpfQ","Legendary Vietnamese actress Kieu Chinh and film producer Alan Vo Ford attending LA FASHION WEEK.","","none","none",0,0,0,0
"5",26,"https://www.essentiallysports.com/f1-news-after-australia-snub-f1-postpones-both-bahrain-and-vietnamese-grand-prix/","After Australia Snub, F1 Postpones Both Bahrain and Vietnamese Grand Prix","Full Spectrum Services LLP © 2021 | All Rights Reserved The Bahrain and Vietnam Grands Prix which were scheduled to take place in the coming weeks have been postponed indefinitely. Today, F1 released an official statement regarding the cancellation. More importantly, the season will now officially begin in May (if things don’t worsen). ADVERTISEMENT Article continues below this ad After the fiasco that transpired at the Australian Grand Prix, F1 has decided not to take any chances in future races. Furthermore, Fans slammed the governing body for its delayed response and lack of direction in handling the issue. F1 CEO Chase Carey initially asserted that the situation was “fluid” regarding the upcoming rounds of the calendar. ADVERTISEMENT Article continues below this ad “In view of the continued global spread of COVID-19 and after ongoing discussions with the FIA, the Bahrain International Circuit, the Bahrain Motor Federation and the Hanoi People’s Committee, the Government of the Socialist Republic of Vietnam, the Automobile Association of Vietnam and the promoter, Vietnam Grand Prix Corporation a decision has been taken by all parties to postpone both races due to take place on the 20th – 22nd March and April 3rd – 5th April respectively”. reads the official statement by F1 on its website. ADVERTISEMENT Article continues below this ad As upsetting as the move may seem, it was necessary. F1 underestimated the severity of the epidemic in Australia and paid the price. However, to prevent the chaos that occurred today – the governing body is finally stepping up. “Formula 1 and the FIA continue to work closely with the race promoters in Bahrain and Vietnam and the local health authorities to monitor the situation and take the appropriate amount of time to study the viability of potential alternative dates for each Grand Prix later in the year should the situation improve. As a result, Formula 1 and the FIA expect to begin the Championship in Europe at the end of May but given the sharp increase in COVID-19 cases in Europe in recent days, this will be regularly reviewed.” reads another statement. ADVERTISEMENT Article continues below this ad The Dutch Grand Prix will kick off the European leg of the F1 calendar. The Zandvoort race was planned for May 3. However, that seems unlikely given the statement released by F1. Tentative start date is now the end of May. With 4 races eliminated, the F1 calendar now has 18 races to contend with. As of now, Fans can only hope the season begins sometime in 2020. ADVERTISEMENT Abhishek Bharadwaj 720 articles ADVERTISEMENT ADVERTISEMENT Full Spectrum Services LLP © 2021 | All Rights Reserved","none","none",0,0,0,0
"6",53,"https://www.youtube.com/watch?v=p4fAkb2mAG4","Alan Vo Ford charity work with The Little Saigon Tet Parade, the largest Vietnamese new year parade.","","none","vietnamese",0,0,0,0
"7",55,"https://www.youtube.com/watch?v=CKTXRnICais","Vietnamese art, culture, dance and performances by various schools, scouts in America","","none","vietnamese",0,0,0,0
"8",58,"https://www.youtube.com/watch?v=OKhRvC2vMjw","Vietnamese art, culture, dance and performances by various schools, scouts in America","","none","vietnamese",0,0,0,0
"9",63,"https://www.youtube.com/watch?v=PG8h_V26Tdw","America First Vietnamese NOODLE PHO festival in Fountain Valley, California with Alan Vo Ford","","none","vietnamese",0,0,0,0
"10",67,"https://www.youtube.com/watch?v=PdfUOXEle7k","Alan Vo Ford community/charity work with Vietnamese Little Saigon Tet Parade, largest in the world","","none","vietnamese",0,0,0,0
