"","ID","URL","Title","body","Country","Group","Protest","Protest_Typ","Discrim","Discrim_Type"
"1",2,"https://www.eaglenews.ph/bulgarianspatiencerunsdryoverwatercrisis/","Bulgarians' patience runs dry over water crisis","NULL","BUL","bulgarian",1,1,0,0
"2",7,"https://www.france24.com/en/20200129bulgarianspatiencerunsdryoverwatercrisis","Bulgarians' patience runs dry over water crisis  France 24","NULL","BUL","bulgarian",1,1,0,0
"3",12,"https://urboapp.com/bg/e2401ij","Bulgarians vs Aliens * Standup comedy in English * Gramophone club","","BUL","bulgarian",0,0,0,0
"4",17,"https://www.novinite.com/articles/202536/Bulgarians+Mark+172+Years+since+the+Birth+of+Hristo+Botev","Bulgarians Mark 172 Years since the Birth of Hristo Botev  Novinite.com  Sofia News Agency","HOT: » Greek Ambassador: Bulgaria is our Most Important Economic and Trade partner in the Region #AmbassadorTalks  On January 6, Bulgaria marks 172 years since the birth of the Bulgarian poet and revolutionary Hristo Botev. Celebrations will take place across the country, BNT reported. In many places in the country, together with marking Botev’s birth, church celebrations will be held for water blessings of the military units and flags, which will be followed by the ceremony for retrieving the cross from rivers on Epiphany. Celebrations to mark Hristo Botev’s birth will take place in his birth town of Kalofer, in Sofia, Stara Zagora, Plovdiv, Haskovo, Blagoevgrad, Veliko Turnovo, Varna and Burgas. Botev was born in Kalofer in 1848. His father was a teacher and one of the most significant figures in the late period of the Bulgarian National Revival. In 1863, after completing his elementary education in Kalofer, Botev was sent by his father to a high school in Odessa, where he studied for 2 years. During this period, his ties to the Russian revolutionary movement and his political views began to form. In 1867, he returned to Kalofer to teach in place of his ill father. In May, he made a public speech against the Ottoman authorities, which led to his exile and move to Romania seeking asylum. From 1869 to 1871, Botev worked again as a teacher in Bessarabia, keeping close relations with the Bulgarian revolutionary movement and its leaders. In June 1871, he became editor of the revolutionary emigrant newspaper ""Word of the Bulgarian Emigrants"", where he published early poetic works. He closely collaborated with the Russian revolutionists and worked for the Russian newspaper Svoboda (Liberty). In 1873, he worked on the satiric newspaper “Alarm Clock” and published political fiction aimed at wealthy Bulgarians. He continued to write poetry with themes such as revolutionary zeal and freedom, with two of his more famous poems being, “In the Tavern” and “My Prayer”. After the outbreak of the 1876 April Uprising, which had the goal to liberate Bulgaria from the five-century Ottoman rule, Botev began organising a troupe to enter Bulgaria and help the rebels. On 30th of May, 1876, Botev and part of the troupe seized a ship and re-entered Bulgaria from Romania near Kozloduy. Hristo Botev was killed on 1st of June 1876. Since his death, many streets, cities and landmarks have been named after the revolutionary, including “Botev Point”, “Botev Peak”, and “Botevgrad”. A football stadium in the South Bulgarian city of Plovdiv was named “Hristo Botev” in 1961 and is home to the professional football club “Botev Plovdiv”. We need your support so Novinite.com can keep delivering news and information about Bulgaria! Thank you! Google Street View is again on its way through Bulgaria Bulgaria has the Largest Gray Economy in Europe","BUL","bulgarian",1,1,0,0
"5",20,"https://www.novinite.com/articles/202614/PM+Borissov+Hopes+that+Bulgarians+will+be+able+to+Travel+to+the+US+without+Visa+within+a+Year+and+a+Half","PM Borissov Hopes that Bulgarians will be able to Travel to the US without Visa within a Year and a Half","HOT: » Greek Ambassador: Bulgaria is our Most Important Economic and Trade partner in the Region #AmbassadorTalks  In February or March, the Assistant Secretary of State for Consular Affairs will visit Bulgaria to discuss the issue of The Visa Waiver Program with the United States. This was made clear during the meeting between Prime Minister Boyko Borissov and US Ambassador Herro Mustafa. This morning they opened the first session of the Bulgaria-US Strategic Dialogue with the with the participation of an American delegation. Borisosv expressed hope that the issue of visas would be resolved within a year or so. ""So far, the Bulgarian side has asked the question. For the first time, the issue of visa waivers was raised by President Trump. Borissov said. Last year, Deputy Prime Minister and Minister of Foreign Affairs Ekaterina Zaharieva and U.S. Deputy Assistant Secretary Matthew Boyse discussed in Sofia the strategic partnership with the United States. Minister Zaharieva reaffirmed the country's desire to continue constructive cooperation in the spirit of the agreements reached during Prime Minister Boyko Borissov's visit to Washington in November. Important priorities in bilateral relations for Bulgaria remain inclusion in the US Visa Waiver Program, as well as support for the start of negotiations for Bulgaria's membership in the Organization for Economic Cooperation and Development, Zaharieva added. We need your support so Novinite.com can keep delivering news and information about Bulgaria! Thank you! Google Street View is again on its way through Bulgaria Bulgaria has the Largest Gray Economy in Europe","BUL","bulgarian",0,0,0,0
"6",21,"https://www.novinite.com/articles/202515/Bulgarians+Don%27t+EatOut+Much","Bulgarians Don't EatOut Much  Novinite.com  Sofia News Agency","HOT: » Greek Ambassador: Bulgaria is our Most Important Economic and Trade partner in the Region #AmbassadorTalks  In 2018, households in the European Union (EU) spent over €600 bn (equivalent to 3.8% of EU GDP) on 'catering services', i.e. restaurants, cafés, canteens, and the like, Eurostat reported. Household expenditure on catering services represents 7.0% of their total consumption expenditure. The share of household expenditure devoted to catering services was largest in Ireland (14.4%), ahead of Spain (13.0%), Malta (12.6%) and Greece (12.4%, 2017 data). In contrast, the lowest share was recorded in Romania (1.9%), followed by Poland (3.0%) and Lithuania (3.4%). Lithuania - highest decrease in catering services expenditure, Romania the highest increase Between 2008 and 2018, the share of total household expenditure on catering services increased in most EU Member States where 2018 data is available. The largest increase was recorded in Malta (from 8.2% of total household expenditure in 2008 to 12.6% in 2018, or an increase of 4.4 percentage points (pp)), followed by Ireland (+2.9 pp) and Hungary (+2.5 pp). In contrast, household expenditure on catering services decreased in 4 EU Member States where 2018 data is available. The largest decrease was recorded in Romania (from 2.9% in 2008 to 1.9% in 2018, or a decrease of 1.0 pp), Spain (-0.8 pp), Slovakia (-0.5 pp) and the United Kingdom (-0.2 pp), while it remained stable in Luxembourg.  Picture Source: Eurostat We need your support so Novinite.com can keep delivering news and information about Bulgaria! Thank you! Google Street View is again on its way through Bulgaria Bulgaria has the Largest Gray Economy in Europe","BUL","bulgarian",0,0,0,0
"7",23,"https://sofiaglobe.com/2020/01/31/zaharievaonbrexitbulgariansinukwillnotfeeladifferencetomorrow/","Zaharieva on Brexit: ‘Bulgarians in UK will not feel a difference tomorrow’","NULL","none","bulgarian",0,0,0,0
"8",33,"https://sofiaglobe.com/2020/01/13/lessthanhalfofbulgariansareawareofeupassengerrightspoll/","Less than half of Bulgarians are aware of EU Passenger Rights – poll","NULL","BUL","bulgarian",0,0,0,0
"9",39,"https://news.yahoo.com/bulgarianspatiencerunsdryoverwatercrisis143627291.html","Bulgarians' patience runs dry over water crisis","NULL","BUL","bulgarian",0,0,0,0
"10",43,"https://www.novinite.com/articles/202487/NSI%3A+Travels+of+Bulgarians+abroad+in+November+2019+2.8+higher+than+in+November+2018","NSI: Travels of Bulgarians abroad in November 2019 2.8% higher than in November 2018  Novinite.com  Sofia News Agency","HOT: » Greek Ambassador: Bulgaria is our Most Important Economic and Trade partner in the Region #AmbassadorTalks  In November 2019, the number of trips of Bulgarian residents abroad was 438.3 thousand or by 2.8% above the registered in November 2018, the National Statistical Institute said in a press release. In comparison with the same month of the previous year, an increase was observed in the total number of the trips of Bulgarians to: Austria - by 12.6%, Germany - by 11.0%, Turkey - by 4.5%, Republic of North Macedonia - by 3.8%, Serbia - by 2.4%, Italy - by 1.1%. At the same time, there was a decrease of the trips to: Russian Federation - by 10.2%, Romania - by 2.5%, Greece - by 2.2%, and etc. In comparison with November 2018, an increase in trips with all purposes was registered: ‘holiday and recreation’ - by 7.5%, ‘professional’ - by 2.4%, and ‘others’ - by 0.5%. The trips with other purposes (as a guest, education, visiting cultural and sport events) in November 2019 composed the greatest share of the total number of trips of Bulgarian residents abroad - 45.0%, followed by those with professional purpose - 28.2%, and with holiday and recreation purposes - 26.8%. In November 2019 most trips of Bulgarian citizens were made to: Turkey - 127.4 thousand, Greece - 72.2 thousand, Romania - 39.7 thousand, Serbia - 33.9 thousand, Germany - 24.3 thousand, Republic of North Macedonia - 21.7 thousand, Austria - 17.2 thousand, Italy - 16.0 thousand, the United Kingdom - 13.8thousand, Spain - 10.3 thousand. In November 2019 most trips of Bulgarian citizens were made to: Turkey - 127.4 thousand, Greece - 72.2 thousand, Romania - 39.7 thousand, Serbia - 33.9 thousand, Germany - 24.3 thousand, Republic of North Macedonia - 21.7 thousand, Austria - 17.2 thousand, Italy - 16.0 thousand, the United Kingdom - 13.8thousand, Spain - 10.3 thousand. In November 2019, the number of arrivals of visitors from abroad to Bulgaria was 609.7 thousand, or by 6.0% more in comparison with November 2018. An increase in the trips with all purposes was registered: ‘holiday and recreation’- by 9. 1%, ‘others’ (including as guest or transit) - by 5.7% and ‘professional’ - by 1.7%. Transits through the country were 27.5% (167.5 thousand) of all visits of foreigners to Bulgaria. The share of visits of ЕU citizens was 51.5% of the total number of foreigners’ visits to Bulgaria in November 2019 or by 0.4% less in comparison with the same month of the previous year. A decrease was registered in the visits of citizens from Austria - by 5.8%, Greece - by 5. 7%, the Netherlands - by 1.8%, Romania - by 1.3%, and etc. At the same time, there was an increase in visits from the United Kingdom - by 19.0%, Italy - by 13.6%, Germany - by 10.2%, Poland - by 7.9%, France - by 3.0%. The visits of foreigners in the group ‘Other European countries’ increased by 13.6%, and the highest increase was observed in the visits of citizens of Turkey - by 25.1%. In November 2019, the predominant share of the visits with other purposes was 47.3%, followed by trips with holiday and recreation purpose - 32.9%, and with professional purpose - 19.8% (Figure 5). In November 2019, the most visits to Bulgaria were from: Romania - 128.5 thousand, Turkey - 109.6thousand, Greece - 88.7 thousand, Serbia - 53.2 thousand, Republic of North Macedonia - 45.6 thousand, Ukraine - 18.7 thousand, Germany - 16.7 thousand, the United Kingdom - 13.6 thousand, Italy - 12.2 thousand, Poland - 9.8 thousand.  We need your support so Novinite.com can keep delivering news and information about Bulgaria! Thank you! Google Street View is again on its way through Bulgaria Bulgaria has the Largest Gray Economy in Europe","BUL","bulgarian",0,0,0,0
